adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,77596.375,0.90118081883077
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,1.21112477779388,4.14871278088482e-05
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,1055.19470214844,0.0516201521687856
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,7346.6650390625,0.27588030699364
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,4408.5478515625,0.109831734431342
Dolpo Buddha,524 6 62 4 003,6,7,16 to 32 hours,2267.2867809672,1953.55200195312,0.861625453979738
Bagnaskali,524 5 46 4 005,5,3,1 to 2 hours,23858.7347485572,4876.82177734375,0.204404040228439
Banfikot,524 6 52 4 002,6,3,1 to 2 hours,20768.8714226712,6892.1162109375,0.331848373976358
Shambhunath,524 2 15 3 003,2,3,1 to 2 hours,39598.0955801122,858.979309082031,0.0216924399140409
Jiri,524 3 22 3 002,3,6,8 to 16 hours,17528.2291280694,36.3727836608887,0.00207509745537511
Ganeshman Charnath,524 2 17 3 002,2,4,2 to 4 hours,39840.8077594191,1813.50207519531,0.0455187075057877
Mai,524 1 03 3 004,1,4,2 to 4 hours,36995.3578437902,8659.9716796875,0.234082657512153
Baiteshwor,524 3 22 4 004,3,6,8 to 16 hours,22213.7700060084,,
Parsa,524 2 19 4 009,2,1,0 to 30 minutes,24066.7762531191,23181.6484375,0.963222003383008
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,6247.94384765625,0.19622937672751
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,25.7275905609131,0.00172993766783169
Kispang,524 3 28 4 002,3,5,4 to 8 hours,16473.9629708165,602.6533203125,0.0365821703848731
Sabhapokhari,524 1 09 4 005,1,5,4 to 8 hours,11725.8498787116,1473.73388671875,0.125682479475908
Birtamod,524 1 04 3 007,1,1,0 to 30 minutes,93340.8939665854,85399.625,0.914921867264007
Kailari,524 7 71 4 002,7,2,30 minutes to 1 hour,50528.7742574438,11088.673828125,0.21945265823446
Molung,524 1 13 4 003,1,3,1 to 2 hours,18404.7089411169,4037.29956054688,0.21936231501751
Karaiyamai,524 2 33 4 003,2,1,0 to 30 minutes,28951.9729353189,21162.49609375,0.730951778002443
Pyuthan,524 5 55 3 002,5,4,2 to 4 hours,41808.6622774154,7285.78662109375,0.174265002136398
Lalbandi,524 2 19 3 003,2,1,0 to 30 minutes,66570.2900485434,40036.20703125,0.601412537065039
Annapurna,524 4 39 4 001,4,4,2 to 4 hours,25843.7356252883,3026.88671875,0.117122646765825
Talkot,524 7 67 4 003,7,7,16 to 32 hours,12555.6920184336,169.762435913086,0.0135207550220132
Suwarnabati,524 5 54 4 007,5,3,1 to 2 hours,31125.3508004174,9269.7275390625,0.297819214906269
Lungri,524 5 54 4 008,5,2,30 minutes to 1 hour,26067.6873447187,3991.931640625,0.153137161261594
Fakphokthum,524 1 03 4 001,1,4,2 to 4 hours,24972.8616706431,1007.94897460938,0.0403617730279695
Adharsha,524 7 70 4 001,7,2,30 minutes to 1 hour,26156.673794806,6258.4345703125,0.239267217973076
Uttargaya,524 3 29 4 003,3,2,30 minutes to 1 hour,9306.98273306387,1585.97033691406,0.170406498260684
Buddhabhumi,524 5 49 3 002,5,1,0 to 30 minutes,72874.1332457811,51689.3203125,0.709295850396855
Lekbeshi,524 6 59 3 004,6,2,30 minutes to 1 hour,33101.5759202391,6347.02197265625,0.191743800595776
Itahari,524 1 06 2 002,1,4,2 to 4 hours,158457.082929015,3.90473532676697,2.46422264918015e-05
Dakshinkali,524 3 27 3 010,3,1,0 to 30 minutes,26811.3604427278,21714.556640625,0.809901335928471
Siddhicharan,524 1 13 3 001,1,2,30 minutes to 1 hour,31143.7278849129,8742.2578125,0.280706851948031
Barbardiya,524 5 58 3 005,5,5,4 to 8 hours,74432.436629042,4.11062812805176,5.52263007126637e-05
Pakahamainpur,524 2 34 4 009,2,1,0 to 30 minutes,22233.1971287727,21910.3984375,0.985481229289557
Bhimdatta,524 7 72 3 002,7,2,30 minutes to 1 hour,113519.459733821,37962.12890625,0.334410760897409
Khumbupasanglahmu,524 1 11 4 001,1,8,> 32 hours,9888.78338995449,2.21852803230286,0.000224347924796952
Kalyanpur,524 2 16 3 006,2,2,30 minutes to 1 hour,54032.7004066557,3120.80737304688,0.0577577531672368
Chabispathivera,524 7 67 4 007,7,5,4 to 8 hours,17701.2562529892,3016.0703125,0.170387359484199
Bithadchir,524 7 67 4 004,7,3,1 to 2 hours,18729.4552061483,4660.97802734375,0.248858174252377
Badimalika,524 7 68 3 002,7,5,4 to 8 hours,18262.0687327138,2503.32348632812,0.137077760628717
Malarani,524 5 50 4 001,5,4,2 to 4 hours,31103.6976364255,3381.69458007812,0.108723233475554
Siranchok,524 4 36 4 005,4,6,8 to 16 hours,25977.0999745578,,
Bheriganga,524 6 59 3 002,6,5,4 to 8 hours,45446.4988580383,1427.10803222656,0.0314019356405085
Barhagaun Muktikhsetra,524 4 45 4 003,4,8,> 32 hours,2616.19662869666,0.653126180171967,0.000249647206562353
Ribdikot,524 5 46 4 003,5,1,0 to 30 minutes,20822.447951138,6588.23974609375,0.316400826720937
Dharan,524 1 06 2 001,1,1,0 to 30 minutes,153909.025899503,144136.359375,0.936503616552777
Yashodhara,524 5 49 4 002,5,2,30 minutes to 1 hour,43932.647488445,5377.35302734375,0.122399931139094
Gujara,524 2 32 3 001,2,1,0 to 30 minutes,52414.0475805067,26522.748046875,0.506023657229233
Chainpur,524 1 09 3 003,1,1,0 to 30 minutes,30608.9407257736,7417.4970703125,0.242331060612848
Pachaljharana,524 6 64 4 003,6,5,4 to 8 hours,13491.9916381575,4453.990234375,0.330121034301445
Rohini,524 5 48 4 007,5,2,30 minutes to 1 hour,41663.5296741724,6183.6416015625,0.148418572548254
Jwalamukhi,524 3 30 4 006,3,4,2 to 4 hours,26499.2025411725,1198.48645019531,0.0452272647953535
Ajaymeru,524 7 73 4 002,7,3,1 to 2 hours,18498.7372553051,6683.5751953125,0.361298995875829
Chisankhugadhi,524 1 13 4 006,1,1,0 to 30 minutes,17089.6592731178,3543.517578125,0.207348638231717
Purbakhola,524 5 46 4 006,5,5,4 to 8 hours,21512.1376287639,363.663604736328,0.0169050426792581
Kanakasundari,524 6 63 4 001,6,4,2 to 4 hours,14346.4400764049,5483.46044921875,0.382217499255247
Devghat,524 4 40 4 006,4,7,16 to 32 hours,18282.5371856429,,
Ayirabati,524 5 55 4 007,5,4,2 to 4 hours,24977.6473819092,7790.35302734375,0.311892986085877
Phalebas,524 4 42 3 002,4,4,2 to 4 hours,27380.2592477202,1177.13745117188,0.0429921952353277
Ghanglekh,524 3 20 4 003,3,2,30 minutes to 1 hour,15188.4689030834,2844.27880859375,0.187265670209612
Rambha,524 5 46 4 007,5,1,0 to 30 minutes,22802.0401390642,6380.70947265625,0.279830639440236
Sanphebagar,524 7 69 3 001,7,5,4 to 8 hours,36989.0088991113,402.916748046875,0.0108928776422705
Jhapa,524 1 04 4 004,1,3,1 to 2 hours,38628.499128893,2761.20703125,0.0714810850412952
Yangwarak,524 1 02 4 002,1,4,2 to 4 hours,20441.5263771056,2666.67041015625,0.130453585557236
Kanthekhola,524 4 43 4 005,4,4,2 to 4 hours,28638.3406830654,1587.74853515625,0.055441359285705
Katari,524 1 14 3 001,1,3,1 to 2 hours,63480.0141092166,12045.751953125,0.189756604848897
Illam,524 1 03 3 002,1,1,0 to 30 minutes,54374.5400074348,27673.78515625,0.508947480796455
Nawadurga,524 7 73 4 003,7,3,1 to 2 hours,21587.7441906407,8061.0947265625,0.373410702636422
Baglung,524 4 43 3 003,4,3,1 to 2 hours,62142.7868413329,5324.951171875,0.0856889663714474
Bagmati,524 3 25 4 001,3,4,2 to 4 hours,14621.1028554775,3786.4287109375,0.258970116574961
Thasang,524 4 45 4 005,4,2,30 minutes to 1 hour,3364.70856910525,781.529663085938,0.232272616494023
Musikot,524 6 52 3 003,6,5,4 to 8 hours,36042.4884925038,2660.88159179688,0.0738262451647947
Adharsha,524 7 70 4 001,7,5,4 to 8 hours,26156.673794806,938.723266601562,0.0358884800860256
Maijogmai,524 1 03 4 003,1,2,30 minutes to 1 hour,23657.7639182806,7708.89306640625,0.325850452013747
Kalika,524 3 35 3 001,3,4,2 to 4 hours,30744.7499702051,3659.4287109375,0.119026133388103
Byas,524 7 75 4 001,7,7,16 to 32 hours,11206.7671502374,382.837646484375,0.0341612921328758
Ganayapdhura,524 7 73 4 005,7,3,1 to 2 hours,16345.9013215825,6915.033203125,0.423043860786964
Jantedhunga,524 1 12 4 008,1,2,30 minutes to 1 hour,17457.7687964737,2811.77709960938,0.161061652974653
Khandbari,524 1 09 3 001,1,2,30 minutes to 1 hour,33742.6207489222,7301.9228515625,0.216400584468405
Bulingtar,524 4 47 4 002,4,5,4 to 8 hours,21284.3327062018,523.790100097656,0.0246091858893483
Pauwadungma,524 1 10 4 005,1,4,2 to 4 hours,17213.5222666673,3285.8828125,0.190889625121226
Thawang,524 5 54 4 003,5,4,2 to 4 hours,11893.7673556199,5209.81884765625,0.438029321735014
Naraharinath,524 6 64 4 001,6,6,8 to 16 hours,23266.0434676739,1474.271484375,0.0633658011695614
Shey Phoksundo,524 6 62 4 001,6,4,2 to 4 hours,3378.57351504783,127.164207458496,0.0376384313948237
Surunga,524 2 15 3 001,2,2,30 minutes to 1 hour,49509.6985654309,8875.1416015625,0.179260667277812
Temal,524 3 24 4 005,3,4,2 to 4 hours,25155.9957317635,1474.42541503906,0.0586112921452503
Triyuga,524 1 14 3 002,1,5,4 to 8 hours,98659.4940726273,365.659790039062,0.00370628081439264
Ajirkot,524 4 36 4 002,4,7,16 to 32 hours,17272.8099462269,28.5341167449951,0.00165196727306249
Melauli,524 7 74 3 003,7,2,30 minutes to 1 hour,24411.2979015335,4193.70703125,0.17179369356623
Golanjor,524 3 20 4 005,3,2,30 minutes to 1 hour,21585.4802747406,3516.32983398438,0.162902552513469
Shadananda,524 1 10 3 001,1,4,2 to 4 hours,35300.545324564,9472.2158203125,0.268330580539821
Bulingtar,524 4 47 4 002,4,4,2 to 4 hours,21284.3327062018,3257.63525390625,0.153053201097399
Badigad,524 4 43 4 003,4,3,1 to 2 hours,34033.6199748758,9619.19921875,0.28263814504161
Dipayal Silgadi,524 7 70 3 002,7,2,30 minutes to 1 hour,35126.0238489956,6530.05224609375,0.185903541891505
Madi,524 1 09 3 005,1,3,1 to 2 hours,16241.7727624178,6238.091796875,0.384077027066249
Tatopani,524 6 63 4 006,6,4,2 to 4 hours,16070.8938048605,3774.27880859375,0.234851829302254
Gosaikunda,524 3 29 4 002,3,8,> 32 hours,7889.82014762195,11.2278165817261,0.00142307636570274
Lisangkhu Pakhar,524 3 23 4 009,3,3,1 to 2 hours,16839.6766865216,6740.0927734375,0.400250723271441
Rapti,524 3 35 3 004,3,2,30 minutes to 1 hour,66321.6599378437,8443.34375,0.12730899313909
Chaurpati,524 7 69 4 001,7,5,4 to 8 hours,27470.9785091262,2650.72827148438,0.09649194951697
