adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,64805.34765625,0.752629697785136
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,2039.78747558594,0.0997864561557637
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,13395.037109375,0.503007409522123
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,26733.77734375,0.666028187155714
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,2615.02001953125,0.190338531358913
Gaidakot,524 4 47 3 004,4,4,2 to 4 hours,65552.50551451,1671.4462890625,0.0254978246207924
Bhumlu,524 3 24 4 001,3,4,2 to 4 hours,21045.0355905592,12108.3408203125,0.575353782045599
Parashuram,524 7 73 3 001,7,3,1 to 2 hours,38115.3647800349,15148.5048828125,0.397438276407298
Rambha,524 5 46 4 007,5,3,1 to 2 hours,22802.0401390642,8766.375,0.384455730563405
Banganga,524 5 49 3 003,5,5,4 to 8 hours,82502.3084542677,,
Shivapuri,524 3 28 4 010,3,4,2 to 4 hours,22180.1212859526,12453.3212890625,0.561463173645925
Kanchanrup,524 2 15 3 005,2,1,0 to 30 minutes,60456.6363327242,42691.53125,0.706151281970872
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,7942.73974609375,0.306024920175194
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,15313.1796875,0.412302637127373
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,11096.171875,0.0643927166312882
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,2494.62084960938,0.0441302325195987
Siranchok,524 4 36 4 005,4,6,8 to 16 hours,25977.0999745578,0.232246667146683,8.94043859299721e-06
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,3519.84033203125,0.0462615586857196
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,56.557430267334,0.00089922404321821
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,3938.71044921875,0.171731612886605
Chamunda Bindrasaini,524 6 61 3 002,6,6,8 to 16 hours,28661.3925540447,383.956573486328,0.0133962986188591
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,4508.4208984375,0.0643427832644873
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,12991.037109375,0.354887607326446
Thaha,524 3 31 3 001,3,5,4 to 8 hours,45900.3440804929,3849.93530273438,0.0838759573562882
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,609.164916992188,0.193258550746683
Kanthekhola,524 4 43 4 005,4,2,30 minutes to 1 hour,28638.3406830654,7503.7587890625,0.262017931559131
Ramprasad Rai,524 1 10 4 004,1,4,2 to 4 hours,21404.7580865212,11203.2626953125,0.523400575237864
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,216.345245361328,0.00461191446054968
Dolpo Buddha,524 6 62 4 003,6,7,16 to 32 hours,2267.2867809672,804.757202148438,0.354942836920319
Benighat Rorang,524 3 30 4 008,3,2,30 minutes to 1 hour,34760.5741125494,4640.3310546875,0.133494085559773
Dogadakedar,524 7 74 4 002,7,2,30 minutes to 1 hour,26652.926123932,122.931610107422,0.00461231196664144
Solududhakunda,524 1 11 3 001,1,8,> 32 hours,22992.8196952384,0.034396398812532,1.49596262087225e-06
Madi,524 5 54 4 004,5,5,4 to 8 hours,19894.5814803466,7193.53173828125,0.361582461304228
Loharpatti,524 2 18 3 008,2,2,30 minutes to 1 hour,44769.0464259833,14937.7099609375,0.333661562026657
Sunapati,524 3 21 4 001,3,3,1 to 2 hours,19995.6999516413,8892.681640625,0.444729699992077
Shambhunath,524 2 15 3 003,2,3,1 to 2 hours,39598.0955801122,3082.18188476562,0.0778366191507863
Jiri,524 3 22 3 002,3,6,8 to 16 hours,17528.2291280694,51.720531463623,0.00295069918847642
Neshyang,524 4 38 4 001,4,7,16 to 32 hours,2164.54852405361,1364.19897460938,0.630246427580475
Ganeshman Charnath,524 2 17 3 002,2,4,2 to 4 hours,39840.8077594191,2426.42041015625,0.0609028919495891
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,88.1554718017578,0.00691083730314031
Dudhkoshi,524 1 11 4 004,1,6,8 to 16 hours,14949.5460244277,2245.25170898438,0.150188621468211
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,2146.74975585938,0.127455655164927
Thantikandh,524 6 61 4 001,6,5,4 to 8 hours,20469.3958140016,14230.8125,0.695223866366675
Rambha,524 5 46 4 007,5,6,8 to 16 hours,22802.0401390642,1.6691187620163,7.32004132891943e-05
Mikwakhola,524 1 01 4 002,1,3,1 to 2 hours,10139.5423433132,283.301605224609,0.0279402753726296
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,14991.4013671875,0.47083543294946
Binayee Tribeni,524 4 47 4 004,4,3,1 to 2 hours,37203.9528506231,14745.3310546875,0.396337752439673
Dordi,524 4 37 4 003,4,2,30 minutes to 1 hour,20620.2114669138,2304.23461914062,0.111746410692145
Durgathali,524 7 67 4 006,7,6,8 to 16 hours,13827.515117377,5688.3828125,0.411381420610519
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,32.8488960266113,0.00220877825494689
Phalebas,524 4 42 3 002,4,2,30 minutes to 1 hour,27380.2592477202,7374.44287109375,0.269334296814876
Agnisair Krishna Savaran,524 2 15 4 002,2,4,2 to 4 hours,30326.8262336515,302.348449707031,0.00996967000033578
Nagarjun,524 3 27 3 005,3,1,0 to 30 minutes,76085.6406923831,71658.765625,0.941817207201014
Bedkot,524 7 72 3 003,7,3,1 to 2 hours,54257.6742201075,11125.96875,0.205057974008713
Rupa,524 4 39 4 004,4,4,2 to 4 hours,15931.684864901,2630.19458007812,0.165092054128731
Sani Bheri,524 6 52 4 001,6,5,4 to 8 hours,24419.6540638059,13143.6015625,0.538238646958601
Gosaikunda,524 3 29 4 002,3,3,1 to 2 hours,7889.82014762195,1316.76013183594,0.166893554884495
SakhuwaPrasauni,524 2 34 4 004,2,2,30 minutes to 1 hour,36038.206433475,24871.1171875,0.690131936321832
Panini,524 5 50 4 003,5,3,1 to 2 hours,29258.4642607719,13781.79296875,0.471036102439179
Mikwakhola,524 1 01 4 002,1,6,8 to 16 hours,10139.5423433132,282.624420166016,0.0278734888219486
Chatrakot,524 5 51 4 007,5,4,2 to 4 hours,23783.7127792984,13114.86328125,0.551422034185735
Koshi Tappu Wildlife Reserve,524 2 15 5 995,2,4,2 to 4 hours,93.3004635125399,4.82998847961426,0.0517681080862486
Sailung,524 3 22 4 005,3,2,30 minutes to 1 hour,22061.9655066095,2294.7822265625,0.104015312048013
Chaurideurali,524 3 24 4 002,3,6,8 to 16 hours,23009.3351803944,15.5968704223633,0.000677849677102056
Galkot,524 4 43 3 002,4,5,4 to 8 hours,36165.2573999166,1549.79748535156,0.0428532131878352
Solududhakunda,524 1 11 3 001,1,6,8 to 16 hours,22992.8196952384,655.975708007812,0.0285295895284935
Yangwarak,524 1 01 4 007,1,3,1 to 2 hours,15334.3657150716,3694.65942382812,0.240939827083737
Shantinagar,524 5 56 4 003,5,3,1 to 2 hours,27505.8114778325,10703.98046875,0.389153414992921
Temal,524 3 24 4 005,3,2,30 minutes to 1 hour,25155.9957317635,3906.28173828125,0.155282334276633
Harinagara,524 1 06 4 004,1,2,30 minutes to 1 hour,42210.0727682561,17605.650390625,0.41709594975788
Halesi Tuwachung,524 1 12 3 001,1,4,2 to 4 hours,33213.1863360852,17074.3359375,0.514083044147716
Phikkal,524 3 20 4 007,3,3,1 to 2 hours,18942.3525260761,1999.77783203125,0.105571777807342
Ghiring,524 4 40 4 002,4,3,1 to 2 hours,21323.0699981004,10624.3408203125,0.498255683691841
Belkotgadhi,524 3 28 3 002,3,6,8 to 16 hours,45508.7432354242,0.478551238775253,1.05155889781361e-05
Dilasaini,524 7 74 4 001,7,3,1 to 2 hours,24893.1941915825,3151.73193359375,0.12661018547228
Bheri,524 6 60 3 002,6,2,30 minutes to 1 hour,36663.0391201377,3246.69848632812,0.0885550833821856
Gulariya,524 5 58 3 004,5,5,4 to 8 hours,72856.6597783864,1.3717280626297,1.88277649126681e-05
Laljhadi,524 7 72 4 002,7,5,4 to 8 hours,24040.2640145496,71.6183013916016,0.0029790979561729
Beni,524 4 44 3 001,4,6,8 to 16 hours,36200.9774725437,9.71736335754395,0.000268428203766431
Sabhapokhari,524 1 09 4 005,1,5,4 to 8 hours,11725.8498787116,2638.39672851562,0.225006865669128
Chandrakot,524 5 51 4 006,5,6,8 to 16 hours,24304.7403015196,0.907470285892487,3.73371726928408e-05
Khaniyabash,524 3 30 4 003,3,3,1 to 2 hours,14396.2438283316,23.3691959381104,0.00162328425503048
Bhimeshwor,524 3 22 3 001,3,3,1 to 2 hours,35927.9295560718,7579.2294921875,0.210956478311916
Krishnapur,524 7 72 3 005,7,4,2 to 4 hours,62214.692910336,39859.9609375,0.64068404219155
Shivasataxi,524 1 04 3 002,1,3,1 to 2 hours,72720.1764659099,13486.560546875,0.185458303352678
Sidingba,524 1 01 4 008,1,5,4 to 8 hours,13642.0205260392,8875.8623046875,0.650626663971493
Kotahimai,524 5 48 4 008,5,2,30 minutes to 1 hour,44601.2876759171,30149.498046875,0.675978197444611
Damak,524 1 04 3 001,1,1,0 to 30 minutes,84493.8126572669,72304.8359375,0.85574119173425
Duhabi,524 1 06 3 004,1,1,0 to 30 minutes,63554.7482888401,54356.59375,0.855271953921731
Bishnupur,524 2 15 4 007,2,2,30 minutes to 1 hour,25953.7753466368,8752.255859375,0.337224767590861
Rubi Valley,524 3 30 4 001,3,7,16 to 32 hours,10532.7074507177,587.683654785156,0.0557960673962428
Sunwal,524 5 47 3 001,5,4,2 to 4 hours,61663.8532037921,508.519348144531,0.00824663594186908
Hanumannagar Kankalini,524 2 15 3 009,2,3,1 to 2 hours,50614.0774613284,789.505676269531,0.0155985392971501
Sabaila,524 2 17 3 006,2,2,30 minutes to 1 hour,56513.5249649212,20374.576171875,0.360525665042515
Badikedar,524 7 70 4 006,7,7,16 to 32 hours,18321.1607945655,2.50771594047546,0.000136875385167697
