adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.203641474247,837.4984130859375,0.0089
Naraha,524 2 16 4 001,2,2,30 minutes to 1 hour,22366.8610880672932,2438.255126953125,0.1090
Arnama,524 2 16 4 003,2,3,1 to 2 hours,24449.0091687142849,322.457855224609375,0.0132
Godawari,524 3 25 3 001,3,4,2 to 4 hours,86105.2225908190012,491.23944091796875,0.0057
Kispang,524 3 28 4 002,3,6,8 to 16 hours,16473.9629708165303,356.55718994140625,0.0216
Meringden,524 1 01 4 004,1,3,1 to 2 hours,13980.5360982830753,3758.1201171875,0.2688
Meringden,524 1 01 4 004,1,4,2 to 4 hours,13980.5360982830753,7320.27001953125,0.5236
Meringden,524 1 01 4 004,1,5,4 to 8 hours,13980.5360982830753,1281.9102783203125,0.0917
Meringden,524 1 01 4 004,1,6,8 to 16 hours,13980.5360982830753,279.1383056640625,0.0200
Bagmati,524 2 19 3 001,2,4,2 to 4 hours,44317.2782757356763,668.2421875,0.0151
Maiwakhola,524 1 01 4 005,1,1,0 to 30 minutes,12360.7277787056519,191.946548461914062,0.0155
Chandranagar,524 2 19 4 002,2,3,1 to 2 hours,36033.6247054636478,1093.6199951171875,0.0303
Maiwakhola,524 1 01 4 005,1,4,2 to 4 hours,12360.7277787056519,5146.88916015625,0.4164
Maiwakhola,524 1 01 4 005,1,5,4 to 8 hours,12360.7277787056519,1682.0966796875,0.1361
Mallarani,524 5 55 4 005,5,6,8 to 16 hours,20120.0901269614697,3.47912883758544922,0.0002
Dupcheshwar,524 3 28 4 008,3,6,8 to 16 hours,23471.7149538137019,27.5634651184082031,0.0012
Gangajamuna,524 3 30 4 002,3,2,30 minutes to 1 hour,24212.8431268632412,1591.6126708984375,0.0657
Aathabis,524 6 61 3 001,6,1,0 to 30 minutes,31897.1818137317896,1744.5596923828125,0.0547
Aathrai Tribeni,524 1 01 4 006,1,3,1 to 2 hours,15438.3856005705893,4398.80322265625,0.2849
Aathrai Tribeni,524 1 01 4 006,1,4,2 to 4 hours,15438.3856005705893,6929.00634765625,0.4488
Tribeni,524 5 54 4 006,5,2,30 minutes to 1 hour,25145.1745143011212,4846.07421875,0.1927
Helambu,524 3 23 4 001,3,7,16 to 32 hours,19755.7070188599755,15.5288534164428711,0.0008
Malikaarjun,524 7 75 4 004,7,1,0 to 30 minutes,16999.3425422459841,237.749374389648438,0.0140
Kanchanrup,524 2 15 3 005,2,5,4 to 8 hours,60456.6363327242434,100.186874389648438,0.0017
Kageshwori Manahora,524 3 27 3 006,3,3,1 to 2 hours,68643.3275952190161,512.4444580078125,0.0075
Yangwarak,524 1 01 4 007,1,2,30 minutes to 1 hour,15334.365715071559,3490.56396484375,0.2276
Yangwarak,524 1 01 4 007,1,3,1 to 2 hours,15334.365715071559,5538.85791015625,0.3612
Bihadi,524 4 42 4 003,4,5,4 to 8 hours,14849.6183651983738,296.6453857421875,0.0200
Kawasoti,524 4 47 3 002,4,4,2 to 4 hours,67719.6186217218637,31.1710281372070312,0.0005
Naraharinath,524 6 64 4 001,6,3,1 to 2 hours,23266.0434676739387,326.517333984375,0.0140
Malikaarjun,524 7 75 4 004,7,6,8 to 16 hours,16999.3425422459841,168.743408203125,0.0099
Ghanglekh,524 3 20 4 003,3,2,30 minutes to 1 hour,15188.4689030833542,199.9273681640625,0.0132
Kirtipur,524 3 27 3 009,3,2,30 minutes to 1 hour,72161.5165692418814,562.0833740234375,0.0078
Likhu,524 3 28 4 006,3,4,2 to 4 hours,18662.0517333447933,86.065643310546875,0.0046
Khaniyabash,524 3 30 4 003,3,7,16 to 32 hours,14396.243828331586,79.616607666015625,0.0055
Yangwarak,524 1 02 4 002,1,1,0 to 30 minutes,20441.5263771056198,5372.9326171875,0.2628
Joshipur,524 7 71 4 004,7,1,0 to 30 minutes,39115.4009448289871,27556.654296875,0.7045
Joshipur,524 7 71 4 004,7,2,30 minutes to 1 hour,39115.4009448289871,10380.185546875,0.2654
Joshipur,524 7 71 4 004,7,3,1 to 2 hours,39115.4009448289871,1125.9892578125,0.0288
Laligurans,524 1 08 3 001,1,5,4 to 8 hours,18970.8394403681159,73.858184814453125,0.0039
Nashong,524 4 38 4 004,4,3,1 to 2 hours,2129.79454187187366,57.1716079711914062,0.0268
Badigad,524 4 43 4 003,4,6,8 to 16 hours,34033.6199748758227,27.3936729431152344,0.0008
Jhimruk,524 5 55 4 003,5,5,4 to 8 hours,30805.0364669710398,105.470954895019531,0.0034
Falelung,524 1 02 4 003,1,3,1 to 2 hours,24660.6037473408505,5601.46826171875,0.2271
Falelung,524 1 02 4 003,1,4,2 to 4 hours,24660.6037473408505,12361.4560546875,0.5013
Falelung,524 1 02 4 003,1,5,4 to 8 hours,24660.6037473408505,5420.462890625,0.2198
Dhakari,524 7 69 4 005,7,2,30 minutes to 1 hour,23467.0955361686647,1122.369873046875,0.0478
Barah,524 1 06 3 001,1,6,8 to 16 hours,87412.4226064346731,25.7863368988037109,0.0003
Uralabari,524 1 05 3 005,1,4,2 to 4 hours,60917.5915409177542,323.85345458984375,0.0053
Sunkoshi,524 1 13 4 005,1,1,0 to 30 minutes,20495.4879412353039,111.916885375976562,0.0055
Gadhimai,524 2 32 3 009,2,4,2 to 4 hours,45481.2518181055784,648.5111083984375,0.0143
Rajdevi,524 2 32 3 016,2,3,1 to 2 hours,34568.5664320886135,806.2879638671875,0.0233
Mahankal,524 3 25 4 003,3,6,8 to 16 hours,10538.9451647996902,20.4950065612792969,0.0019
Naugad,524 7 75 4 005,7,2,30 minutes to 1 hour,17196.1720281857997,2.73724699020385698,0.0002
Naugad,524 7 75 4 005,7,3,1 to 2 hours,17196.1720281857997,127.516090393066406,0.0074
Sunwarshi,524 1 05 3 007,1,2,30 minutes to 1 hour,57519.0191710591316,16459.37890625,0.2862
Sunwarshi,524 1 05 3 007,1,3,1 to 2 hours,57519.0191710591316,801.50897216796875,0.0139
Naukunda,524 3 29 4 005,3,2,30 minutes to 1 hour,12882.9937510374002,259.427459716796875,0.0201
Illam,524 1 03 3 002,1,3,1 to 2 hours,54374.5400074347854,10829.0625,0.1992
Jaljala,524 4 42 4 001,4,1,0 to 30 minutes,23331.1763283777982,5783.10009765625,0.2479
Mahalaxmi,524 1 07 3 001,1,1,0 to 30 minutes,27742.6977321952581,6058.994140625,0.2184
Mahalaxmi,524 1 07 3 001,1,2,30 minutes to 1 hour,27742.6977321952581,9289.1953125,0.3348
Bihadi,524 4 42 4 003,4,1,0 to 30 minutes,14849.6183651983738,1792.330810546875,0.1207
Fakphokthum,524 1 03 4 001,1,2,30 minutes to 1 hour,24972.8616706430912,5306.001953125,0.2125
Fakphokthum,524 1 03 4 001,1,3,1 to 2 hours,24972.8616706430912,14954.435546875,0.5988
Fakphokthum,524 1 03 4 001,1,4,2 to 4 hours,24972.8616706430912,3276.2958984375,0.1312
Dhorpatan Hunting Reserve,524 4 44 5 998,4,5,4 to 8 hours,356.621901345497463,17.4674873352050781,0.0490
Agnisair Krishna Savaran,524 2 15 4 002,2,5,4 to 8 hours,30326.826233651489,92.290130615234375,0.0030
