adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Gaumul,524 7 68 4 002,7,6,8 to 16 hours,9363.22258625948,6990.1875,0.746557868896345
Lomanthang,524 4 45 4 001,4,7,16 to 32 hours,2118.50200639713,1895.64440917969,0.894804160418781
Junichande,524 6 60 4 001,6,5,4 to 8 hours,23626.7382306393,252.013000488281,0.0106664321595382
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,5620.080078125,0.275188656424374
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,8555.5166015625,0.451660721116077
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,11402.1728515625,0.667197202082211
Punarbas,524 7 72 3 007,7,1,0 to 30 minutes,58630.6622533798,16247.869140625,0.277122388118486
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,18384.578125,0.511919920359978
Khandachakra,524 6 64 3 002,6,4,2 to 4 hours,22357.4055146133,5479.93408203125,0.245105993110401
Ishanath,524 2 32 3 013,2,2,30 minutes to 1 hour,47716.4921755791,23581.623046875,0.494202779200603
Jagadulla,524 6 62 4 002,6,7,16 to 32 hours,2504.43647724402,2502.9462890625,0.999404980643328
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,4100.7119140625,0.0469122327443724
Putha Uttarganga,524 5 52 4 002,5,6,8 to 16 hours,19482.5356403086,7635.8857421875,0.39193490432473
Turmakhad,524 7 69 4 006,7,5,4 to 8 hours,26871.595017828,21710.337890625,0.807928888338084
Lamkichuha,524 7 71 3 006,7,4,2 to 4 hours,82134.8850367814,46924.203125,0.571306614771379
Kalinchok,524 3 22 4 003,3,5,4 to 8 hours,25308.3621989693,4494.6953125,0.177597241463655
Dhanauji,524 2 17 4 004,2,3,1 to 2 hours,23229.635468334,12942.37109375,0.557149125796343
Tarakeshwor,524 3 27 3 001,3,5,4 to 8 hours,90292.0016365424,,
Durgathali,524 7 67 4 006,7,6,8 to 16 hours,13827.515117377,9354.66796875,0.676525600539318
Solududhakunda,524 1 11 3 001,1,4,2 to 4 hours,22992.8196952384,5798.69873046875,0.252196068482614
Kispang,524 3 28 4 002,3,5,4 to 8 hours,16473.9629708165,2845.95483398438,0.172754718401757
Dhaulagiri,524 4 44 4 001,4,7,16 to 32 hours,14871.9754701683,597.955749511719,0.0402068811040711
Uralabari,524 1 05 3 005,1,4,2 to 4 hours,60917.5915409178,21272.693359375,0.349204438673291
Shuklaphanta National Park,524 7 72 5 997,7,3,1 to 2 hours,986.42566909641,394.570068359375,0.399999797978504
Manthali,524 3 21 3 001,3,1,0 to 30 minutes,50995.762838237,7712.009765625,0.151228442058768
Krishnapur,524 7 72 3 005,7,3,1 to 2 hours,62214.692910336,35519.83984375,0.57092365456085
Raghuganga,524 4 44 4 002,4,6,8 to 16 hours,17521.4264612333,507.899139404297,0.0289873167877079
Jahada,524 1 05 4 007,1,2,30 minutes to 1 hour,46225.6911480725,26577.39453125,0.574948559365309
Shantinagar,524 5 56 4 003,5,3,1 to 2 hours,27505.8114778325,21302.806640625,0.774483845270058
Mohanyal,524 7 71 4 003,7,3,1 to 2 hours,24038.0277960505,28.8233318328857,0.00119907223992899
Harinagara,524 1 06 4 004,1,2,30 minutes to 1 hour,42210.0727682561,19011.546875,0.450403082206898
Chhathar,524 1 08 4 004,1,5,4 to 8 hours,18946.9950454906,1444.72253417969,0.0762507474515615
Halesi Tuwachung,524 1 12 3 001,1,4,2 to 4 hours,33213.1863360852,14094.2978515625,0.424358497523902
Hariwan,524 2 19 3 002,2,6,8 to 16 hours,50568.9358496927,,
