adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Chitawan National Park,524 3 31 5 997,3,3,1 to 2 hours,0,0,0
Langtang National Park,524 3 28 5 997,3,3,1 to 2 hours,1090.247995,59.1822052,0.054283251
Chitawan National Park,524 3 31 5 997,3,4,2 to 4 hours,0,0,0
Chitawan National Park,524 3 31 5 997,3,6,8 to 16 hours,0,0,0
Tarkeshwar,524 3 28 4 003,3,2,30 minutes to 1 hour,17632.73404,3739.87085,0.212098183
Gujara,524 2 32 3 001,2,5,4 to 8 hours,52414.04758,46.20649338,0.000881567
Meringden,524 1 01 4 004,1,5,4 to 8 hours,13980.5361,1281.910278,0.091692498
Biratnagar,524 1 05 1 001,1,1,0 to 30 minutes,240444.6314,231222.125,0.961643949
Balwa,524 2 18 3 007,2,3,1 to 2 hours,47311.85111,249.6322327,0.005276315
Turmakhad,524 7 69 4 006,7,1,0 to 30 minutes,26871.59502,467.569397,0.017400136
Falelung,524 1 02 4 003,1,6,8 to 16 hours,24660.60375,14.24875259,0.000577794
Gaidakot,524 4 47 3 004,4,2,30 minutes to 1 hour,65552.50551,2174.498535,0.03317186
Runtigadi,524 5 54 4 009,5,2,30 minutes to 1 hour,30648.11226,5086.551758,0.165966234
Tadi,524 3 28 4 005,3,1,0 to 30 minutes,19834.15091,5105.852539,0.257427331
Myanglung,524 1 08 3 002,1,1,0 to 30 minutes,22165.85833,11411.45996,0.514821479
Deumai,524 1 03 3 001,1,4,2 to 4 hours,36718.88842,5472.027832,0.149024877
Nagarain,524 2 17 3 009,2,4,2 to 4 hours,39909.006,25.21152878,0.000631725
Mangala,524 4 44 4 005,4,6,8 to 16 hours,17845.81162,17.06845474,0.00095644
Uralabari,524 1 05 3 005,1,3,1 to 2 hours,60917.59154,1468.345947,0.024103808
Langtang National Park,524 3 28 5 997,3,6,8 to 16 hours,1090.247995,139.7552185,0.128186632
Jitpur Simara,524 2 33 2 001,2,4,2 to 4 hours,127613.8024,1058.14209,0.008291753
Aarughat,524 4 36 4 006,4,2,30 minutes to 1 hour,26130.83394,6771.430664,0.259135651
Tikapur,524 7 71 3 005,7,1,0 to 30 minutes,84057.8369,72350.84375,0.860726928
Parsa Wildlife Resrve,524 2 34 5 995,2,3,1 to 2 hours,564.3362128,39.43073273,0.069870995
Belkotgadhi,524 3 28 3 002,3,3,1 to 2 hours,45508.74324,16774.74219,0.368604822
Palungtar,524 4 36 3 001,4,2,30 minutes to 1 hour,42065.04802,14087.91406,0.334907833
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.6219013,5.937757969,0.016650009
Janakpur,524 2 17 2 001,2,2,30 minutes to 1 hour,181044.6716,16998.47461,0.093891052
Paterwasugauli,524 2 34 4 003,2,1,0 to 30 minutes,26557.03803,20378.51563,0.767348964
Gandaki,524 4 36 4 009,4,2,30 minutes to 1 hour,25430.09793,7448.806152,0.292912995
Inaruwa,524 1 06 3 003,1,4,2 to 4 hours,71035.62244,0.817676485,1.15108E-05
Madhyabindu,524 4 47 3 001,4,2,30 minutes to 1 hour,59042.79226,14427.38281,0.244354683
Gujara,524 2 32 3 001,2,3,1 to 2 hours,52414.04758,24487.19727,0.46718768
Sukhipur,524 2 16 3 007,2,3,1 to 2 hours,42358.40165,137.0433655,0.003235329
Mahakali,524 7 75 3 001,7,2,30 minutes to 1 hour,23547.44018,371.6524963,0.015783138
Lisangkhu Pakhar,524 3 23 4 009,3,1,0 to 30 minutes,16839.67669,2833.44458,0.168260034
Chhatreshwori,524 6 53 4 005,6,1,0 to 30 minutes,23797.78296,2322.023682,0.097573109
Arnama,524 2 16 4 003,2,3,1 to 2 hours,24449.00917,289.4563599,0.011839186
Sunchhahari,524 5 54 4 005,5,7,16 to 32 hours,17690.05348,0.09809275,5.54508E-06
Narayan,524 6 61 3 004,6,1,0 to 30 minutes,29192.78441,6896.768555,0.236249083
Harinas,524 4 41 4 005,4,5,4 to 8 hours,17951.59622,66.18959808,0.003687115
Patrasi,524 6 63 4 003,6,4,2 to 4 hours,15865.05823,572.4616699,0.036083175
Tripurasundari,524 6 62 3 001,6,3,1 to 2 hours,11020.46382,122.4371185,0.011109979
Tamakoshi,524 3 22 4 007,3,5,4 to 8 hours,20979.33165,115.6032562,0.00551034
Karjanha,524 2 16 3 001,2,5,4 to 8 hours,34697.85284,3.008339405,8.6701E-05
Beni,524 4 44 3 001,4,5,4 to 8 hours,36200.97747,111.7784958,0.00308772
Bethanchowk,524 3 24 4 003,3,1,0 to 30 minutes,18357.72696,3755.072998,0.204549997
Likhu,524 1 13 4 002,1,1,0 to 30 minutes,15562.94091,1529.360474,0.098269375
Kachankawal,524 1 04 4 007,1,4,2 to 4 hours,44695.25091,125.6808167,0.00281195
Purbichauki,524 7 70 4 003,7,1,0 to 30 minutes,24479.15835,2811.022461,0.114833297
Mahakali,524 7 75 3 001,7,7,16 to 32 hours,23547.44018,84.29360199,0.003579735
Budhiganga,524 7 68 3 003,7,1,0 to 30 minutes,23323.19084,3954.701172,0.169560898
Gandaki,524 4 36 4 009,4,5,4 to 8 hours,25430.09793,344.6348877,0.013552244
Koshi Tappu Wildlife Reserve,524 1 06 5 995,1,5,4 to 8 hours,223.6488253,0,0
