adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Chitawan National Park,524 3 31 5 997,3,4,2 to 4 hours,0,0,
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,43181.90625,0.501501592478367
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,1866.01745605469,0.0639205027527376
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,2039.78747558594,0.0997864561557637
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,15245.345703125,0.572489780116476
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,26464.3671875,0.65931627526757
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,2615.02001953125,0.190338531358913
Kuse,524 6 60 4 002,6,5,4 to 8 hours,22502.8349788638,1635.83178710938,0.0726944755470081
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,10775.93359375,0.415184725077056
Tillotama,524 5 48 3 003,5,3,1 to 2 hours,111663.267007127,724.236511230469,0.00648589756185659
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,14450.9423828125,0.389087163802623
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,6694.6904296875,0.11843011949295
Sunchhahari,524 5 54 4 005,5,7,16 to 32 hours,17690.053477441,1.03319048881531,5.84051648081716e-05
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,4530.19580078125,0.0595407459220458
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,3891.73608398438,0.169683484797467
Mugum Karmarong,524 6 65 4 003,6,6,8 to 16 hours,5707.12454636682,3.67439389228821,0.000643825776437162
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,33686.61328125,0.480764885554776
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,10459.7060546875,0.285737006509449
Harinas,524 4 41 4 005,4,7,16 to 32 hours,17951.5962224305,,
Thaha,524 3 31 3 001,3,5,4 to 8 hours,45900.3440804929,4522.7763671875,0.0985346941900078
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,609.164916992188,0.193258550746683
Bhume,524 5 52 4 003,5,7,16 to 32 hours,20738.3046732717,0.353274554014206,1.70348810850252e-05
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,4071.26416015625,0.0465753498045317
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,4595.10693359375,0.262256440350937
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,40233.390625,0.716576549734319
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,18321.724609375,0.354105687392339
Umakunda,524 3 21 4 004,3,6,8 to 16 hours,19610.3907515064,1144.99975585938,0.0583874013714601
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,105.736030578613,0.00603467022576944
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,475.470611572266,0.0299696732666199
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,2466.84619140625,0.165872126157988
Kanthekhola,524 4 43 4 005,4,2,30 minutes to 1 hour,28638.3406830654,7503.7587890625,0.262017931559131
Melung,524 3 22 4 006,3,4,2 to 4 hours,22703.2341257036,14980.6572265625,0.659846836958003
Ramprasad Rai,524 1 10 4 004,1,4,2 to 4 hours,21404.7580865212,11203.2626953125,0.523400575237864
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,770.043334960938,0.0164153087155899
Dolpo Buddha,524 6 62 4 003,6,7,16 to 32 hours,2267.2867809672,804.757202148438,0.354942836920319
Gaur,524 2 32 3 015,2,4,2 to 4 hours,39336.1644554138,,
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,100.948112487793,0.00938626091465014
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,210.138046264648,0.213029783031843
Rohini,524 5 48 4 007,5,2,30 minutes to 1 hour,41663.5296741724,21104.4140625,0.506544074099003
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,1957.61596679688,0.0843907506977919
Dhunibesi,524 3 30 3 002,3,1,0 to 30 minutes,34238.7534427717,70.5864868164062,0.00206159628253954
Solududhakunda,524 1 11 3 001,1,8,> 32 hours,22992.8196952384,0.034396398812532,1.49596262087225e-06
Madi,524 5 54 4 004,5,5,4 to 8 hours,19894.5814803466,7193.53173828125,0.361582461304228
Loharpatti,524 2 18 3 008,2,2,30 minutes to 1 hour,44769.0464259833,16251.9140625,0.363016757334095
Jiri,524 3 22 3 002,3,6,8 to 16 hours,17528.2291280694,51.6551361083984,0.00294696832925803
Neshyang,524 4 38 4 001,4,7,16 to 32 hours,2164.54852405361,1418.1357421875,0.655164680499617
Shambhunath,524 2 15 3 003,2,3,1 to 2 hours,39598.0955801122,3080.86157226562,0.0778032763225351
Ganeshman Charnath,524 2 17 3 002,2,4,2 to 4 hours,39840.8077594191,3620.89892578125,0.0908841745289465
