adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,76752.140625,0.891376136262189
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,8313.9072265625,0.312201967257975
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,1055.19470214844,0.0516201521687856
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,4488.5146484375,0.11182397593431
Gharapjhong,524 4 45 4 004,4,3,1 to 2 hours,3152.07226090948,540.128784179688,0.171356726455199
Barbardiya,524 5 58 3 005,5,2,30 minutes to 1 hour,74432.436629042,30820.931640625,0.414079305158731
Chitawan National Park,524 3 31 5 997,3,4,2 to 4 hours,0,0,
Dewahhi Gonahi,524 2 32 3 007,2,1,0 to 30 minutes,36950.2591418028,31238.4296875,0.845418419600721
Chitawan National Park,524 3 31 5 997,3,3,1 to 2 hours,0,0,
Yangwarak,524 1 01 4 007,1,6,8 to 16 hours,15334.3657150716,10.6501522064209,0.000694528381826271
Chitawan National Park,524 3 31 5 997,3,6,8 to 16 hours,0,0,
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,2370.49926757812,0.116072102075354
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,1747.64953613281,0.092261483029998
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,3414.54028320312,0.199801542478628
Punarbas,524 7 72 3 007,7,1,0 to 30 minutes,58630.6622533798,55558.77734375,0.947606170703747
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,5593.8447265625,0.15576101488203
Khandachakra,524 6 64 3 002,6,4,2 to 4 hours,22357.4055146133,14430.337890625,0.64543884044117
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,6522.22119140625,0.251293921653001
Khandbari,524 1 09 3 001,1,5,4 to 8 hours,33742.6207489222,17.759744644165,0.000526329735212767
Dudhkoshi,524 1 11 4 004,1,7,16 to 32 hours,14949.5460244277,1.50390267372131,0.000100598551371655
Chhinnamasta,524 2 15 4 008,2,3,1 to 2 hours,31690.6650921404,519.007751464844,0.0163773070068372
Melamchi,524 3 23 3 001,3,5,4 to 8 hours,50172.9532090463,110.692016601562,0.00220620891380188
Dhakari,524 7 69 4 005,7,2,30 minutes to 1 hour,23467.0955361687,597.862915039062,0.0254766472534961
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,14.6251659393311,0.000232530028088959
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,2514.51635742188,0.109635362958824
Barahtal,524 6 59 4 002,6,2,30 minutes to 1 hour,29577.2809549607,3177.07348632812,0.107416009306808
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,35716.765625,0.975706357189023
Banfikot,524 6 52 4 002,6,3,1 to 2 hours,20768.8714226712,6892.1162109375,0.331848373976358
Musikot,524 6 52 3 003,6,2,30 minutes to 1 hour,36042.4884925038,7353.85205078125,0.204032861169137
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,482.815979003906,0.153174146732473
Bahudaramai,524 2 34 3 002,2,1,0 to 30 minutes,45292.4304988086,43618.76171875,0.963047494655809
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,38.6294555664062,0.00138885291710229
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,12264.71484375,0.172655836928442
Kailash,524 3 31 4 003,3,2,30 minutes to 1 hour,26566.3559850082,4047.65991210938,0.152360373187559
Adharsha,524 7 70 4 001,7,3,1 to 2 hours,26156.673794806,8047.44482421875,0.307663156537004
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,1684.55920410156,0.019271393628868
Falgunanda,524 1 02 4 005,1,1,0 to 30 minutes,27047.0450184345,2618.55517578125,0.0968148340787881
Bogtan,524 7 70 4 007,7,1,0 to 30 minutes,19685.7893086784,292.975402832031,0.0148825834838573
Thakurbaba,524 5 58 3 003,5,1,0 to 30 minutes,49045.9695552289,39495.5859375,0.80527689218225
Ramprasad Rai,524 1 10 4 004,1,4,2 to 4 hours,21404.7580865212,4055.38647460938,0.189461915814087
Rainas,524 4 37 3 004,4,1,0 to 30 minutes,20113.7581456117,8034.51220703125,0.39945355556461
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,176.673446655273,0.00376621553232552
Dolpo Buddha,524 6 62 4 003,6,7,16 to 32 hours,2267.2867809672,1953.55200195312,0.861625453979738
Benighat Rorang,524 3 30 4 008,3,2,30 minutes to 1 hour,34760.5741125494,4959.810546875,0.142684943315835
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,2.09619355201721,0.000194906265426409
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,53.7268753051758,0.0544662177682287
Rohini,524 5 48 4 007,5,2,30 minutes to 1 hour,41663.5296741724,6445.55029296875,0.154704854422462
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,743.907592773438,0.0320690683304238
Madi,524 5 54 4 004,5,5,4 to 8 hours,19894.5814803466,1335.83129882812,0.0671454838166744
Shambhunath,524 2 15 3 003,2,3,1 to 2 hours,39598.0955801122,858.979309082031,0.0216924399140409
Jiri,524 3 22 3 002,3,6,8 to 16 hours,17528.2291280694,36.3727836608887,0.00207509745537511
Neshyang,524 4 38 4 001,4,7,16 to 32 hours,2164.54852405361,112.643188476562,0.0520400384767594
Ganeshman Charnath,524 2 17 3 002,2,4,2 to 4 hours,39840.8077594191,1788.18957519531,0.044883366471719
Mai,524 1 03 3 004,1,4,2 to 4 hours,36995.3578437902,8712.30078125,0.235497135019938
Chaurjahari,524 6 52 3 002,6,6,8 to 16 hours,30084.3639329225,6.96726751327515,0.000231590986228251
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,3.60780739784241,0.000282829521956659
Ramaroshan,524 7 69 4 004,7,6,8 to 16 hours,27565.5352178542,485.869537353516,0.0176259787271904
Nawarajpur,524 2 16 4 007,2,3,1 to 2 hours,21545.7922369242,360.3466796875,0.0167246892444249
Thantikandh,524 6 61 4 001,6,5,4 to 8 hours,20469.3958140016,4447.09423828125,0.217255764590733
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,1083582.5,0.995279248161297
Mahankal,524 3 25 4 003,3,4,2 to 4 hours,10538.9451647997,1722.787109375,0.163468647235128
Chandannath,524 6 63 3 001,6,5,4 to 8 hours,22083.4815721046,931.712768554688,0.0421904836659273
Baiteshwor,524 3 22 4 004,3,6,8 to 16 hours,22213.7700060084,,
