adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Arjunchaupari,524 4 41 4 003,4,3,1 to 2 hours,18161.0017326921,3.50800538063049,0.000193161447384019
Benighat Rorang,524 3 30 4 008,3,6,8 to 16 hours,34760.5741125494,1431.04479980469,0.0411686180778023
Banglachuli,524 5 56 4 005,5,3,1 to 2 hours,26626.8194289505,5259.90478515625,0.197541610224664
Chitawan National Park,524 3 31 5 997,3,4,2 to 4 hours,0,0,
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,64801.8671875,0.752589276674253
Turmakhad,524 7 69 4 006,7,6,8 to 16 hours,26871.595017828,26409.763671875,0.982813400334195
Doramba,524 3 21 4 002,3,4,2 to 4 hours,25375.7788769417,15868.5146484375,0.625340988562003
Tansen,524 5 46 3 001,5,3,1 to 2 hours,54592.4382034391,12231.7421875,0.224055612645809
Pyuthan,524 5 55 3 002,5,5,4 to 8 hours,41808.6622774154,8608.90625,0.205912023515051
Ghanglekh,524 3 20 4 003,3,4,2 to 4 hours,15188.4689030834,9233.1279296875,0.607903797848453
Patahrishanishchare,524 1 05 3 004,1,2,30 minutes to 1 hour,70068.7889099419,22568.529296875,0.322091042930425
Jugal,524 3 23 4 003,3,5,4 to 8 hours,21039.8386648851,11094.66796875,0.527317159863335
Jagarnathpur,524 2 34 4 005,2,4,2 to 4 hours,36982.9702249467,26753.9296875,0.723412141447017
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,11018.8828125,0.377452272412106
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,5916.6787109375,0.289444075837905
Kedarseu,524 7 67 4 005,7,6,8 to 16 hours,23302.7449466288,7067.43701171875,0.303287746911601
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,13395.037109375,0.503007409522123
Bhangaha,524 2 18 3 004,2,4,2 to 4 hours,53237.5414434671,37.3207702636719,0.000701023549393293
Ghiring,524 4 40 4 002,4,4,2 to 4 hours,21323.0699981004,5024.2294921875,0.235624114756228
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,28.4702663421631,0.000791466882843206
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,4008.4921875,0.956838090242271
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,28248.328125,0.703760734196136
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,9.63278198242188,0.027011190131841
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,7020.623046875,0.511007590758811
Kabilasi,524 2 19 3 007,2,3,1 to 2 hours,47753.4287705719,3406.48022460938,0.0713347776758727
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,2494.62084960938,0.0441302325195987
Godawari,524 7 71 3 001,7,3,1 to 2 hours,84777.2116720788,14.1945505142212,0.000167433561852992
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,1.10109555721283,3.95879194832173e-05
Kohalpur,524 5 57 3 001,5,2,30 minutes to 1 hour,79478.3234474845,66516.578125,0.836914711329448
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,3519.84033203125,0.0462615586857196
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,12686.4462890625,0.553141418012113
Arnama,524 2 16 4 003,2,4,2 to 4 hours,24449.0091687143,,
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,0.831811845302582,5.33985918181309e-06
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,1050.72741699219,0.0499398989568215
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,3191.68310546875,0.0871900196348941
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,4508.4208984375,0.0643427832644873
Harinas,524 4 41 4 005,4,7,16 to 32 hours,17951.5962224305,,
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,1554.74670410156,0.0558981343041359
Barah,524 1 06 3 001,1,3,1 to 2 hours,87412.4226064347,74919.53125,0.857081053425523
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,24262.83984375,0.341558770248795
Butwal,524 5 48 2 001,5,6,8 to 16 hours,152984.447511367,,
Menchayam,524 1 08 4 001,1,5,4 to 8 hours,9119.66115317307,6999.5244140625,0.767520228712347
Jagadulla,524 6 62 4 002,6,7,16 to 32 hours,2504.43647724402,1381.6044921875,0.551662821054209
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,2757.72973632812,0.0315484876645567
Tripurasundari,524 3 23 4 008,3,3,1 to 2 hours,14589.4684107229,8479.9814453125,0.581239919549085
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,4595.10693359375,0.262256440350937
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,18618.732421875,0.33160881626028
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,7582.9921875,0.146557200170526
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,3633.49340820312,0.229024902086329
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,2467.1728515625,0.165894090970726
Putha Uttarganga,524 5 52 4 002,5,6,8 to 16 hours,19482.5356403086,12762.0517578125,0.655050861624413
Sunkoshi,524 3 23 4 007,3,3,1 to 2 hours,19058.1295430213,4740.58349609375,0.248743376698772
Janki,524 5 57 4 003,5,4,2 to 4 hours,42468.5643958598,,
Parsa Wildlife Reserve,524 3 31 5 995,3,4,2 to 4 hours,1685.21897472441,1654.8701171875,0.981991148929548
Kanthekhola,524 4 43 4 005,4,2,30 minutes to 1 hour,28638.3406830654,7503.7587890625,0.262017931559131
Karjanha,524 2 16 3 001,2,1,0 to 30 minutes,34697.8528449237,27047.478515625,0.779514474181131
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,218.316711425781,0.00465394095776227
Benighat Rorang,524 3 30 4 008,3,2,30 minutes to 1 hour,34760.5741125494,3494.75830078125,0.10053799138834
Madi,524 5 54 4 004,5,5,4 to 8 hours,19894.5814803466,15635.6796875,0.785926545021624
Loharpatti,524 2 18 3 008,2,2,30 minutes to 1 hour,44769.0464259833,14934.8447265625,0.333597561682585
