adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,59858.77734375,0.695181726992393
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,2970.30200195312,0.145307250894916
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,11577.7783203125,0.434766117732205
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,31.1799736022949,0.00086679612398269
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,14720.416015625,0.36673500594396
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,3486.72265625,0.253786840899763
Kispang,524 3 28 4 002,3,5,4 to 8 hours,16473.9629708165,595.481323242188,0.0361468169072054
Sunwal,524 5 47 3 001,5,3,1 to 2 hours,61663.8532037921,23236.71875,0.376828847740105
Kalika,524 6 64 4 005,6,5,4 to 8 hours,15735.3221505005,4757.35400390625,0.302335977516351
Dhangadhi,524 7 71 2 001,7,3,1 to 2 hours,162376.75378485,31955.265625,0.196797046868795
Yangwarak,524 1 01 4 007,1,6,8 to 16 hours,15334.3657150716,12.7430896759033,0.000831015114200558
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,2281.6171875,0.0243159288490963
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,5428.18115234375,0.265792276511467
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,4138.3798828125,0.218472329512165
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,5614.71728515625,0.328544717915369
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,13334.5380859375,0.371301186710817
Khandachakra,524 6 64 3 002,6,4,2 to 4 hours,22357.4055146133,9042.3564453125,0.404445696500975
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,49065.796875,0.284736032394976
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,4653.76123046875,0.082325763140895
Sworgadwary,524 5 55 3 001,5,2,30 minutes to 1 hour,33895.1582542509,5019.8623046875,0.148099686304251
