adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Ramdhuni,524 1 06 3 002,1,5,4 to 8 hours,58906.8565486781,22621.01953125,0.384013353565335
Himali,524 7 68 4 001,7,8,> 32 hours,10074.9900278001,1547.60290527344,0.1536083808523
Rohini,524 5 48 4 007,5,1,0 to 30 minutes,41663.5296741724,4.0482006072998,9.71641298507006e-05
Hariharpurgadhi,524 3 20 4 001,3,4,2 to 4 hours,30851.664139241,6600.1591796875,0.213932031345194
Rapti,524 3 35 3 004,3,4,2 to 4 hours,66321.6599378437,20875.845703125,0.31476663465133
Barahapokhari,524 1 12 4 007,1,6,8 to 16 hours,15996.9797222912,9961.36328125,0.622702751030508
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,3.48261022567749,4.04459813341081e-05
Dangisharan,524 5 56 4 002,5,5,4 to 8 hours,23780.6271807607,16670.490234375,0.701011378197037
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,2228.97338867188,0.0763535727729033
Laligurans,524 1 08 3 001,1,5,4 to 8 hours,18970.8394403681,7812.873046875,0.411835916456599
Yangwarak,524 1 01 4 007,1,6,8 to 16 hours,15334.3657150716,7392.630859375,0.482095640389551
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,39925.58203125,0.425499780265234
Phedap,524 1 08 4 002,1,5,4 to 8 hours,19729.3887172192,10711.98828125,0.542945776718408
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,16937.91015625,0.834900968866476
Sotang,524 1 11 4 007,1,8,> 32 hours,10604.9032105431,2.02016019821167,0.00019049303497681
Babai,524 5 56 4 001,5,5,4 to 8 hours,26311.4030192234,11583.5009765625,0.440246419702495
Resunga,524 5 51 3 002,5,5,4 to 8 hours,35994.0990546495,8156.83251953125,0.226615826865032
Myanglung,524 1 08 3 002,1,7,16 to 32 hours,22165.8583285883,,
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,7900.5078125,0.284048614226972
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,17554.349609375,0.737646428572268
Chandrakot,524 5 51 4 006,5,7,16 to 32 hours,24304.7403015196,16.7501049041748,0.000689170289267708
Geruwa,524 5 58 4 001,5,5,4 to 8 hours,38011.5052131061,34953.91796875,0.919561532035784
Parsa Wildlife Reserve,524 3 31 5 995,3,6,8 to 16 hours,1685.21897472441,1655.26000976562,0.982222509117139
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,37380.50390625,0.782527651102293
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,8680.2216796875,0.13800952408807
Arnama,524 2 16 4 003,2,4,2 to 4 hours,24449.0091687143,23659.677734375,0.967715197417925
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,247.043273925781,0.00158590707986117
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,4917.58984375,0.233727545257147
Mellekh,524 7 69 4 002,7,7,16 to 32 hours,26744.8518578447,15201.205078125,0.56837873542628
Shivanath,524 7 74 4 005,7,7,16 to 32 hours,18976.0079016462,2.68470644950867,0.000141478990914404
Yangwarak,524 1 02 4 002,1,8,> 32 hours,20441.5263771056,593.348693847656,0.0290266334764611
Harinas,524 4 41 4 005,4,7,16 to 32 hours,17951.5962224305,1.05121195316315,5.85581326662005e-05
Chum Nubri,524 4 36 4 001,4,8,> 32 hours,7664.6336446854,7222.0029296875,0.942250245019237
Rainadevi Chhahara,524 5 46 4 001,5,6,8 to 16 hours,29152.090916492,26422.5,0.906367233681072
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,1216.57312011719,0.385959781190474
Damak,524 1 04 3 001,1,5,4 to 8 hours,84493.8126572669,49.309455871582,0.000583586588423894
Jagadulla,524 6 62 4 002,6,7,16 to 32 hours,2504.43647724402,2479.72705078125,0.990133737993643
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,12385.30859375,0.141688197448932
Bhume,524 5 52 4 003,5,7,16 to 32 hours,20738.3046732717,10665.8818359375,0.514308281413383
Namobuddha,524 3 24 3 006,3,3,1 to 2 hours,32787.7562811375,2.37954568862915,7.25742154548734e-05
Hanumannagar Kankalini,524 2 15 3 009,2,6,8 to 16 hours,50614.0774613284,1.65646004676819,3.27272594869245e-05
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,1358.09655761719,0.0775106159662296
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,693.253356933594,0.0436968680978708
Sunkoshi,524 3 23 4 007,3,3,1 to 2 hours,19058.1295430213,1730.8173828125,0.0908177992444326
Janki,524 5 57 4 003,5,4,2 to 4 hours,42468.5643958598,11784.314453125,0.277483230732278
Phedikhola,524 4 41 4 002,4,5,4 to 8 hours,13556.9496206455,11791.970703125,0.869810026081925
Manebhanjyang,524 1 13 4 007,1,7,16 to 32 hours,23563.2671915293,1312.46728515625,0.0556997157689604
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,2196.13940429688,0.0468159448530695
Tamakoshi,524 3 22 4 007,3,3,1 to 2 hours,20979.3316478282,54.3309020996094,0.00258973464987545
Bagchaur,524 6 53 3 002,6,4,2 to 4 hours,37624.0976811051,9252.353515625,0.245915625513367
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,430.420776367188,0.0400209732555152
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,103.413238525391,0.104836321443378
Bareng,524 4 43 4 006,4,6,8 to 16 hours,16257.1611697227,15632.12890625,0.961553419016554
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,12530.482421875,0.540175824126408
Nepalgunj,524 5 57 2 001,5,3,1 to 2 hours,151198.2302268,33092.19921875,0.218866313243952
Budhiganga,524 1 05 4 004,1,1,0 to 30 minutes,46753.3540797457,133.736663818359,0.00286047207629744
Gokarneshwor,524 3 27 3 004,3,6,8 to 16 hours,119874.272035163,,
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,1944.40576171875,0.152429243425125
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,7701.4365234375,0.457245487102841
Kamalbazar,524 7 69 3 003,7,7,16 to 32 hours,26016.6821766682,25865.189453125,0.994177092893149
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,985993.125,0.90564262171289
Badigad,524 4 43 4 003,4,8,> 32 hours,34033.6199748758,,
Dipayal Silgadi,524 7 70 3 002,7,5,4 to 8 hours,35126.0238489956,12212.7333984375,0.347683343009138
Chandannath,524 6 63 3 001,6,5,4 to 8 hours,22083.4815721046,2873.40258789062,0.130115470176598
Shuklaphanta National Park,524 7 72 5 997,7,5,4 to 8 hours,986.42566909641,510.429260253906,0.517453343161144
Mohanyal,524 7 71 4 003,7,6,8 to 16 hours,24038.0277960505,11644.9384765625,0.484438181674612
Galyang,524 4 41 3 003,4,1,0 to 30 minutes,42454.6868954599,22.32373046875,0.00052582487591346
Madi,524 4 39 4 003,4,6,8 to 16 hours,20162.2267178839,11251.1181640625,0.558029543139833
Shankharapur,524 3 27 3 007,3,5,4 to 8 hours,28204.9811190143,10165.44921875,0.36041326090082
