adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Krishnapur,524 7 72 3 005,7,3,1 to 2 hours,62214.692910336,23830.109375,0.38303024993379
Tadi,524 3 28 4 005,3,7,16 to 32 hours,19834.1509140627,,
Melamchi,524 3 23 3 001,3,5,4 to 8 hours,50172.9532090463,4955.8408203125,0.0987751468338713
Chhatradev,524 5 50 4 002,5,3,1 to 2 hours,28031.0082673728,3777.32495117188,0.134755229463813
Chhayanath Rara,524 6 65 3 001,6,6,8 to 16 hours,21797.6066564721,3765.01049804688,0.172725866531268
Kailari,524 7 71 4 002,7,3,1 to 2 hours,50528.7742574438,14881.603515625,0.294517405860734
Ajaymeru,524 7 73 4 002,7,2,30 minutes to 1 hour,18498.7372553051,132.665161132812,0.00717157929765
Dhaulagiri,524 4 44 4 001,4,5,4 to 8 hours,14871.9754701683,4496.61279296875,0.302354774723002
Fakphokthum,524 1 03 4 001,1,6,8 to 16 hours,24972.8616706431,15.0487766265869,0.000602605213013194
Mikwakhola,524 1 01 4 002,1,1,0 to 30 minutes,10139.5423433132,235.980834960938,0.0232733221057616
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,45243.55859375,0.482175168416829
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,3406.6044921875,0.166805259025255
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,4380.41650390625,0.256319709708706
Meghang,524 3 28 4 001,3,7,16 to 32 hours,15000.4129657336,,
Tillotama,524 5 48 3 003,5,3,1 to 2 hours,111663.267007127,11942.748046875,0.106953238669908
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,12495.1591796875,0.33642830465294
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,12138.6357421875,0.214734362481307
Chisankhugadhi,524 1 13 4 006,1,1,0 to 30 minutes,17089.6592731178,164.44905090332,0.00962272262279684
Marma,524 7 75 4 007,7,4,2 to 4 hours,16020.7516647223,2.38534498214722,0.000148890952938228
Arun,524 1 10 4 003,1,6,8 to 16 hours,19704.8384484947,5.87924146652222,0.000298365372641325
Arnama,524 2 16 4 003,2,4,2 to 4 hours,24449.0091687143,8550.9423828125,0.349745968182406
Barahtal,524 6 59 4 002,6,2,30 minutes to 1 hour,29577.2809549607,71.3226547241211,0.00241139998070576
Mellekh,524 7 69 4 002,7,7,16 to 32 hours,26744.8518578447,71.2927474975586,0.00266566245632978
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,25893.1640625,0.369539198055499
Harinas,524 4 41 4 005,4,7,16 to 32 hours,17951.5962224305,,
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,780.888732910156,0.247738207843256
Thaha,524 3 31 3 001,3,5,4 to 8 hours,45900.3440804929,4400.72021484375,0.0958755386915282
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,12871.9970703125,0.462789610102155
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,18392.775390625,0.258923266375286
Pheta,524 2 33 4 005,2,2,30 minutes to 1 hour,28756.1612660885,16.7722206115723,0.000583256591739572
Chure,524 7 71 4 001,7,2,30 minutes to 1 hour,20533.6955341883,25.6570949554443,0.00124951180427925
Bhume,524 5 52 4 003,5,7,16 to 32 hours,20738.3046732717,321.976226806641,0.0155256773337705
Makalu,524 1 09 4 001,1,3,1 to 2 hours,15009.8849291737,0.063235968351364,4.21295490603372e-06
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,24078.912109375,0.428857312114541
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,14519.64453125,0.280622529649849
Aamchowk,524 1 10 4 006,1,3,1 to 2 hours,21079.5502201952,654.310546875,0.0310400620525641
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,870.227966308594,0.0496665022242339
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,424.689727783203,0.0267688729262668
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,3456.16015625,0.232394153902601
Mathagadhi,524 5 46 4 004,5,7,16 to 32 hours,27453.4601313621,0.797392308712006,2.90452389205792e-05
Solududhakunda,524 1 11 3 001,1,8,> 32 hours,22992.8196952384,,
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,1956.96789550781,0.0417174341920493
Sunapati,524 3 21 4 001,3,3,1 to 2 hours,19995.6999516413,73.4032592773438,0.00367095222747222
Loharpatti,524 2 18 3 008,2,2,30 minutes to 1 hour,44769.0464259833,6604.3388671875,0.147520204123768
