adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Ramdhuni,524 1 06 3 002,1,5,4 to 8 hours,58906.8565486781,18772.1692089885,0.318675453229728
Chankheli,524 6 66 4 005,6,6,8 to 16 hours,5925.77132114399,485.950324349338,0.0820062567408564
Himali,524 7 68 4 001,7,8,> 32 hours,10074.9900278001,4979.40068483342,0.494233807784789
Tikapur,524 7 71 3 005,7,7,16 to 32 hours,84057.8369026482,49966.4794287831,0.594429755391539
Simkot,524 6 66 4 002,6,5,4 to 8 hours,12317.9514173843,4810.57599677739,0.390533769274999
Uralabari,524 1 05 3 005,1,7,16 to 32 hours,60917.5915409178,27166.3795439899,0.445952948184803
Chaurpati,524 7 69 4 001,7,7,16 to 32 hours,27470.9785091262,4170.31142709218,0.151807895219559
Dangisharan,524 5 56 4 002,5,5,4 to 8 hours,23780.6271807607,21022.5759860799,0.884021091045395
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,866.763521283865,0.0296910191640641
Kwholasothar,524 4 37 4 001,4,8,> 32 hours,10774.7392271358,0.00235765112251,2.18812824404357e-07
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,1518.26756556181,0.362414636216364
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,350.066667160427,0.98161853167083
Laligurans,524 1 08 3 001,1,7,16 to 32 hours,18970.8394403681,0.648211386204096,3.41688299161272e-05
Khajura,524 5 57 4 001,5,8,> 32 hours,55660.6711887419,26.5167914777994,0.000476400857400418
Yangwarak,524 1 01 4 007,1,6,8 to 16 hours,15334.3657150716,7634.37765620649,0.497860674387265
Kaudena,524 2 19 4 006,2,2,30 minutes to 1 hour,28132.9911781549,0.171835491124764,6.107970888577e-06
Banepa,524 3 24 3 002,3,5,4 to 8 hours,62895.8163361847,2697.84920123219,0.0428939372821224
Rupakot Majhuwagadhi,524 1 12 3 002,1,6,8 to 16 hours,52448.7913502753,11203.246035859,0.213603512062632
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,39664.169133693,0.422713818863796
Phedap,524 1 08 4 002,1,5,4 to 8 hours,19729.3887172192,6709.81431637704,0.340092357272119
Bhimphedi,524 3 31 4 004,3,3,1 to 2 hours,26514.0055196621,672.043558776379,0.0253467382843384
Samsi,524 2 18 4 002,2,6,8 to 16 hours,39007.8489025831,6.33074876372051,0.000162294229028899
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,11254.7644174844,0.554768187446925
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,20508.9431388378,0.119016412040426
Bhimdatta,524 7 72 3 002,7,3,1 to 2 hours,113519.459733821,34261.4270549417,0.301811047509187
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,12810.9819128513,0.53832669764489
Janaki,524 7 71 4 006,7,6,8 to 16 hours,51809.2077100873,10.9940007925034,0.000212201677625014
Phalebas,524 4 42 3 002,4,8,> 32 hours,27380.2592477202,1.13978523015976,4.1627992629568e-05
Parsa Wildlife Reserve,524 3 31 5 995,3,6,8 to 16 hours,1685.21897472441,1685.21897472441,1
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,39026.640651077,0.816988061897004
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,24218.2639829516,0.385053655294058
Arnama,524 2 16 4 003,2,4,2 to 4 hours,24449.0091687143,17212.9636028707,0.704035222208389
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,1801.7791020833,0.0115666141762607
Mellekh,524 7 69 4 002,7,7,16 to 32 hours,26744.8518578447,12631.830028709,0.472308842683078
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,4553.24864152994,0.216410815408446
Yangwarak,524 1 02 4 002,1,8,> 32 hours,20441.5263771056,1458.76536746835,0.0713628395725948
Harinas,524 4 41 4 005,4,7,16 to 32 hours,17951.5962224305,3809.91515627503,0.212232667728709
Rainadevi Chhahara,524 5 46 4 001,5,6,8 to 16 hours,29152.090916492,26015.0664374605,0.892391098531568
Chum Nubri,524 4 36 4 001,4,8,> 32 hours,7664.6336446854,7664.6336446854,1
Loharpatti,524 2 18 3 008,2,4,2 to 4 hours,44769.0464259833,40783.6411412805,0.91097855319988
Rapti Sonari,524 5 57 4 005,5,8,> 32 hours,66782.7500941576,0.851584155112505,1.27515586571659e-05
Sirijangha,524 1 01 4 003,1,8,> 32 hours,17611.824913596,487.565918451757,0.0276840089453402
Shuklagandaki,524 4 40 3 001,4,7,16 to 32 hours,53461.9922936596,0.070780561491044,1.32394170988346e-06
Itahari,524 1 06 2 002,1,4,2 to 4 hours,158457.082929015,17835.270423755,0.112555842213407
Kumakhmalika,524 6 53 4 001,6,6,8 to 16 hours,27224.6488540769,13330.7927918062,0.489658943381005
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,1311.66158403177,0.0748604337057751
Mandandeupur,524 3 24 3 001,3,7,16 to 32 hours,36171.8595376313,0.847823256821402,2.34387523245625e-05
Phedikhola,524 4 41 4 002,4,5,4 to 8 hours,13556.9496206455,10841.3767840378,0.799691456220194
Joshipur,524 7 71 4 004,7,6,8 to 16 hours,39115.400944829,29.3569942712784,0.000750522647401352
Manebhanjyang,524 1 13 4 007,1,7,16 to 32 hours,23563.2671915293,348.534084990621,0.0147914158999103
Bareng,524 4 43 4 006,4,6,8 to 16 hours,16257.1611697227,9820.56085739285,0.604075997947455
Banepa,524 3 24 3 002,3,6,8 to 16 hours,62895.8163361847,0.163480740059704,2.59923075305808e-06
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,766.445228567522,0.0712648777161966
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,65.7827862501144,0.066688031659165
Nepalgunj,524 5 57 2 001,5,3,1 to 2 hours,151198.2302268,37324.1735970676,0.246855889391567
Tilagufa,524 6 64 3 003,6,7,16 to 32 hours,17231.6060848124,14278.4938333714,0.82862234449267
Neshyang,524 4 38 4 001,4,7,16 to 32 hours,2164.54852405361,1884.14411559493,0.870455937881421
Dudhkoshi,524 1 11 4 004,1,6,8 to 16 hours,14949.5460244277,8888.99803610519,0.594599864208615
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,1661.28624688415,0.130234445253482
Painyu,524 4 42 4 005,4,7,16 to 32 hours,16995.5119471699,3941.68048836291,0.231924787003505
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,3049.16816744767,0.181033548707454
Mahashila,524 4 42 4 004,4,7,16 to 32 hours,10910.7124349847,58.7170566022396,0.00538159693531706
Gujara,524 2 32 3 001,2,7,16 to 32 hours,52414.0475805067,34.4868289604783,0.000657969200098645
Chandragiri,524 3 27 3 008,3,5,4 to 8 hours,94659.1015136838,3362.04781164229,0.035517427884695
Madi,524 4 39 4 003,4,6,8 to 16 hours,20162.2267178839,13178.1647348586,0.653606613954475
Shankharapur,524 3 27 3 007,3,5,4 to 8 hours,28204.9811190143,10595.0824221298,0.375645790274511
Gokulganga,524 3 21 4 003,3,5,4 to 8 hours,22244.7209921484,7.5866447687149,0.000341053716582587
Tulsipur,524 5 56 2 001,5,4,2 to 4 hours,155774.116316706,69856.2336129993,0.448445706287776
Balan Bihul,524 2 15 4 004,2,6,8 to 16 hours,24892.5046091676,24552.6130301654,0.986345625547179
Sarkegad,524 6 66 4 004,6,7,16 to 32 hours,10694.9966011964,10200.4764466239,0.953761541680422
Kamal,524 1 04 4 001,1,6,8 to 16 hours,50110.2802703381,49937.056021899,0.996543139501425
Baiteshwor,524 3 22 4 004,3,6,8 to 16 hours,22213.7700060084,17421.3273292258,0.784258022141837
