adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,54753.6328125,0.635892123207148
Khalsa Chhintang Shahidbhumi,524 1 07 4 001,1,7,16 to 32 hours,21284.5980541408,,
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,8449.228515625,0.614990988508067
Jhapa,524 1 04 4 004,1,2,30 minutes to 1 hour,38628.499128893,7730.66259765625,0.200128474364512
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,37431.5,0.398919545181129
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,4926.12890625,0.241209160054615
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,5569.7119140625,0.294034856884603
Parsa,524 2 19 4 009,2,1,0 to 30 minutes,24066.7762531191,491.521392822266,0.0204232335753137
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,4888.03466796875,0.28602294462697
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,14892.5009765625,0.414682777165047
Shankharapur,524 3 27 3 007,3,2,30 minutes to 1 hour,28204.9811190143,7296.9931640625,0.258712924971371
Sunchhahari,524 5 54 4 005,5,4,2 to 4 hours,17690.053477441,7.15918684005737,0.00040470125481458
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,15139.1962890625,0.407618187819257
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,65832.6796875,0.382036718243926
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,9012.314453125,0.159429250508519
Mahakali,524 7 72 3 001,7,5,4 to 8 hours,42906.1873565316,73.2279968261719,0.00170670015999509
Marin,524 3 20 4 002,3,1,0 to 30 minutes,31018.872882735,1626.58239746094,0.0524384752344205
Rajpur,524 2 32 3 014,2,2,30 minutes to 1 hour,45167.9749466777,1229.94067382812,0.0272303700858874
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,3510.89501953125,0.0401647147492833
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,22607.3828125,0.402648648862271
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,15329.41796875,0.296273096713348
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,799.244079589844,0.0456152403663136
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,424.023620605469,0.0267268871252701
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,1942.28576660156,0.0414044496265632
Koshi,524 1 06 4 001,1,1,0 to 30 minutes,49127.9952953421,6162.4150390625,0.125435914940473
Benighat Rorang,524 3 30 4 008,3,2,30 minutes to 1 hour,34760.5741125494,2760.28442382812,0.0794084820029366
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,170.098861694336,0.1724396140767
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,365.025848388672,0.0339404845631156
Rohini,524 5 48 4 007,5,2,30 minutes to 1 hour,41663.5296741724,8827.9267578125,0.211886194637153
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,4220.38916015625,0.181936506190831
Madi,524 5 54 4 004,5,5,4 to 8 hours,19894.5814803466,8661.5654296875,0.435373090820938
Loharpatti,524 2 18 3 008,2,2,30 minutes to 1 hour,44769.0464259833,7264.53271484375,0.162266862816795
Tilagufa,524 6 64 3 003,6,7,16 to 32 hours,17231.6060848124,1257.52575683594,0.0729778611840654
Basbariya,524 2 19 4 001,2,2,30 minutes to 1 hour,27767.2660736144,68.1789016723633,0.00245536962449284
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,8976.2978515625,0.532935858268415
Bheri,524 6 60 3 002,6,6,8 to 16 hours,36663.0391201377,11348.203125,0.309527071332361
Khanikhola,524 3 24 4 006,3,5,4 to 8 hours,15938.986864157,4475.0068359375,0.280758549716903
Bungal,524 7 67 3 001,7,8,> 32 hours,35978.5063456002,1170.70666503906,0.032539056896736
Mithila Bihari,524 2 17 3 005,2,2,30 minutes to 1 hour,36956.7736326158,19214.2890625,0.519912513292087
Thantikandh,524 6 61 4 001,6,5,4 to 8 hours,20469.3958140016,2613.25830078125,0.127666606505001
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,1084114.5,0.995767894443441
Mahankal,524 3 25 4 003,3,4,2 to 4 hours,10538.9451647997,3457.1689453125,0.328037473509163
Chandannath,524 6 63 3 001,6,5,4 to 8 hours,22083.4815721046,1016.62866210938,0.0460357058641314
Chainpur,524 1 09 3 003,1,4,2 to 4 hours,30608.9407257736,10224.572265625,0.334038748914157
Shuklaphanta National Park,524 7 72 5 997,7,5,4 to 8 hours,986.42566909641,6.9224739074707,0.00701773496406663
Kaike,524 6 62 4 005,6,4,2 to 4 hours,3948.52055965821,8.29693412780762,0.00210127666867861
Bheri,524 6 60 3 002,6,1,0 to 30 minutes,36663.0391201377,1724.5771484375,0.0470385759016429
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,10376,0.404898751243231
Sarkegad,524 6 66 4 004,6,7,16 to 32 hours,10694.9966011964,10439.4150390625,0.976102698143423
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,11850.9873046875,0.372204345798789
Binayee Tribeni,524 4 47 4 004,4,3,1 to 2 hours,37203.9528506231,1843.99938964844,0.04956460935891
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,55.6211929321289,0.00374000031426219
Ramprasad Rai,524 1 10 4 004,1,6,8 to 16 hours,21404.7580865212,7577.27001953125,0.353999329910799
Phalebas,524 4 42 3 002,4,2,30 minutes to 1 hour,27380.2592477202,3966.27587890625,0.14485895999091
Agnisair Krishna Savaran,524 2 15 4 002,2,4,2 to 4 hours,30326.8262336515,9933.583984375,0.327551056870976
Nagarjun,524 3 27 3 005,3,1,0 to 30 minutes,76085.6406923831,67052.375,0.881275026270662
Bedkot,524 7 72 3 003,7,3,1 to 2 hours,54257.6742201075,16295.0576171875,0.300327241287255
Koshi Tappu Wildlife Reserve,524 1 06 5 995,1,2,30 minutes to 1 hour,223.648825332522,0.494689762592316,0.0022119041397012
Sani Bheri,524 6 52 4 001,6,5,4 to 8 hours,24419.6540638059,10729.6904296875,0.43938748688462
Lungri,524 5 54 4 008,5,1,0 to 30 minutes,26067.6873447187,0.60015881061554,2.30230937896043e-05
Mikwakhola,524 1 01 4 002,1,6,8 to 16 hours,10139.5423433132,2966.126953125,0.292530654017249
Chatrakot,524 5 51 4 007,5,4,2 to 4 hours,23783.7127792984,12796.9296875,0.538054331813096
Koshi Tappu Wildlife Reserve,524 2 15 5 995,2,4,2 to 4 hours,93.3004635125399,45.0357131958008,0.48269549260865
Kispang,524 3 28 4 002,3,5,4 to 8 hours,16473.9629708165,2582.56079101562,0.1567662131808
Waling,524 4 41 3 004,4,3,1 to 2 hours,55516.0064349696,9371.2978515625,0.168803529888985
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,4.71749019622803,0.000369821708839647
Shuklaphanta National Park,524 7 72 5 997,7,3,1 to 2 hours,986.42566909641,318.239135742188,0.32261846554916
Krishnapur,524 7 72 3 005,7,3,1 to 2 hours,62214.692910336,20840.498046875,0.334977110260922
Raghuganga,524 4 44 4 002,4,6,8 to 16 hours,17521.4264612333,4091.13037109375,0.233492996711512
Kwholasothar,524 4 37 4 001,4,4,2 to 4 hours,10774.7392271358,1585.61389160156,0.147160303203279
Yangwarak,524 1 01 4 007,1,3,1 to 2 hours,15334.3657150716,3246.96923828125,0.211744606761917
Solududhakunda,524 1 11 3 001,1,6,8 to 16 hours,22992.8196952384,2603.33276367188,0.11322372802371
Shantinagar,524 5 56 4 003,5,3,1 to 2 hours,27505.8114778325,13542.3388671875,0.492344640626275
Ratuwamai,524 1 05 3 008,1,5,4 to 8 hours,61861.8245882541,106.506843566895,0.0017216893338629
Koshi Tappu Wildlife Reserve,524 1 14 5 995,1,4,2 to 4 hours,26.2960105538368,0,0
Mohanyal,524 7 71 4 003,7,7,16 to 32 hours,24038.0277960505,2365.05541992188,0.0983880807522178
Udayapurgadhi,524 1 14 4 003,1,7,16 to 32 hours,34121.6513324082,12.6644153594971,0.000371154820032658
Arjundhara,524 1 04 3 004,1,2,30 minutes to 1 hour,67059.2133563459,24239.22265625,0.361459990999972
Ayirabati,524 5 55 4 007,5,7,16 to 32 hours,24977.6473819092,,
Bogtan,524 7 70 4 007,7,5,4 to 8 hours,19685.7893086784,3280.00708007812,0.166618012041415
Gaur,524 2 32 3 015,2,1,0 to 30 minutes,39336.1644554138,29167.986328125,0.741505602590865
Banfikot,524 6 52 4 002,6,3,1 to 2 hours,20768.8714226712,4.33578300476074,0.000208763534451266
Naraharinath,524 6 64 4 001,6,4,2 to 4 hours,23266.0434676739,49.4299354553223,0.00212455269947384
Balefi,524 3 23 4 006,3,5,4 to 8 hours,20919.4298585579,1036.33264160156,0.0495392392913429
Kalaiya,524 2 33 2 002,2,1,0 to 30 minutes,138946.056775004,47885.5234375,0.344633914404936
Barahathawa,524 2 19 3 004,2,4,2 to 4 hours,77912.1491135806,18099.97265625,0.232312583623689
Chhededaha,524 7 68 4 003,7,1,0 to 30 minutes,20373.9305640385,172.385437011719,0.00846107904755463
Budhiganga,524 1 05 4 004,1,3,1 to 2 hours,46753.3540797457,9158.943359375,0.195899172148225
Basbariya,524 2 19 4 001,2,1,0 to 30 minutes,27767.2660736144,,
Panchpokhari Thangpal,524 3 23 4 002,3,5,4 to 8 hours,23202.8010552508,11329.8173828125,0.48829524314042
Suddhodhan,524 5 49 4 004,5,1,0 to 30 minutes,50178.543446213,1655.85900878906,0.0329993438443266
Mohanyal,524 7 71 4 003,7,5,4 to 8 hours,24038.0277960505,5808.5732421875,0.241641006969043
Netrawati,524 3 30 4 005,3,4,2 to 4 hours,14650.3057415187,8035.126953125,0.548461383324826
Gujara,524 2 32 3 001,2,1,0 to 30 minutes,52414.0475805067,499.837615966797,0.00953632926743654
Bhimeshwor,524 3 22 3 001,3,3,1 to 2 hours,35927.9295560718,8911.912109375,0.248049698924799
Krishnapur,524 7 72 3 005,7,4,2 to 4 hours,62214.692910336,3847.02563476562,0.0618346801182475
Shivasataxi,524 1 04 3 002,1,3,1 to 2 hours,72720.1764659099,19999.66796875,0.275022269481504
Sidingba,524 1 01 4 008,1,5,4 to 8 hours,13642.0205260392,4795.3779296875,0.351515226101173
Lalbandi,524 2 19 3 003,2,5,4 to 8 hours,66570.2900485434,7464.794921875,0.112134030307388
Madi,524 4 39 4 003,4,5,4 to 8 hours,20162.2267178839,9431.884765625,0.467799757318417
Benighat Rorang,524 3 30 4 008,3,5,4 to 8 hours,34760.5741125494,11825.8046875,0.340207404204829
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,6.38406848907471,4.09828579999465e-05
Geruwa,524 5 58 4 001,5,2,30 minutes to 1 hour,38011.5052131061,14173.2998046875,0.372868680817214
Chame,524 4 38 4 003,4,4,2 to 4 hours,1193.18784136337,474.216125488281,0.397436270341499
Narphu,524 4 38 4 002,4,6,8 to 16 hours,616.795009280526,294.944885253906,0.478189480809761
Chaudandigadhi,524 1 14 3 003,1,7,16 to 32 hours,55070.5155973732,,
Shivanath,524 7 74 4 005,7,7,16 to 32 hours,18976.0079016462,0.421406447887421,2.22073288581875e-05
Rubi Valley,524 3 30 4 001,3,7,16 to 32 hours,10532.7074507177,9823.2568359375,0.932643091237486
Musikot,524 6 52 3 003,6,5,4 to 8 hours,36042.4884925038,13007.28515625,0.360887544126019
Ajaymeru,524 7 73 4 002,7,4,2 to 4 hours,18498.7372553051,8667.349609375,0.468537364997137
Sunwal,524 5 47 3 001,5,4,2 to 4 hours,61663.8532037921,655.89453125,0.010636612815653
Hanumannagar Kankalini,524 2 15 3 009,2,3,1 to 2 hours,50614.0774613284,6906.58642578125,0.136455839406699
Sabaila,524 2 17 3 006,2,2,30 minutes to 1 hour,56513.5249649212,17833.900390625,0.315568713890963
Talkot,524 7 67 4 003,7,4,2 to 4 hours,12555.6920184336,464.18798828125,0.0369703229100997
Khandachakra,524 6 64 3 002,6,6,8 to 16 hours,22357.4055146133,6054.8896484375,0.270822553380798
Gajuri,524 3 30 4 009,3,2,30 minutes to 1 hour,29403.1193587035,2084.73168945312,0.0709017184204312
Madhuwan,524 5 58 3 002,5,4,2 to 4 hours,51161.5890324339,12411.3251953125,0.242590690204019
Bidur,524 3 28 3 001,3,1,0 to 30 minutes,60047.8161335289,21247.04296875,0.353835398801228
Yangwarak,524 1 01 4 007,1,1,0 to 30 minutes,15334.3657150716,401.091186523438,0.0261563597723002
Harinas,524 4 41 4 005,4,4,2 to 4 hours,17951.5962224305,4835.8408203125,0.269382218739419
Tribeni,524 6 53 4 006,6,4,2 to 4 hours,18099.276640594,6075.60498046875,0.335682198858824
Hariharpurgadhi,524 3 20 4 001,3,4,2 to 4 hours,30851.664139241,4484.4619140625,0.145355592289059
Godawari,524 3 25 3 001,3,4,2 to 4 hours,86105.222590819,2848.29858398438,0.0330792778681937
Molung,524 1 13 4 003,1,3,1 to 2 hours,18404.7089411169,3733.62646484375,0.202862565052722
Karaiyamai,524 2 33 4 003,2,1,0 to 30 minutes,28951.9729353189,6429.5625,0.222076834430737
Pyuthan,524 5 55 3 002,5,4,2 to 4 hours,41808.6622774154,13571.525390625,0.324610371424302
Annapurna,524 4 39 4 001,4,4,2 to 4 hours,25843.7356252883,6856.6201171875,0.265310720423802
Talkot,524 7 67 4 003,7,7,16 to 32 hours,12555.6920184336,2520.53979492188,0.20074877523448
Suwarnabati,524 5 54 4 007,5,3,1 to 2 hours,31125.3508004174,4257.3046875,0.136779331895688
Chhathar Jorpati,524 1 07 4 002,1,5,4 to 8 hours,20486.3995512426,5068.0126953125,0.247384255229226
Ishworpur,524 2 19 3 006,2,4,2 to 4 hours,65783.5700791776,10173.810546875,0.15465579831909
Bardagoriya,524 7 71 4 005,7,2,30 minutes to 1 hour,35485.9942296147,8992.48828125,0.253409506383376
Naukunda,524 3 29 4 005,3,6,8 to 16 hours,12882.9937510374,3257.5625,0.252857570449236
Barah,524 1 06 3 001,1,5,4 to 8 hours,87412.4226064347,490.684875488281,0.00561344555907733
Fakphokthum,524 1 03 4 001,1,4,2 to 4 hours,24972.8616706431,12137.7431640625,0.486037336214898
Kanchan,524 5 48 4 001,5,4,2 to 4 hours,36606.0601756237,,
Gandaki,524 4 36 4 009,4,4,2 to 4 hours,25430.0979296118,9151.0400390625,0.359850758907486
Kumakhmalika,524 6 53 4 001,6,6,8 to 16 hours,27224.6488540769,2666.380859375,0.0979399541080109
Baglung,524 4 43 3 003,4,5,4 to 8 hours,62142.7868413329,3215.7373046875,0.051747555398475
Dhunibesi,524 3 30 3 002,3,3,1 to 2 hours,34238.7534427717,14463.7783203125,0.422438811754287
Bhageshwar,524 7 73 4 001,7,2,30 minutes to 1 hour,15296.3646462765,237.204025268555,0.0155072156524653
Champadevi,524 1 13 4 004,1,4,2 to 4 hours,20746.9489934295,7380.4033203125,0.355734393652283
Jahada,524 1 05 4 007,1,3,1 to 2 hours,46225.6911480725,19147.99609375,0.414228443495072
Barbardiya,524 5 58 3 005,5,5,4 to 8 hours,74432.436629042,114.492233276367,0.00153820348307252
Chaubise,524 1 07 4 004,1,5,4 to 8 hours,21484.7118205726,10268.2705078125,0.477933825390208
Bhimdatta,524 7 72 3 002,7,2,30 minutes to 1 hour,113519.459733821,28118.40234375,0.247696759742176
Khumbupasanglahmu,524 1 11 4 001,1,8,> 32 hours,9888.78338995449,4.54434776306152,0.000459545687660415
Kalyanpur,524 2 16 3 006,2,2,30 minutes to 1 hour,54032.7004066557,17426.498046875,0.322517622027427
Chabispathivera,524 7 67 4 007,7,5,4 to 8 hours,17701.2562529892,5141.48095703125,0.290458534894269
Barahapokhari,524 1 12 4 007,1,2,30 minutes to 1 hour,15996.9797222912,0.802763402462006,5.0182185412374e-05
Bhokraha,524 1 06 4 002,1,2,30 minutes to 1 hour,46574.793596074,13242.447265625,0.284326483128876
Chankheli,524 6 66 4 005,6,8,> 32 hours,5925.77132114399,525.836364746094,0.0887372016651799
Dhunibesi,524 3 30 3 002,3,2,30 minutes to 1 hour,34238.7534427717,4459.9345703125,0.130259840731849
Manahari,524 3 31 4 001,3,2,30 minutes to 1 hour,40398.1141753756,9277.9072265625,0.229661889321997
Golanjor,524 3 20 4 005,3,3,1 to 2 hours,21585.4802747406,3231.81591796875,0.149721751697628
Aarughat,524 4 36 4 006,4,6,8 to 16 hours,26130.8339444064,1996.17639160156,0.0763916067833292
Thalara,524 7 67 4 009,7,6,8 to 16 hours,19624.6409975179,3968.08374023438,0.202199048672343
Satyawati,524 5 51 4 009,5,5,4 to 8 hours,25954.5521376058,10488.130859375,0.404096006117502
Thawang,524 5 54 4 003,5,4,2 to 4 hours,11893.7673556199,2227.4638671875,0.18727992574489
Naraharinath,524 6 64 4 001,6,6,8 to 16 hours,23266.0434676739,15770.1943359375,0.677820204275332
Dudhkoshi,524 1 11 4 004,1,5,4 to 8 hours,14949.5460244277,3209.0419921875,0.214658156638595
Dharan,524 1 06 2 001,1,3,1 to 2 hours,153909.025899503,6680.66015625,0.0434065521317263
Simta,524 6 59 4 004,6,3,1 to 2 hours,28220.925309632,1278.6396484375,0.0453082113505716
Sundarharaicha,524 1 05 3 002,1,1,0 to 30 minutes,90394.5523961596,56265.5625,0.622444173996379
Badimalika,524 7 68 3 002,7,5,4 to 8 hours,18262.0687327138,7005.04150390625,0.383584226214073
Malarani,524 5 50 4 001,5,4,2 to 4 hours,31103.6976364255,18113.72265625,0.582365571707367
Bheriganga,524 6 59 3 002,6,5,4 to 8 hours,45446.4988580383,8485.8203125,0.186721101200936
Barhagaun Muktikhsetra,524 4 45 4 003,4,8,> 32 hours,2616.19662869666,16.3040981292725,0.00623198499319022
Ribdikot,524 5 46 4 003,5,1,0 to 30 minutes,20822.447951138,794.650146484375,0.0381631472125228
Kanthekhola,524 4 43 4 005,4,1,0 to 30 minutes,28638.3406830654,215.921630859375,0.00753959991079565
SakhuwaPrasauni,524 2 34 4 004,2,3,1 to 2 hours,36038.206433475,16893.86328125,0.468776472337361
Hetauda,524 3 31 2 001,3,1,0 to 30 minutes,170840.177112214,102149.0234375,0.59792154962708
Melauli,524 7 74 3 003,7,7,16 to 32 hours,24411.2979015335,,
Dharan,524 1 06 2 001,1,5,4 to 8 hours,153909.025899503,609.48095703125,0.00396000789082518
Pakhribas,524 1 07 3 002,1,5,4 to 8 hours,25169.2610358857,3801.51220703125,0.151037895058228
Chingad,524 6 59 4 003,6,6,8 to 16 hours,18960.6524945125,12936.654296875,0.682289509847779
Meghang,524 3 28 4 001,3,4,2 to 4 hours,15000.4129657336,3251.28173828125,0.216746148636599
Durgathali,524 7 67 4 006,7,3,1 to 2 hours,13827.515117377,110.745780944824,0.00800908767806371
Mayadevi,524 5 49 4 003,5,5,4 to 8 hours,54262.8474921882,0.990411221981049,1.82521055888862e-05
Gulariya,524 5 58 3 004,5,1,0 to 30 minutes,72856.6597783864,20574.453125,0.282396327083658
Sunwal,524 5 47 3 001,5,3,1 to 2 hours,61663.8532037921,9741.169921875,0.157972124928384
Phalebas,524 4 42 3 002,4,4,2 to 4 hours,27380.2592477202,7297.978515625,0.266541614876515
Rangeli,524 1 05 3 006,1,2,30 minutes to 1 hour,58828.460672006,8840.224609375,0.150271220908925
Haldibari,524 1 04 4 006,1,3,1 to 2 hours,33536.1959975325,12768.85546875,0.380748474564304
Thasang,524 4 45 4 005,4,5,4 to 8 hours,3364.70856910525,1641.59716796875,0.487886880617803
Tulsipur,524 5 56 2 001,5,3,1 to 2 hours,155774.116316706,43685.32421875,0.28044019925578
Bheri,524 6 60 3 002,6,5,4 to 8 hours,36663.0391201377,15362.716796875,0.419024640770623
Indrasarowar,524 3 31 4 005,3,4,2 to 4 hours,15363.8906337433,6962.72216796875,0.453187433700988
Lekbeshi,524 6 59 3 004,6,4,2 to 4 hours,33101.5759202391,12929.83203125,0.390610769179252
Chulachuli,524 1 03 4 004,1,3,1 to 2 hours,23278.9828515127,13250.1484375,0.569189320771331
Bakaiya,524 3 31 4 007,3,6,8 to 16 hours,44304.989116095,2598.81201171875,0.0586573219758373
Madi,524 1 09 3 005,1,5,4 to 8 hours,16241.7727624178,9056.6357421875,0.557613745412315
Gadhawa,524 5 56 4 006,5,3,1 to 2 hours,43539.0489611831,15419.26171875,0.354147876139806
Phaktanglung,524 1 01 4 001,1,2,30 minutes to 1 hour,13499.6758104351,0.316120654344559,2.34169071008506e-05
Hatuwagadhi,524 1 10 4 007,1,4,2 to 4 hours,22772.1227838323,10105.7333984375,0.443776519842602
Hetauda,524 3 31 2 001,3,5,4 to 8 hours,170840.177112214,1695.83850097656,0.00992646185248726
Ajaymeru,524 7 73 4 002,7,3,1 to 2 hours,18498.7372553051,2145.0126953125,0.115954546827101
Jwalamukhi,524 3 30 4 006,3,4,2 to 4 hours,26499.2025411725,10573.7939453125,0.399023099992678
