adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Kedarseu,524 7 67 4 005,7,6,8 to 16 hours,23302.7449466288,8718.8779296875,0.374156690538247
Chamunda Bindrasaini,524 6 61 3 002,6,7,16 to 32 hours,28661.3925540447,17350.115234375,0.605347950266517
Musikot,524 5 51 3 001,5,7,16 to 32 hours,35942.4881163538,2137.3193359375,0.059464979970739
Laligurans,524 1 08 3 001,1,5,4 to 8 hours,18970.8394403681,7812.873046875,0.411835916456599
Yangwarak,524 1 01 4 007,1,6,8 to 16 hours,15334.3657150716,7392.630859375,0.482095640389551
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,39925.58203125,0.425499780265234
Phedap,524 1 08 4 002,1,5,4 to 8 hours,19729.3887172192,10711.98828125,0.542945776718408
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,16937.91015625,0.834900968866476
Babai,524 5 56 4 001,5,8,> 32 hours,26311.4030192234,,
Kaligandaki,524 5 51 4 010,5,6,8 to 16 hours,20719.9138427079,14134.912109375,0.682189714526714
Bungal,524 7 67 3 001,7,7,16 to 32 hours,35978.5063456002,21621.4296875,0.600954066291973
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,17547.197265625,0.737345881930523
Mayadevi,524 5 49 4 003,5,3,1 to 2 hours,54262.8474921882,32.6778144836426,0.000602213411088442
Geruwa,524 5 58 4 001,5,5,4 to 8 hours,38011.5052131061,1.53503310680389,4.03833812472816e-05
Parsa Wildlife Reserve,524 3 31 5 995,3,6,8 to 16 hours,1685.21897472441,1682.91259765625,0.998631408082419
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,37380.50390625,0.782527651102293
Ishanath,524 2 32 3 013,2,2,30 minutes to 1 hour,47716.4921755791,14.6961603164673,0.000307989117523368
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,52268.48046875,0.831032706362685
Arnama,524 2 16 4 003,2,4,2 to 4 hours,24449.0091687143,16818.900390625,0.687917464244195
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,141949.171875,0.911250053804842
Mellekh,524 7 69 4 002,7,7,16 to 32 hours,26744.8518578447,15201.205078125,0.56837873542628
Damak,524 1 04 3 001,1,5,4 to 8 hours,84493.8126572669,26.3052597045898,0.000311327644916346
Shuklagandaki,524 4 40 3 001,4,7,16 to 32 hours,53461.9922936596,,
Jagadulla,524 6 62 4 002,6,7,16 to 32 hours,2504.43647724402,2479.72705078125,0.990133737993643
Bhume,524 5 52 4 003,5,7,16 to 32 hours,20738.3046732717,10489.728515625,0.505814177238149
Myanglung,524 1 08 3 002,1,2,30 minutes to 1 hour,22165.8583285883,4060.18481445312,0.183172911883882
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,693.253356933594,0.0436968680978708
Lamahi,524 5 56 3 001,5,7,16 to 32 hours,52449.373056924,18.2923831939697,0.000348762666316655
Mandandeupur,524 3 24 3 001,3,7,16 to 32 hours,36171.8595376313,,
Phedikhola,524 4 41 4 002,4,5,4 to 8 hours,13556.9496206455,11882.5234375,0.876489458912235
Manebhanjyang,524 1 13 4 007,1,7,16 to 32 hours,23563.2671915293,1613.984375,0.0684957803975592
Barbardiya,524 5 58 3 005,5,3,1 to 2 hours,74432.436629042,34.6919746398926,0.000466086778977708
Bareng,524 4 43 4 006,4,6,8 to 16 hours,16257.1611697227,10689.6328125,0.65753379085694
Bagchaur,524 6 53 3 002,6,4,2 to 4 hours,37624.0976811051,9252.353515625,0.245915625513367
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,430.420776367188,0.0400209732555152
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,103.413238525391,0.104836321443378
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,13475.3115234375,0.58090640587194
