adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Mechinagar,524 1 04 3 005,1,1,0 to 30 minutes,125664.726447403,27944.6976164281,0.222375032409149
Painyu,524 4 42 4 005,4,2,30 minutes to 1 hour,16995.5119471699,3621.13086524606,0.213063947499919
Sanni Tribeni,524 6 64 4 002,6,5,4 to 8 hours,14114.0427914485,4985.54997690395,0.353233304629387
Lisangkhu Pakhar,524 3 23 4 009,3,2,30 minutes to 1 hour,16839.6766865216,2909.87484740466,0.172798736078686
Chaurideurali,524 3 24 4 002,3,4,2 to 4 hours,23009.3351803944,5075.30319126695,0.220575829396039
Bulingtar,524 4 47 4 002,4,2,30 minutes to 1 hour,21284.3327062018,1540.41243092716,0.072373066714857
Talkot,524 7 67 4 003,7,6,8 to 16 hours,12555.6920184336,1333.55041969358,0.106210825953339
Mithila Bihari,524 2 17 3 005,2,1,0 to 30 minutes,36956.7736326158,19980.3237942159,0.540640370635128
Tirahut,524 2 15 4 003,2,2,30 minutes to 1 hour,24414.9456708431,10820.5238775909,0.443192625675715
Khotehang,524 1 12 4 006,1,2,30 minutes to 1 hour,25252.246187225,2258.40346764028,0.0894337656498375
Sarawal,524 5 47 4 002,5,1,0 to 30 minutes,41407.7262637913,17393.6642684937,0.420058424789757
Shivasataxi,524 1 04 3 002,1,2,30 minutes to 1 hour,72720.1764659099,21665.2372287363,0.297926081613575
Gadhawa,524 5 56 4 006,5,2,30 minutes to 1 hour,43539.0489611831,13164.4265896678,0.302359075445227
Kanepokhari,524 1 05 4 003,1,2,30 minutes to 1 hour,42410.3541740403,14944.3819961548,0.352375788582836
Chisankhugadhi,524 1 13 4 006,1,5,4 to 8 hours,17089.6592731178,1044.29192391038,0.0611066556226233
Sundarbazar,524 4 37 3 003,4,4,2 to 4 hours,29744.6926354021,978.85882691294,0.0329086885822415
Triyuga,524 1 14 3 002,1,2,30 minutes to 1 hour,98659.4940726273,9035.91452300549,0.091586872687121
