adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Dangisharan,524 5 56 4 002,5,5,4 to 8 hours,23780.6271807607,16670.4897995293,0.701011359911326
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,13149.6489333212,0.365557228255544
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,355.118054799328,0.995783078547628
Janakpur,524 2 17 2 001,2,2,30 minutes to 1 hour,181044.671591789,34489.4470838606,0.190502414573271
Annapurna,524 4 44 4 003,4,7,16 to 32 hours,11983.8576348755,3711.10456759902,0.309675288264352
Mahankal,524 3 25 4 003,3,6,8 to 16 hours,10538.9451647997,8918.58158993348,0.846249928287106
Dharche,524 4 36 4 004,4,7,16 to 32 hours,14530.4127461716,11910.0231923554,0.819661726091942
Meghang,524 3 28 4 001,3,7,16 to 32 hours,15000.4129657336,6270.35294638947,0.418012021449893
Mahankal,524 3 25 4 003,3,5,4 to 8 hours,10538.9451647997,1.76418189704418,0.0001673964395352
Tokha,524 3 27 3 002,3,2,30 minutes to 1 hour,112678.239111647,67487.0737342834,0.598936176730753
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,6917.20370844007,0.248695675561433
Agnisair Krishna Savaran,524 2 15 4 002,2,2,30 minutes to 1 hour,30326.8262336515,1804.76292771101,0.0595104451025078
Nisdi,524 5 46 4 008,5,4,2 to 4 hours,25033.5166496933,203.841556429863,0.00814274555518195
Geruwa,524 5 58 4 001,5,5,4 to 8 hours,38011.5052131061,34953.9200726449,0.919561587384683
Parsa Wildlife Reserve,524 3 31 5 995,3,6,8 to 16 hours,1685.21897472441,1654.37544053048,0.981697610425389
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,18388.3232881427,0.384943217097028
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,56573.8182988167,0.899484601589773
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,247.043278582394,0.00158590710975454
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,14619.2215573528,0.694835249937153
Laligurans,524 1 08 3 001,1,8,> 32 hours,18970.8394403681,18970.8394403681,1
Yangwarak,524 1 02 4 002,1,8,> 32 hours,20441.5263771056,20273.0850200749,0.991759844449805
Harinas,524 4 41 4 005,4,7,16 to 32 hours,17951.5962224305,24.8009772598743,0.00138154718681148
Chum Nubri,524 4 36 4 001,4,8,> 32 hours,7664.6336446854,7228.07923007636,0.943043016164022
Rainadevi Chhahara,524 5 46 4 001,5,6,8 to 16 hours,29152.090916492,24576.1342600062,0.843031614109811
Sirijangha,524 1 01 4 003,1,8,> 32 hours,17611.824913596,17609.6776310447,0.99987807722585
Bannigadhi Jayagadh,524 7 69 4 003,7,8,> 32 hours,19076.5714406818,19076.5714406818,1
Shuklagandaki,524 4 40 3 001,4,7,16 to 32 hours,53461.9922936596,2.89103680849075,5.40764884445509e-05
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,12383.9851470739,0.141673057190412
Banepa,524 3 24 3 002,3,6,8 to 16 hours,62895.8163361847,10.0738816261292,0.000160167753802307
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,12151.2951251194,0.523829461422475
Nepalgunj,524 5 57 2 001,5,3,1 to 2 hours,151198.2302268,33092.1995286644,0.218866315293674
Solududhakunda,524 1 11 3 001,1,8,> 32 hours,22992.8196952384,18095.2753125873,0.786996790843129
Mechinagar,524 1 04 3 005,1,8,> 32 hours,125664.726447403,1.14513861703284,9.1126495827939e-06
Neshyang,524 4 38 4 001,4,7,16 to 32 hours,2164.54852405361,1835.91162477493,0.848173004380966
Illam,524 1 03 3 002,1,5,4 to 8 hours,54374.5400074348,18112.3156176955,0.333102875265131
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,12756.0816146908,0.999996969705396
Indrawati,524 3 23 4 005,3,7,16 to 32 hours,31874.3474643752,6136.29702192545,0.192515220234195
Budhiganga,524 1 05 4 004,1,1,0 to 30 minutes,46753.3540797457,133.736665904522,0.00286047212091803
Sunkoshi,524 3 23 4 007,3,7,16 to 32 hours,19058.1295430213,10.4905840456486,0.000550451922470535
Painyu,524 4 42 4 005,4,7,16 to 32 hours,16995.5119471699,16995.5119471699,1
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,945050.166067123,0.868036184377281
Waling,524 4 41 3 004,4,6,8 to 16 hours,55516.0064349696,43004.0666726604,0.774624643129447
Belhi Chapena,524 2 15 4 006,2,5,4 to 8 hours,33218.9321504384,24671.6047117561,0.742697104170174
Badigad,524 4 43 4 003,4,8,> 32 hours,34033.6199748758,0.027030546875067,7.94230731112982e-07
Mohanyal,524 7 71 4 003,7,6,8 to 16 hours,24038.0277960505,10042.0421008412,0.417756489261199
Madi,524 4 39 4 003,4,6,8 to 16 hours,20162.2267178839,12847.2000875596,0.637191529850428
Shankharapur,524 3 27 3 007,3,5,4 to 8 hours,28204.9811190143,10165.4497188255,0.360413278630862
Sakhuwanankarkatti,524 2 16 4 008,2,4,2 to 4 hours,21181.8167438507,18426.2083489597,0.869906890980397
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,7374.7135540843,0.287780677411841
Tulsipur,524 5 56 2 001,5,4,2 to 4 hours,155774.116316706,59686.396982491,0.383159913814834
Phidim,524 1 02 3 001,1,7,16 to 32 hours,56993.4214813523,55905.0720610395,0.980903946595505
Baiteshwor,524 3 22 4 004,3,6,8 to 16 hours,22213.7700060084,12190.3536936864,0.548774642502787
Jitpur Simara,524 2 33 2 001,2,6,8 to 16 hours,127613.802402328,121264.324710563,0.950244585050863
Uttargaya,524 3 29 4 003,3,7,16 to 32 hours,9306.98273306387,8785.31984441914,0.943949300905923
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,1604.68570780591,0.107899970049356
Dhunibesi,524 3 30 3 002,3,5,4 to 8 hours,34238.7534427717,29868.0329925418,0.872345806703057
Agnisair Krishna Savaran,524 2 15 4 002,2,4,2 to 4 hours,30326.8262336515,18336.9954586327,0.604646042330848
Budhiganga,524 1 05 4 004,1,5,4 to 8 hours,46753.3540797457,0.117788606304008,2.51936162918065e-06
Gaidakot,524 4 47 3 004,4,7,16 to 32 hours,65552.50551451,0.482918664813042,7.36689865662188e-06
Panini,524 5 50 4 003,5,6,8 to 16 hours,29258.4642607719,18318.5979123563,0.62609567436924
Tillotama,524 5 48 3 003,5,4,2 to 4 hours,111663.267007127,81758.2185431123,0.732185442307484
Champadevi,524 1 13 4 004,1,7,16 to 32 hours,20746.9489934295,14507.3840180635,0.69925385282713
Koshi Tappu Wildlife Reserve,524 2 15 5 995,2,4,2 to 4 hours,93.3004635125399,87.048792257905,0.932994210111351
Sailung,524 3 22 4 005,3,2,30 minutes to 1 hour,22061.9655066095,767.449428185821,0.0347860859430635
Helambu,524 3 23 4 001,3,7,16 to 32 hours,19755.70701886,11556.8143117644,0.58498611569465
Butwal,524 5 48 2 001,5,6,8 to 16 hours,152984.447511367,10.1943761855364,6.66366833450759e-05
Madi,524 3 35 3 005,3,4,2 to 4 hours,42077.7347834222,10201.954204753,0.242454929127326
Talkot,524 7 67 4 003,7,8,> 32 hours,12555.6920184336,812.900723457336,0.0647436017277169
Barju,524 1 06 4 006,1,2,30 minutes to 1 hour,35463.956681177,120.180205106735,0.00338879855361775
Chhatradev,524 5 50 4 002,5,7,16 to 32 hours,28031.0082673728,0.076147691310754,2.71655199072476e-06
Mohanyal,524 7 71 4 003,7,7,16 to 32 hours,24038.0277960505,13323.378901422,0.554262563237865
Hariwan,524 2 19 3 002,2,6,8 to 16 hours,50568.9358496927,0.063384433857825,1.25342629408347e-06
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,1270.41600488126,0.0725064256436026
Ghiring,524 4 40 4 002,4,3,1 to 2 hours,21323.0699981004,4.7864229452445,0.000224471567446475
Sonama,524 2 18 4 001,2,2,30 minutes to 1 hour,44503.4267472327,84.6579341888428,0.00190227900133796
Bardibas,524 2 18 3 001,2,3,1 to 2 hours,71235.724308107,11421.2260505743,0.160330033301487
Ayirabati,524 5 55 4 007,5,7,16 to 32 hours,24977.6473819092,12082.1468765214,0.483718369940328
Tansen,524 5 46 3 001,5,8,> 32 hours,54592.4382034391,0.134684619293095,2.46709294776672e-06
Suryagadhi,524 3 28 4 004,3,7,16 to 32 hours,18718.3091890812,7683.22553089261,0.410465787976961
Mallarani,524 5 55 4 005,5,7,16 to 32 hours,20120.0901269615,13138.9401939809,0.653025911468179
Kolhabi,524 2 33 3 002,2,6,8 to 16 hours,49031.4283923358,26240.459465012,0.535176321094363
Khaptad National Park,524 7 69 5 997,7,8,> 32 hours,251.45529601723,251.45529601723,1
Sahidnagar,524 2 17 3 008,2,5,4 to 8 hours,52569.6970991343,2090.54422697425,0.0397670966798984
Sitganga,524 5 50 3 003,5,7,16 to 32 hours,47966.0538470428,15664.3286395185,0.32657113485862
Tara Khola,524 4 43 4 004,4,5,4 to 8 hours,13264.4379665274,6708.67783086747,0.505764198060762
Hetauda,524 3 31 2 001,3,6,8 to 16 hours,170840.177112214,2932.55470047146,0.0171654861873928
Manthali,524 3 21 3 001,3,6,8 to 16 hours,50995.762838237,4802.39080747962,0.094172349626639
Chitawan National Park,524 4 47 5 997,4,6,8 to 16 hours,342.330276377499,149.526512004435,0.436790206191249
Duduwa,524 5 57 4 004,5,5,4 to 8 hours,40818.6480547413,7476.01095481217,0.183151851202573
Budhiganga,524 1 05 4 004,1,3,1 to 2 hours,46753.3540797457,28426.5148630217,0.608010172158675
Chandrakot,524 5 51 4 006,5,6,8 to 16 hours,24304.7403015196,9749.51705960929,0.401136442465905
Tripurasundari,524 3 23 4 008,3,6,8 to 16 hours,14589.4684107229,814.530385836959,0.0558300249814653
Rhishing,524 4 40 4 003,4,7,16 to 32 hours,28697.6126491502,3713.3780118376,0.129396757048624
