adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,78940.7421875,0.916793892545109
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,,
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,761.187255859375,0.0372373002787062
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,6624.49658203125,0.248761600129018
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,3764.94116210938,0.0937973300482308
Marma,524 7 75 4 007,7,4,2 to 4 hours,16020.7516647223,7130.64599609375,0.445088104810676
Tatopani,524 6 63 4 006,6,2,30 minutes to 1 hour,16070.8938048605,2246.51831054688,0.139788012902396
Gaidakot,524 4 47 3 004,4,3,1 to 2 hours,65552.50551451,1894.02575683594,0.0288932626139926
Badhaiyatal,524 5 58 4 002,5,1,0 to 30 minutes,52538.580414772,34165.59765625,0.650295409326359
Sulikot,524 4 36 4 003,4,1,0 to 30 minutes,27476.4213001286,6363.57666015625,0.231601364335117
Belauri,524 7 72 3 006,7,2,30 minutes to 1 hour,59717.2670108378,10138.9072265625,0.169781835875417
Darma,524 6 53 4 002,6,4,2 to 4 hours,21804.4771591872,6136.92529296875,0.281452531430362
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,1031.63635253906,0.0544618917380461
Punarbas,524 7 72 3 007,7,1,0 to 30 minutes,58630.6622533798,56002.8828125,0.955180798921842
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,2583.48168945312,0.151172217547776
Khandachakra,524 6 64 3 002,6,4,2 to 4 hours,22357.4055146133,7966.74951171875,0.35633604742337
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,5551.458984375,0.213891534515498
Tillotama,524 5 48 3 003,5,3,1 to 2 hours,111663.267007127,,
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,36342.62109375,0.978513856877514
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,116566.265625,0.676451175749122
Mahawai,524 6 64 4 006,6,1,0 to 30 minutes,9196.9277687592,268.490356445312,0.029193483214834
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,221.246566772461,0.00391388632759984
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,,
Sandhikharka,524 5 50 3 002,5,5,4 to 8 hours,45674.4916120917,5.03607797622681,0.000110260186779913
Pheta,524 2 33 4 005,2,2,30 minutes to 1 hour,28756.1612660885,252.273986816406,0.0087728672990128
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,1753.38293457031,0.076449204185937
Barahtal,524 6 59 4 002,6,2,30 minutes to 1 hour,29577.2809549607,3553.79418945312,0.120152836052263
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,36184.6796875,0.988488777920866
Banfikot,524 6 52 4 002,6,3,1 to 2 hours,20768.8714226712,7047.16748046875,0.339313934640477
Musikot,524 6 52 3 003,6,2,30 minutes to 1 hour,36042.4884925038,6890.8359375,0.191186464245752
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,438.685607910156,0.139173715447621
Bahudaramai,524 2 34 3 002,2,1,0 to 30 minutes,45292.4304988086,44291.15234375,0.97789303545799
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,10276.5546875,0.144667623578332
Kailash,524 3 31 4 003,3,2,30 minutes to 1 hour,26566.3559850082,5485.314453125,0.206475982487792
Adharsha,524 7 70 4 001,7,3,1 to 2 hours,26156.673794806,8301.5048828125,0.317376167472064
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,9491.0048828125,0.183433540222119
Doramba,524 3 21 4 002,3,3,1 to 2 hours,25375.7788769417,10116.677734375,0.398674570086508
Badikedar,524 7 70 4 006,7,3,1 to 2 hours,18321.1607945655,4158.00244140625,0.22695081867518
