adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Dordi,524 4 37 4 003,4,4,2 to 4 hours,20620.2114669138,6468.8681640625,0.313714928406148
Bannigadhi Jayagadh,524 7 69 4 003,7,7,16 to 32 hours,19076.5714406818,,
Uralabari,524 1 05 3 005,1,5,4 to 8 hours,60917.5915409178,,
Phidim,524 1 02 3 001,1,3,1 to 2 hours,56993.4214813523,20588.375,0.361241253198605
Kanthekhola,524 4 43 4 005,4,4,2 to 4 hours,28638.3406830654,4045.525390625,0.141262562499553
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,6385.685546875,0.312676723741514
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,6368.216796875,0.336189329604572
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,11689.705078125,0.684022126556556
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,8064.2568359375,0.310706838368176
Panchkhal,524 3 24 3 004,3,3,1 to 2 hours,41942.3294174224,31884.83984375,0.760206700167334
Belaka,524 1 14 3 004,1,4,2 to 4 hours,47919.8589249626,2447.8828125,0.0510828468074817
Chhatreshwori,524 6 53 4 005,6,5,4 to 8 hours,23797.7829613462,6222.55908203125,0.26147641955296
Katari,524 1 14 3 001,1,5,4 to 8 hours,63480.0141092166,2122.38110351562,0.0334338473816986
Chautara SangachokGadhi,524 3 23 3 002,3,4,2 to 4 hours,51740.836879231,5235.423828125,0.101185526634312
Shivapuri,524 3 28 4 010,3,5,4 to 8 hours,22180.1212859526,1193.0791015625,0.0537904678780145
Shuklaphanta,524 7 72 3 004,7,3,1 to 2 hours,51688.1175372601,37780.0078125,0.730922494619112
Ghorahi,524 5 56 2 002,5,4,2 to 4 hours,172320.29421179,7711.7685546875,0.0447525266246897
Ghorahi,524 5 56 2 002,5,3,1 to 2 hours,172320.29421179,40938.40625,0.237571589795945
Bardaghat,524 5 47 3 002,5,3,1 to 2 hours,67702.5467092432,1801.14367675781,0.0266037802756969
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,3132.8984375,0.0411759486940042
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,3066.82983398438,0.133716768630038
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,66053.03125,0.767119917497814
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,14966.3642578125,0.408849359532516
Sisne,524 5 52 4 001,5,6,8 to 16 hours,17908.6700675902,3078.607421875,0.171905976840036
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,515.974548339844,0.0185509411433571
Nisikhola,524 4 43 4 001,4,4,2 to 4 hours,25133.8014545355,15390.279296875,0.612333925081508
Khaniyabash,524 3 30 4 003,3,6,8 to 16 hours,14396.2438283316,652.642822265625,0.0453342434351684
Dudhpokhari,524 4 37 4 004,4,3,1 to 2 hours,12148.1885278383,5308.02392578125,0.436939541530623
Neshyang,524 4 38 4 001,4,8,> 32 hours,2164.54852405361,1.01712357997894,0.000469901029557032
Bangad Kupinde,524 6 53 3 001,6,5,4 to 8 hours,40115.2873763405,21228.509765625,0.529187528097962
Barahtal,524 6 59 4 002,6,6,8 to 16 hours,29577.2809549607,642.932556152344,0.021737378670182
Salpasilichho,524 1 10 4 001,1,6,8 to 16 hours,14626.604638542,2921.25341796875,0.199721910187622
Gramthan,524 1 05 4 005,1,3,1 to 2 hours,37938.8327264935,4159.703125,0.109642359188747
Mai,524 1 03 3 004,1,4,2 to 4 hours,36995.3578437902,17546.619140625,0.474292456224214
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,28.8904857635498,0.00226483328419556
Brindaban,524 2 32 3 005,2,1,0 to 30 minutes,47658.0033881217,29925.20703125,0.627915667963307
Kushma,524 4 42 3 001,4,2,30 minutes to 1 hour,43470.6323970407,15807.341796875,0.363632662448938
Melamchi,524 3 23 3 001,3,4,2 to 4 hours,50172.9532090463,6028.2099609375,0.120148597508719
Ajirkot,524 4 36 4 002,4,6,8 to 16 hours,17272.8099462269,245.260375976562,0.0141992169623876
Sunwarshi,524 1 05 3 007,1,4,2 to 4 hours,57519.0191710591,31.6673965454102,0.000550555225067949
Galkot,524 4 43 3 002,4,5,4 to 8 hours,36165.2573999166,768.06494140625,0.0212376462004117
Binayee Tribeni,524 4 47 4 004,4,3,1 to 2 hours,37203.9528506231,15508.1884765625,0.416842493560541
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,14585.4453125,0.45808555786536
Dordi,524 4 37 4 003,4,2,30 minutes to 1 hour,20620.2114669138,2521.8408203125,0.122299464501561
