adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Gadhawa,524 5 56 4 006,5,4,2 to 4 hours,43539.0489611831,995.359008789062,0.0228612942298411
Jiri,524 3 22 3 002,3,1,0 to 30 minutes,17528.2291280694,5540.5771484375,0.31609451861654
Jagarnathpur,524 2 34 4 005,2,2,30 minutes to 1 hour,36982.9702249467,7810.3369140625,0.211187388859158
Barahtal,524 6 59 4 002,6,2,30 minutes to 1 hour,29577.2809549607,3988.71728515625,0.134857470205937
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,36343.4453125,0.992825918389911
Sunapati,524 3 21 4 001,3,6,8 to 16 hours,19995.6999516413,1.00997722148895,5.05097207865461e-05
Sani Bheri,524 6 52 4 001,6,3,1 to 2 hours,24419.6540638059,4915.4443359375,0.20129049834588
Banfikot,524 6 52 4 002,6,3,1 to 2 hours,20768.8714226712,4379.30810546875,0.210859223707664
Kaudena,524 2 19 4 006,2,1,0 to 30 minutes,28132.9911781549,16567.607421875,0.588903160597428
Kailash,524 3 31 4 003,3,2,30 minutes to 1 hour,26566.3559850082,3752.54516601562,0.141251783576688
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,1362.21520996094,0.0155837713833212
Lisangkhu Pakhar,524 3 23 4 009,3,2,30 minutes to 1 hour,16839.6766865216,3083.9775390625,0.183137574222604
Doramba,524 3 21 4 002,3,5,4 to 8 hours,25375.7788769417,538.310363769531,0.0212135503851935
Gramthan,524 1 05 4 005,1,2,30 minutes to 1 hour,37938.8327264935,6900.1455078125,0.181875535221567
Phatuwa Bijayapur,524 2 32 3 003,2,2,30 minutes to 1 hour,41265.1055206209,21365.568359375,0.517763570208205
Surma,524 7 67 4 002,7,6,8 to 16 hours,9802.99815977308,4065.47875976562,0.414717894822061
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,3172.26586914062,0.181050662522219
Sinja,524 6 63 4 002,6,3,1 to 2 hours,12902.5300058462,3499.85546875,0.271253426046225
Chainpur,524 1 09 3 003,1,4,2 to 4 hours,30608.9407257736,3674.89379882812,0.120059489537766
Barhagaun Muktikhsetra,524 4 45 4 003,4,5,4 to 8 hours,2616.19662869666,493.929931640625,0.188796945238283
Amargadhi,524 7 73 3 002,7,2,30 minutes to 1 hour,23352.6898599342,6871.2900390625,0.294239767678817
Gaurishankar,524 3 22 4 002,3,3,1 to 2 hours,18925.4517339438,6522.1591796875,0.344623698888501
Khajura,524 5 57 4 001,5,2,30 minutes to 1 hour,55660.6711887419,7234.4111328125,0.129973479986992
Dudhkoshi,524 1 11 4 004,1,4,2 to 4 hours,14949.5460244277,5879.64111328125,0.393298974007227
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,9879.9345703125,0.310299428117982
Binayee Tribeni,524 4 47 4 004,4,3,1 to 2 hours,37203.9528506231,9241.89453125,0.248411628956659
Gaushala,524 2 18 3 002,2,3,1 to 2 hours,75215.6715732105,17434.359375,0.231791580269684
Gosaikunda,524 3 29 4 002,3,5,4 to 8 hours,7889.82014762195,636.662353515625,0.0806941529215365
Turmakhad,524 7 69 4 006,7,3,1 to 2 hours,26871.595017828,4289.8095703125,0.159641047264459
Bigu,524 3 22 4 001,3,4,2 to 4 hours,21128.8317217169,8493.2314453125,0.401973547670545
Sanphebagar,524 7 69 3 001,7,3,1 to 2 hours,36989.0088991113,7774.90087890625,0.210194896005798
Dharmadevi,524 1 09 3 004,1,1,0 to 30 minutes,20572.3357418068,4326.9228515625,0.210327252377541
Ganeshman Charnath,524 2 17 3 002,2,2,30 minutes to 1 hour,39840.8077594191,4489.39013671875,0.112683210737799
Bangad Kupinde,524 6 53 3 001,6,1,0 to 30 minutes,40115.2873763405,3417.86669921875,0.0852011021921425
Manahari,524 3 31 4 001,3,1,0 to 30 minutes,40398.1141753756,15878.97265625,0.393062225313699
Thantikandh,524 6 61 4 001,6,5,4 to 8 hours,20469.3958140016,13167.2724609375,0.643266297676005
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,1088481.625,0.999779133907558
Mahankal,524 3 25 4 003,3,4,2 to 4 hours,10538.9451647997,2808.07202148438,0.266447161226666
Mahalaxmi,524 3 25 3 002,3,1,0 to 30 minutes,69097.0009326041,68109.953125,0.985715041256757
Sarumarani,524 5 55 4 006,5,3,1 to 2 hours,20725.9588852227,6331.75830078125,0.305498931839323
Pipra,524 2 18 4 005,2,1,0 to 30 minutes,39321.3483331501,35789.734375,0.910185837773706
Musikot,524 5 51 3 001,5,3,1 to 2 hours,35942.4881163538,11578.5498046875,0.322141020599497
Khotehang,524 1 12 4 006,1,4,2 to 4 hours,25252.246187225,9635.048828125,0.381552150121178
Bagmati,524 2 19 3 001,2,3,1 to 2 hours,44317.2782757357,1342.72094726562,0.0302979108714982
Panini,524 5 50 4 003,5,2,30 minutes to 1 hour,29258.4642607719,11270.4873046875,0.385204336230263
Mahawai,524 6 64 4 006,6,5,4 to 8 hours,9196.9277687592,3586.61450195312,0.389979631473937
Dakshinkali,524 3 27 3 010,3,2,30 minutes to 1 hour,26811.3604427278,4629.11865234375,0.172655119915757
Kerabari,524 1 05 4 001,1,4,2 to 4 hours,34360.6714177094,2874.16967773438,0.0836470755415167
Neshyang,524 4 38 4 001,4,4,2 to 4 hours,2164.54852405361,727.792053222656,0.336232727118402
Bardiya National Park,524 5 58 5 997,5,4,2 to 4 hours,462.839444451034,64.6250381469727,0.139627334968443
Hariwan,524 2 19 3 002,2,2,30 minutes to 1 hour,50568.9358496927,14490.4404296875,0.286548257071452
Naukunda,524 3 29 4 005,3,3,1 to 2 hours,12882.9937510374,5399.4384765625,0.419113645547465
