adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,79005.8359375,0.917549871660445
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,,
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,834.595764160156,0.0408284464067663
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,6804.54150390625,0.255522606389058
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,,
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,7942.96728515625,0.197885993944905
Maijogmai,524 1 03 4 003,1,4,2 to 4 hours,23657.7639182806,4112.44482421875,0.1738306645727
Shivapuri,524 3 28 4 010,3,1,0 to 30 minutes,22180.1212859526,3405.43383789062,0.153535401992928
Budhinanda,524 7 68 3 001,7,5,4 to 8 hours,20224.524356719,4609.36962890625,0.227909915091522
Chhayanath Rara,524 6 65 3 001,6,5,4 to 8 hours,21797.6066564721,5844.8310546875,0.268140954500253
Deumai,524 1 03 3 001,1,1,0 to 30 minutes,36718.8884211406,9395.6171875,0.255879673691063
Annapurna,524 4 39 4 001,4,8,> 32 hours,25843.7356252883,0.160147830843925,6.19677561966774e-06
Tansen,524 5 46 3 001,5,7,16 to 32 hours,54592.4382034391,0.28492459654808,5.21912202357232e-06
Pancheshwar,524 7 74 4 004,7,5,4 to 8 hours,20423.0915780067,6643.64404296875,0.325300604837084
Mahawai,524 6 64 4 006,6,5,4 to 8 hours,9196.9277687592,3624.3056640625,0.394077865477405
Dakshinkali,524 3 27 3 010,3,2,30 minutes to 1 hour,26811.3604427278,4624.5380859375,0.172484275679187
Kerabari,524 1 05 4 001,1,4,2 to 4 hours,34360.6714177094,2834.1318359375,0.0824818526240088
Neshyang,524 4 38 4 001,4,4,2 to 4 hours,2164.54852405361,727.792053222656,0.336232727118402
