adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Lomanthang,524 4 45 4 001,4,7,16 to 32 hours,2118.50200639713,1996.604614,0.942460572598447
Machhapuchchhre,524 4 39 4 002,4,7,16 to 32 hours,23974.2630137389,39.031417,0.00162805492613609
Patrasi,524 6 63 4 003,6,7,16 to 32 hours,15865.058232111,2203.311408,0.138878242724661
Dullu,524 6 61 3 003,6,6,8 to 16 hours,45596.7263795584,1.081258,2.37135006359742e-05
Hanumannagar Kankalini,524 2 15 3 009,2,3,1 to 2 hours,50614.0774613284,1144.771728,0.0226176547201648
Deumai,524 1 03 3 001,1,6,8 to 16 hours,36718.8884211406,0.717021,1.95273068121305e-05
Chankheli,524 6 66 4 005,6,6,8 to 16 hours,5925.77132114399,4536.969585,0.765633592509966
Arjunchaupari,524 4 41 4 003,4,3,1 to 2 hours,18161.0017326921,11331.99749,0.623974253006152
Himali,524 7 68 4 001,7,8,> 32 hours,10074.9900278001,122.481024,0.0121569374919514
Sainamaina,524 5 48 3 001,5,3,1 to 2 hours,61231.8608185779,6677.500964,0.109052719854204
Rohini,524 5 48 4 007,5,1,0 to 30 minutes,41663.5296741724,20938.94852,0.502572602075533
Chaurpati,524 7 69 4 001,7,7,16 to 32 hours,27470.9785091262,0.028072,1.02187841582251e-06
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,46723.79397,0.542636004694353
Gadhimai,524 2 32 3 009,2,4,2 to 4 hours,45481.2518181056,581.349804,0.0127821856426689
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,1373.153469,0.0470374271207104
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,1574.901348,0.077044214749241
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,6.392027,0.000177696886426642
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,26250.14519,0.653979285780105
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,1800.328336,0.429743316501671
Koshi Tappu Wildlife Reserve,524 1 14 5 995,1,3,1 to 2 hours,26.2960105538368,25.004545,0.950887395972375
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,0.35053,0.00098291775877333
Janakpur,524 2 17 2 001,2,2,30 minutes to 1 hour,181044.671591789,21144.88966,0.116793769593377
Illam,524 1 03 3 002,1,2,30 minutes to 1 hour,54374.5400074348,13849.35895,0.254703008946951
Yangwarak,524 1 01 4 007,1,6,8 to 16 hours,15334.3657150716,7.08399,0.00046196824385357
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,11616.97307,0.679766219112023
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,21070.8424,0.586719145252383
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,0.114321,5.63509386821048e-06
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,11423.1729,0.440122135008788
Manahari,524 3 31 4 001,3,6,8 to 16 hours,40398.1141753756,19.980345,0.000494586081747819
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,4276.180789,0.075646306148672
Kohalpur,524 5 57 3 001,5,2,30 minutes to 1 hour,79478.3234474845,47173.38693,0.593537770851066
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,4238.158961,0.0557024810783289
Ishanath,524 2 32 3 013,2,2,30 minutes to 1 hour,47716.4921755791,30704.02384,0.643467749620415
Aamchowk,524 1 10 4 006,1,3,1 to 2 hours,21079.5502201952,404.614359,0.0191946391063107
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,806.772581,0.0383449984503199
Kanchan,524 5 48 4 001,5,1,0 to 30 minutes,36606.0601756237,12559.72045,0.343104950102323
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,31063.64372,0.443330678369873
Chum Nubri,524 4 36 4 001,4,8,> 32 hours,7664.6336446854,3768.590817,0.491685707589314
Shivapuri Watershed and Wildlife Reserve,524 3 28 5 996,3,4,2 to 4 hours,1270.66077735648,615.122554,0.484096593647693
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,1520.434659,0.054664506150896
Mahankal,524 3 25 4 003,3,5,4 to 8 hours,10538.9451647997,2560.411186,0.242947576437899
Dudhkaushika,524 1 11 4 006,1,4,2 to 4 hours,22115.5269935317,9506.280475,0.429846436749184
Ramprasad Rai,524 1 10 4 004,1,3,1 to 2 hours,21404.7580865212,8086.052412,0.377768923120504
Jagadulla,524 6 62 4 002,6,7,16 to 32 hours,2504.43647724402,1803.279454,0.720034015789613
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,4483.93252,0.255911385406938
Sani Bheri,524 6 52 4 001,6,4,2 to 4 hours,24419.6540638059,8601.280323,0.352227771143923
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,43547.62929,0.775604776554608
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,18289.99705,0.353492485880948
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,29.021575,0.00165634773311472
Sarkegad,524 6 66 4 004,6,6,8 to 16 hours,10694.9966011964,8346.870407,0.780446288881131
Machhapuchchhre,524 4 39 4 002,4,3,1 to 2 hours,23974.2630137389,11152.12785,0.465170831053662
Janki,524 5 57 4 003,5,4,2 to 4 hours,42468.5643958598,1.420883,3.34572882369087e-05
Parsa Wildlife Reserve,524 3 31 5 995,3,4,2 to 4 hours,1685.21897472441,1682.912635,0.998631430242002
