adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,78079.0234375,0.906786151735995
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,,
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,761.187255859375,0.0372373002787062
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,7490.08056640625,0.281265814499546
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,,
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,3841.91552734375,0.0957150200280383
Hatuwagadhi,524 1 10 4 007,1,4,2 to 4 hours,22772.1227838323,4868.05078125,0.213772375437314
Benighat Rorang,524 3 30 4 008,3,4,2 to 4 hours,34760.5741125494,8706.8271484375,0.250479958134354
Bungal,524 7 67 3 001,7,4,2 to 4 hours,35978.5063456002,16193.048828125,0.450075627725586
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,2391.29956054688,0.117090593733076
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,1031.63635253906,0.0544618917380461
Punarbas,524 7 72 3 007,7,1,0 to 30 minutes,58630.6622533798,56002.8828125,0.955180798921842
Khandachakra,524 6 64 3 002,6,4,2 to 4 hours,22357.4055146133,14945.923828125,0.668499921350715
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,6186.03173828125,0.238340916286444
Purbichauki,524 7 70 4 003,7,1,0 to 30 minutes,24479.1583533213,1626.71728515625,0.0664531542170257
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,36235.03125,0.975617033538958
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,87782.578125,0.509415205716345
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,,
Kanchanrup,524 2 15 3 005,2,5,4 to 8 hours,60456.6363327242,29.0651168823242,0.000480759741947332
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,1779.67199707031,0.0775954329231363
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,439.319702148438,0.139374882865686
Musikot,524 6 52 3 003,6,2,30 minutes to 1 hour,36042.4884925038,7559.96630859375,0.209751507867335
Bahudaramai,524 2 34 3 002,2,1,0 to 30 minutes,45292.4304988086,44287.44140625,0.977811102617135
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,11018.806640625,0.155116633914995
Kailash,524 3 31 4 003,3,2,30 minutes to 1 hour,26566.3559850082,4842.26904296875,0.182270727897395
Adharsha,524 7 70 4 001,7,3,1 to 2 hours,26156.673794806,8301.5048828125,0.317376167472064
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,1364.17907714844,0.0156062380663045
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,1470.30493164062,0.0839146821118544
Durgathali,524 7 67 4 006,7,3,1 to 2 hours,13827.515117377,4795.75341796875,0.346826843236781
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,10740.23828125,0.207577591106981
Doramba,524 3 21 4 002,3,3,1 to 2 hours,25375.7788769417,10097.017578125,0.397899809384764
Badikedar,524 7 70 4 006,7,3,1 to 2 hours,18321.1607945655,4158.00244140625,0.22695081867518
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,14.0680255889893,0.00080290412542125
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,681.014038085938,0.0457917671698682
Sigas,524 7 74 4 006,7,1,0 to 30 minutes,23521.2756281197,68.5174865722656,0.00291300045352782
Kanthekhola,524 4 43 4 005,4,2,30 minutes to 1 hour,28638.3406830654,13221.3388671875,0.461665674471344
Bindabasini,524 2 34 4 010,2,1,0 to 30 minutes,26852.070376277,25199.75,0.938465810899381
Ramprasad Rai,524 1 10 4 004,1,4,2 to 4 hours,21404.7580865212,2823.72265625,0.13192032560406
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,116.740097045898,0.00248859336285738
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,25.5407180786133,0.0258921871954216
Jiri,524 3 22 3 002,3,6,8 to 16 hours,17528.2291280694,17.0264511108398,0.000971373148219179
Surma,524 7 67 4 002,7,2,30 minutes to 1 hour,9802.99815977308,1621.62951660156,0.165421791391941
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,1088185,0.999506681457481
Mahankal,524 3 25 4 003,3,4,2 to 4 hours,10538.9451647997,1419.00866699219,0.134644278417133
Chandannath,524 6 63 3 001,6,5,4 to 8 hours,22083.4815721046,554.5595703125,0.0251119629167988
Sinja,524 6 63 4 002,6,3,1 to 2 hours,12902.5300058462,4195.728515625,0.325186495495372
Chainpur,524 1 09 3 003,1,4,2 to 4 hours,30608.9407257736,3708.80859375,0.121167492432271
Lungri,524 5 54 4 008,5,4,2 to 4 hours,26067.6873447187,7698.5947265625,0.295330944581174
Kageshwori Manahora,524 3 27 3 006,3,3,1 to 2 hours,68643.327595219,251.86784362793,0.0036692254360564
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,3852.59423828125,0.15033833810013
Sarkegad,524 6 66 4 004,6,7,16 to 32 hours,10694.9966011964,0.028985103592277,2.71015547485398e-06
MadhyaNepal,524 4 37 3 001,4,1,0 to 30 minutes,25992.9724830501,16476.33984375,0.633876708579373
