adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Tikapur,524 7 71 3 005,7,7,16 to 32 hours,84057.8369026482,0.072204470355358,8.58985586780942e-07
Myagde,524 4 40 4 001,4,3,1 to 2 hours,24242.794503957,8038.44282004237,0.331580701999115
Tripurasundari,524 6 62 3 001,6,8,> 32 hours,11020.4638217296,3.8339738183422,0.000347895867212281
Suryodaya,524 1 03 3 003,1,4,2 to 4 hours,64805.9696083069,17760.1495180428,0.274051134878264
Hariharpurgadhi,524 3 20 4 001,3,2,30 minutes to 1 hour,30851.664139241,4523.786577411,0.146630228988429
Barhabise,524 3 23 3 003,3,3,1 to 2 hours,29124.1293711029,7752.22399874032,0.266178737910432
Panchpuri,524 6 59 3 001,6,5,4 to 8 hours,35085.732329987,26410.0185882151,0.752728155702284
Kalyanpur,524 2 16 3 006,2,4,2 to 4 hours,54032.7004066557,2.77824807167053,5.14179015811009e-05
Rainadevi Chhahara,524 5 46 4 001,5,6,8 to 16 hours,29152.090916492,5.16377592086792,0.000177132265937969
Lisangkhu Pakhar,524 3 23 4 009,3,6,8 to 16 hours,16839.6766865216,0.927790074151722,5.50954802412756e-05
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,2192.50288304687,0.128294125003165
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,3291.198346138,0.162229263384564
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,7947.4392631948,0.306205987337368
Mahankal,524 3 25 4 003,3,5,4 to 8 hours,10538.9451647997,2334.00655986741,0.221464911655774
Bulingtar,524 4 47 4 002,4,1,0 to 30 minutes,21284.3327062018,27.2848004102707,0.00128191946568851
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,3132.89859938622,0.0411759508216884
Ishanath,524 2 32 3 013,2,2,30 minutes to 1 hour,47716.4921755791,30704.023845017,0.643467749725556
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,12031.3949118555,0.524580539780084
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,793.575585317994,0.0377177600055674
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,4039.88571837544,0.0576559946478857
Chum Nubri,524 4 36 4 001,4,8,> 32 hours,7664.6336446854,2445.32604717977,0.319040173417205
Thaha,524 3 31 3 001,3,5,4 to 8 hours,45900.3440804929,3091.43491932005,0.06735101841282
Sunchhahari,524 5 54 4 005,5,7,16 to 32 hours,17690.053477441,0.335932751088326,1.8989922869183e-05
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,569.271234735847,0.020467128086394
Barah,524 1 06 3 001,1,3,1 to 2 hours,87412.4226064347,73529.9987142012,0.841184771245413
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,22492.1351415366,0.316631773884948
Menchayam,524 1 08 4 001,1,5,4 to 8 hours,9119.66115317307,6575.17123710737,0.72098854624874
Jagadulla,524 6 62 4 002,6,7,16 to 32 hours,2504.43647724402,1663.66135954368,0.664285708445853
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,2303.62645312771,0.0263535363102742
Amargadhi,524 7 73 3 002,7,5,4 to 8 hours,23352.6898599342,823.607301712036,0.0352681985095467
Bharatpur,524 3 35 1 001,3,1,0 to 30 minutes,311271.054061007,225677.527022112,0.725019317015841
Shivasataxi,524 1 04 3 002,1,4,2 to 4 hours,72720.1764659099,550.307325888425,0.00756746411563509
Galyang,524 4 41 3 003,4,6,8 to 16 hours,42454.6868954599,0.099032411652469,2.33266145375953e-06
Tripurasundari,524 3 23 4 008,3,3,1 to 2 hours,14589.4684107229,8922.32420778275,0.611559239624183
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,4483.93252045102,0.25591138543268
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,16128.5321563184,0.287257120151148
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,8048.33269431442,0.155550879725818
Doramba,524 3 21 4 002,3,3,1 to 2 hours,25375.7788769417,8828.15779395401,0.34789701773355
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,28.9777292474173,0.00165384532540952
Machhapuchchhre,524 4 39 4 002,4,3,1 to 2 hours,23974.2630137389,9323.06693090033,0.388878145099083
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,2587.49410119242,0.163093892460811
Putha Uttarganga,524 5 52 4 002,5,6,8 to 16 hours,19482.5356403086,12321.7020275714,0.632448581388875
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,2206.42732025101,0.148361414707608
Sunkoshi,524 3 23 4 007,3,3,1 to 2 hours,19058.1295430213,4901.28982423246,0.257175805903114
Parsa Wildlife Reserve,524 3 31 5 995,3,4,2 to 4 hours,1685.21897472441,1654.01408571005,0.981483184391829
Kanthekhola,524 4 43 4 005,4,2,30 minutes to 1 hour,28638.3406830654,8282.29104411602,0.289202895369339
Karjanha,524 2 16 3 001,2,1,0 to 30 minutes,34697.8528449237,28198.2291686237,0.812679369373401
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,158.068977799267,0.00336961694378449
Benighat Rorang,524 3 30 4 008,3,2,30 minutes to 1 hour,34760.5741125494,3753.96197187901,0.107994820791056
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,10630.6785821558,0.988451595704316
Bagchaur,524 6 53 3 002,6,4,2 to 4 hours,37624.0976811051,12692.5816736817,0.337352453772093
Bareng,524 4 43 4 006,4,6,8 to 16 hours,16257.1611697227,7.46934723854065,0.000459449664093357
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,549.448624294251,0.557009657704426
Ganeshman Charnath,524 2 17 3 002,2,4,2 to 4 hours,39840.8077594191,2325.36665657163,0.0583664535772839
Turmakhad,524 7 69 4 006,7,5,4 to 8 hours,26871.595017828,774.893464118242,0.0288368987253692
Lamkichuha,524 7 71 3 006,7,4,2 to 4 hours,82134.8850367814,3834.35987190902,0.0466836943911461
Thasang,524 4 45 4 005,4,8,> 32 hours,3364.70856910525,0,0
Siranchok,524 4 36 4 005,4,2,30 minutes to 1 hour,25977.0999745578,609.435674846172,0.0234604969547432
Mai,524 1 03 3 004,1,4,2 to 4 hours,36995.3578437902,17680.9288307168,0.477922903337575
Dudhkoshi,524 1 11 4 004,1,6,8 to 16 hours,14949.5460244277,9138.35614463501,0.61127984285963
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,117.134706249344,0.00918262792876583
Dudhkaushika,524 1 11 4 006,1,7,16 to 32 hours,22115.5269935317,0.411309495732018,1.85982226809389e-05
Baragadhi,524 2 33 4 006,2,4,2 to 4 hours,30145.1715936959,149.278174579144,0.00495197627637195
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,1965.47921039164,0.116693359246815
Kamalbazar,524 7 69 3 003,7,7,16 to 32 hours,26016.6821766682,5.34464767575264,0.000205431562697327
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,1088067.35148728,0.999398620351577
Mahankal,524 3 25 4 003,3,4,2 to 4 hours,10538.9451647997,4653.47787187621,0.441550629508817
Susta,524 5 47 4 004,5,2,30 minutes to 1 hour,39617.3734094799,31105.1323087066,0.785138681133859
Dipayal Silgadi,524 7 70 3 002,7,5,4 to 8 hours,35126.0238489956,19801.4165438935,0.563724964402987
Chainpur,524 1 09 3 003,1,4,2 to 4 hours,30608.9407257736,11691.8650094271,0.38197548599198
Belauri,524 7 72 3 006,7,5,4 to 8 hours,59717.2670108378,620.989542841911,0.0103988272391838
Shuklaphanta National Park,524 7 72 5 997,7,5,4 to 8 hours,986.42566909641,431.545434098691,0.437483986496415
Mohanyal,524 7 71 4 003,7,6,8 to 16 hours,24038.0277960505,1954.32378630899,0.0813013364861025
Mandavi,524 5 55 4 004,5,3,1 to 2 hours,16758.8341155052,2920.62023045123,0.17427347334079
Chandragiri,524 3 27 3 008,3,5,4 to 8 hours,94659.1015136838,1.05583023038624,1.11540275948384e-05
Madi,524 4 39 4 003,4,6,8 to 16 hours,20162.2267178839,424.682569757802,0.0210632771717178
Jwalamukhi,524 3 30 4 006,3,2,30 minutes to 1 hour,26499.2025411725,6536.12129536271,0.246653509108713
Ratuwamai,524 1 05 3 008,1,2,30 minutes to 1 hour,61861.8245882541,35652.2764425278,0.576321126637076
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,9577.878107436,0.373753940368227
Tulsipur,524 5 56 2 001,5,4,2 to 4 hours,155774.116316706,3483.77525417134,0.0223642755070325
Sarkegad,524 6 66 4 004,6,7,16 to 32 hours,10694.9966011964,10421.3403465427,0.974412684280508
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,16639.7777193338,0.522606042942276
Binayee Tribeni,524 4 47 4 004,4,3,1 to 2 hours,37203.9528506231,12217.1547432169,0.32838324444367
Masta,524 7 67 4 008,7,7,16 to 32 hours,16199.4015340675,11710.396092304,0.722890661588761
Marchawari,524 5 48 4 010,5,4,2 to 4 hours,43123.5928758085,7.85014241086183,0.000182038227507375
Ghodaghodi,524 7 71 3 003,7,4,2 to 4 hours,83452.4903064314,35969.3814939801,0.431016274791838
Uttargaya,524 3 29 4 003,3,7,16 to 32 hours,9306.98273306387,1.27229012735188,0.000136702749305847
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,25.6208483203955,0.00172276025950879
Ramprasad Rai,524 1 10 4 004,1,6,8 to 16 hours,21404.7580865212,1328.41571923345,0.0620617020694091
Phalebas,524 4 42 3 002,4,2,30 minutes to 1 hour,27380.2592477202,3822.19397485256,0.139596705066655
Purbakhola,524 5 46 4 006,5,2,30 minutes to 1 hour,21512.1376287639,2451.45050087571,0.113956620359191
Agnisair Krishna Savaran,524 2 15 4 002,2,4,2 to 4 hours,30326.8262336515,405.494242021814,0.0133708103478321
Kalikamai,524 2 34 4 008,2,3,1 to 2 hours,25389.4465186,1201.9620077014,0.0473410086675523
Nagarjun,524 3 27 3 005,3,1,0 to 30 minutes,76085.6406923831,72259.5370939374,0.949713197344099
Budhinanda,524 7 68 3 001,7,6,8 to 16 hours,20224.524356719,18244.8909200169,0.902117182002137
Rupa,524 4 39 4 004,4,4,2 to 4 hours,15931.684864901,2819.0472497493,0.176945958550808
Rajapur,524 5 58 3 001,5,2,30 minutes to 1 hour,65338.0637586769,45958.95351547,0.703402440654154
Sani Bheri,524 6 52 4 001,6,5,4 to 8 hours,24419.6540638059,14285.5743020624,0.585003139878056
Jhimruk,524 5 55 4 003,5,5,4 to 8 hours,30805.036466971,3382.37639628351,0.109799460874201
Besishahar,524 4 37 3 002,4,4,2 to 4 hours,43913.0945725013,7433.29734010994,0.169272910790594
Panini,524 5 50 4 003,5,3,1 to 2 hours,29258.4642607719,14872.1951031387,0.508304023430187
Kaligandaki,524 5 51 4 010,5,5,4 to 8 hours,20719.9138427079,5817.07004053891,0.280747790975306
Modi,524 4 42 4 002,4,3,1 to 2 hours,23153.5326819289,14072.7599932849,0.607801849791525
Ramdhuni,524 1 06 3 002,1,3,1 to 2 hours,58906.8565486781,15005.2658163607,0.254728680080917
Rajpur,524 5 56 4 004,5,1,0 to 30 minutes,27871.6167170666,2343.11370265484,0.0840680943068538
Khadak,524 2 15 3 002,2,1,0 to 30 minutes,50681.3997212574,951.404596805573,0.0187722636319873
Kispang,524 3 28 4 002,3,5,4 to 8 hours,16473.9629708165,5875.47001553606,0.356651889162577
Mithila,524 2 17 3 001,2,1,0 to 30 minutes,51448.5442441851,28092.5832354724,0.546032616630306
Waling,524 4 41 3 004,4,3,1 to 2 hours,55516.0064349696,24902.0782064721,0.448556728150861
Manthali,524 3 21 3 001,3,1,0 to 30 minutes,50995.762838237,11506.9968182743,0.225646135636317
Raghuganga,524 4 44 4 002,4,6,8 to 16 hours,17521.4264612333,413.144384682644,0.0235793806855132
Devghat,524 4 40 4 006,4,1,0 to 30 minutes,18282.5371856429,3026.31319195032,0.165530263180696
Tripurasundari,524 3 23 4 008,3,7,16 to 32 hours,14589.4684107229,0.03508279713715,2.40466589662479e-06
Halesi Tuwachung,524 1 12 3 001,1,5,4 to 8 hours,33213.1863360852,10005.4612803981,0.301249665694598
Shantinagar,524 5 56 4 003,5,3,1 to 2 hours,27505.8114778325,9384.30396216363,0.341175317431614
Falgunanda,524 1 02 4 005,1,2,30 minutes to 1 hour,27047.0450184345,1104.50352752209,0.0408363844098048
Mohanyal,524 7 71 4 003,7,7,16 to 32 hours,24038.0277960505,0.622689616542233,2.59043554581687e-05
Harinagara,524 1 06 4 004,1,2,30 minutes to 1 hour,42210.0727682561,23788.5692899674,0.563575652204455
Halesi Tuwachung,524 1 12 3 001,1,4,2 to 4 hours,33213.1863360852,21828.4234262332,0.657221598835799
Chhathar,524 1 08 4 004,1,5,4 to 8 hours,18946.9950454906,7924.4686512053,0.41824408737001
Aathabis,524 6 61 3 001,6,6,8 to 16 hours,31897.1818137318,31402.3465034142,0.98448655078034
Phikkal,524 3 20 4 007,3,3,1 to 2 hours,18942.3525260761,1902.48898336291,0.100435728917194
Melung,524 3 22 4 006,3,4,2 to 4 hours,22703.2341257036,9652.30091379583,0.425150921685996
Ghiring,524 4 40 4 002,4,3,1 to 2 hours,21323.0699981004,10669.5308508724,0.500374985957599
Bhirkot,524 4 41 3 002,4,5,4 to 8 hours,28142.789224565,1592.74534721673,0.0565951489210055
Sonama,524 2 18 4 001,2,2,30 minutes to 1 hour,44503.4267472327,26454.033516407,0.594426889117072
Marchawari,524 5 48 4 010,5,3,1 to 2 hours,43123.5928758085,10958.2076846361,0.2541116580011
Bardibas,524 2 18 3 001,2,3,1 to 2 hours,71235.724308107,16831.9234404508,0.236284864145548
Arjundhara,524 1 04 3 004,1,2,30 minutes to 1 hour,67059.2133563459,21070.3217443228,0.314204725789985
Indrasarowar,524 3 31 4 005,3,2,30 minutes to 1 hour,15363.8906337433,3034.00352655351,0.197476251223113
Banepa,524 3 24 3 002,3,1,0 to 30 minutes,62895.8163361847,40623.2199756503,0.645881114866447
Melung,524 3 22 4 006,3,1,0 to 30 minutes,22703.2341257036,17.5491819381714,0.000772981586720413
Meringden,524 1 01 4 004,1,5,4 to 8 hours,13980.5360982831,12480.5531011894,0.89270919322773
