adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Godawari,524 3 25 3 001,3,1,0 to 30 minutes,86105.222590819,,
Narayan,524 6 61 3 004,6,6,8 to 16 hours,29192.784407109,,
Yangwarak,524 1 02 4 002,1,5,4 to 8 hours,20441.5263771056,,
Shantinagar,524 5 56 4 003,5,3,1 to 2 hours,27505.8114778325,,
Mithila,524 2 17 3 001,2,5,4 to 8 hours,51448.5442441851,,
Miklajung,524 1 02 4 007,1,5,4 to 8 hours,27813.9283798337,,
Tyamkemaiyung,524 1 10 4 002,1,4,2 to 4 hours,20422.6444183737,,
Phikkal,524 3 20 4 007,3,5,4 to 8 hours,18942.3525260761,,
Shivapuri,524 3 28 4 010,3,6,8 to 16 hours,22180.1212859526,,
Sabhapokhari,524 1 09 4 005,1,1,0 to 30 minutes,11725.8498787116,,
Chum Nubri,524 4 36 4 001,4,1,0 to 30 minutes,7664.6336446854,,
Chisankhugadhi,524 1 13 4 006,1,4,2 to 4 hours,17089.6592731178,,
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,,
Khandachakra,524 6 64 3 002,6,4,2 to 4 hours,22357.4055146133,,
Satyawati,524 5 51 4 009,5,3,1 to 2 hours,25954.5521376058,,
Tillotama,524 5 48 3 003,5,3,1 to 2 hours,111663.267007127,,
Sudhdhodhan,524 5 48 4 002,5,1,0 to 30 minutes,37140.6299852729,,
Ghorahi,524 5 56 2 002,5,1,0 to 30 minutes,172320.29421179,,
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,,
Marma,524 7 75 4 007,7,4,2 to 4 hours,16020.7516647223,,
Nagarjun,524 3 27 3 005,3,2,30 minutes to 1 hour,76085.6406923831,,
Kolhabi,524 2 33 3 002,2,4,2 to 4 hours,49031.4283923358,,
Bihadi,524 4 42 4 003,4,5,4 to 8 hours,14849.6183651984,,
Duikholi,524 5 54 4 002,5,1,0 to 30 minutes,22858.5323839802,,
Bigu,524 3 22 4 001,3,1,0 to 30 minutes,21128.8317217169,,
Likhu,524 3 28 4 006,3,1,0 to 30 minutes,18662.0517333448,,
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,,
Kailash,524 3 31 4 003,3,2,30 minutes to 1 hour,26566.3559850082,,
Phedikhola,524 4 41 4 002,4,5,4 to 8 hours,13556.9496206455,,
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,,
Banfikot,524 6 52 4 002,6,3,1 to 2 hours,20768.8714226712,,
Thaha,524 3 31 3 001,3,5,4 to 8 hours,45900.3440804929,,
Musikot,524 6 52 3 003,6,2,30 minutes to 1 hour,36042.4884925038,,
Gharapjhong,524 4 45 4 004,4,4,2 to 4 hours,3152.07226090948,,
Bahudaramai,524 2 34 3 002,2,1,0 to 30 minutes,45292.4304988086,,
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,,
Inaruwa,524 1 06 3 003,1,2,30 minutes to 1 hour,71035.6224379092,,
Likhupike,524 1 11 4 003,1,1,0 to 30 minutes,6196.69205115736,,
Sani Bheri,524 6 52 4 001,6,1,0 to 30 minutes,24419.6540638059,,
Gurans,524 6 61 4 005,6,6,8 to 16 hours,23875.2828434706,,
Adharsha,524 7 70 4 001,7,3,1 to 2 hours,26156.673794806,,
Barah,524 1 06 3 001,1,4,2 to 4 hours,87412.4226064347,,
Raghuganga,524 4 44 4 002,4,4,2 to 4 hours,17521.4264612333,,
Durgathali,524 7 67 4 006,7,3,1 to 2 hours,13827.515117377,,
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,,
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,,
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,,
