adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Chaurpati,524 7 69 4 001,7,7,16 to 32 hours,27470.9785091262,0.505894064903259,1.84155822747702e-05
Chhededaha,524 7 68 4 003,7,7,16 to 32 hours,20373.9305640385,15947.4521484375,0.782738122048279
Banepa,524 3 24 3 002,3,5,4 to 8 hours,62895.8163361847,49.2099723815918,0.000782404542117067
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,4187.62353515625,0.999597234722687
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,6262.154296875,0.455801195825548
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,198.481384277344,0.556559716406912
Janakpur,524 2 17 2 001,2,2,30 minutes to 1 hour,181044.671591789,51795.4609375,0.286092158814185
Shivapuri Watershed and Wildlife Reserve,524 3 28 5 996,3,4,2 to 4 hours,1270.66077735648,251.714950561523,0.198097678819676
Laligurans,524 1 08 3 001,1,5,4 to 8 hours,18970.8394403681,10521.4130859375,0.554609779868199
Bhumekasthan,524 5 50 3 001,5,2,30 minutes to 1 hour,36116.8630484045,1.79889416694641,4.98075972028773e-05
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,48564.25,0.517564845706495
Phedap,524 1 08 4 002,1,5,4 to 8 hours,19729.3887172192,11883.12109375,0.602305589092011
Bideha,524 2 17 3 010,2,2,30 minutes to 1 hour,35912.9961421937,16322.1357421875,0.454491061607941
Bhumlu,524 3 24 4 001,3,7,16 to 32 hours,21045.0355905592,,
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,7570.8779296875,0.373182598110164
Mahankal,524 3 25 4 003,3,5,4 to 8 hours,10538.9451647997,6013.9228515625,0.570638024728427
Tillotama,524 5 48 3 003,5,3,1 to 2 hours,111663.267007127,47656.26171875,0.426785486365074
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,15870.2265625,0.280746787012344
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,27129.91015625,0.975407349359552
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,13185.3134765625,0.554056379872818
Aurahi,524 2 16 4 004,2,3,1 to 2 hours,26377.8838386834,59.1245079040527,0.00224144242448085
Geruwa,524 5 58 4 001,5,5,4 to 8 hours,38011.5052131061,35494.82421875,0.933791598616086
Parsa Wildlife Reserve,524 3 31 5 995,3,6,8 to 16 hours,1685.21897472441,1538.55908203125,0.912972797664383
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,19977.947265625,0.418220583297197
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,4474.3037109375,0.0711383359271764
Phidim,524 1 02 3 001,1,1,0 to 30 minutes,56993.4214813523,4571.330078125,0.0802080303183885
Rajbiraj,524 2 15 3 008,2,4,2 to 4 hours,77842.0242378563,2956.64013671875,0.0379825700277829
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,29356.5703125,0.522855010223593
Chautara SangachokGadhi,524 3 23 3 002,3,3,1 to 2 hours,51740.836879231,8382.5,0.162009362538254
Pachaljharana,524 6 64 4 003,6,8,> 32 hours,13491.9916381575,0.610496461391449,4.52488022350138e-05
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,552.5244140625,0.031534214139755
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,66.2182540893555,0.00417384248583022
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,6878.8916015625,0.46254054246935
Ramprasad Rai,524 1 10 4 004,1,4,2 to 4 hours,21404.7580865212,2214.11962890625,0.103440535041623
Phedikhola,524 4 41 4 002,4,5,4 to 8 hours,13556.9496206455,5934.98974609375,0.437782090526878
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,1025.52807617188,0.0218615748004888
Dolpo Buddha,524 6 62 4 003,6,7,16 to 32 hours,2267.2867809672,894.840576171875,0.394674632112548
Bareng,524 4 43 4 006,4,6,8 to 16 hours,16257.1611697227,10677.126953125,0.656764538510578
Guthichaur,524 6 63 4 007,6,7,16 to 32 hours,10754.8802878719,37.3073539733887,0.00346887673082328
Bagchaur,524 6 53 3 002,6,4,2 to 4 hours,37624.0976811051,12396.1279296875,0.329473095534537
Shuklaphanta National Park,524 7 72 5 997,7,4,2 to 4 hours,986.42566909641,93.8818969726562,0.0951738178697786
Sunwarshi,524 1 05 3 007,1,1,0 to 30 minutes,57519.0191710591,1.7259658575058,3.00068722029638e-05
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,13544.330078125,0.583881722655694
Nepalgunj,524 5 57 2 001,5,3,1 to 2 hours,151198.2302268,27371.865234375,0.181032973688361
Madi,524 5 54 4 004,5,5,4 to 8 hours,19894.5814803466,3344.97875976562,0.168135166003369
Sunapati,524 3 21 4 001,3,3,1 to 2 hours,19995.6999516413,6549.498046875,0.327545325380691
Tilagufa,524 6 64 3 003,6,7,16 to 32 hours,17231.6060848124,10922.125,0.633842541794553
Jiri,524 3 22 3 002,3,6,8 to 16 hours,17528.2291280694,176.438491821289,0.0100659621991559
Neshyang,524 4 38 4 001,4,7,16 to 32 hours,2164.54852405361,1712.77587890625,0.791285508212442
Illam,524 1 03 3 002,1,5,4 to 8 hours,54374.5400074348,11151.052734375,0.205078566786041
Ganeshman Charnath,524 2 17 3 002,2,4,2 to 4 hours,39840.8077594191,34364.55078125,0.862546537428715
Turmakhad,524 7 69 4 006,7,5,4 to 8 hours,26871.595017828,1626.18041992188,0.0605167061666038
Lamkichuha,524 7 71 3 006,7,4,2 to 4 hours,82134.8850367814,26448.32421875,0.322010850893697
Adanchuli,524 6 66 4 007,6,8,> 32 hours,7703.44188905391,3.9920015335083,0.000518210118412222
Dhanauji,524 2 17 4 004,2,3,1 to 2 hours,23229.635468334,11644.0146484375,0.501256882154277
Dipayal Silgadi,524 7 70 3 002,7,5,4 to 8 hours,35126.0238489956,9822.701171875,0.279641704227673
Chandannath,524 6 63 3 001,6,5,4 to 8 hours,22083.4815721046,1184.08605957031,0.053618631451031
Shuklaphanta National Park,524 7 72 5 997,7,5,4 to 8 hours,986.42566909641,707.313354492188,0.717046784822726
Mohanyal,524 7 71 4 003,7,6,8 to 16 hours,24038.0277960505,15131.1416015625,0.629466848526091
Madi,524 4 39 4 003,4,6,8 to 16 hours,20162.2267178839,5227.3291015625,0.259263481891405
Bheri,524 6 60 3 002,6,1,0 to 30 minutes,36663.0391201377,37.5518951416016,0.00102424392638459
Shankharapur,524 3 27 3 007,3,5,4 to 8 hours,28204.9811190143,8826.45703125,0.312939653957069
Sakhuwanankarkatti,524 2 16 4 008,2,4,2 to 4 hours,21181.8167438507,17104.7734375,0.807521547577626
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,8887.2939453125,0.346805533961889
Balan Bihul,524 2 15 4 004,2,6,8 to 16 hours,24892.5046091676,,
Tulsipur,524 5 56 2 001,5,4,2 to 4 hours,155774.116316706,50832.50390625,0.326321889080095
