adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,8974.046875,0.391277186742537
Chhatradev,524 5 50 4 002,5,3,1 to 2 hours,28031.0082673728,6296.92529296875,0.224641412570883
Kwholasothar,524 4 37 4 001,4,4,2 to 4 hours,10774.7392271358,3063.1083984375,0.284286081905646
Kepilasagadhi,524 1 12 4 002,1,6,8 to 16 hours,18046.3533669878,3691.50024414062,0.204556575451609
Dungeshwor,524 6 61 4 006,6,6,8 to 16 hours,17158.708549954,1589.21020507812,0.0926182877022167
Kalaiya,524 2 33 2 002,2,1,0 to 30 minutes,138946.056775004,49782.328125,0.35828528912924
Barahathawa,524 2 19 3 004,2,4,2 to 4 hours,77912.1491135806,4145.53173828125,0.0532077703598945
Chandrakot,524 5 51 4 006,5,6,8 to 16 hours,24304.7403015196,,
Budhiganga,524 1 05 4 004,1,3,1 to 2 hours,46753.3540797457,8297.54296875,0.17747481719915
Talkot,524 7 67 4 003,7,7,16 to 32 hours,12555.6920184336,869.367492675781,0.069240906148337
Rapti Sonari,524 5 57 4 005,5,4,2 to 4 hours,66782.7500941576,26292.23046875,0.393697929954671
Likhu,524 3 21 4 006,3,5,4 to 8 hours,25626.1595476419,3987.24633789062,0.155592816413942
Bharatpur,524 3 35 1 001,3,3,1 to 2 hours,311271.054061007,16405.57421875,0.0527051070271848
Arnama,524 2 16 4 003,2,3,1 to 2 hours,24449.0091687143,22110.8828125,0.904367234676887
Balan Bihul,524 2 15 4 004,2,3,1 to 2 hours,24892.5046091676,18761.919921875,0.753717643782829
Dhankuta,524 1 07 3 003,1,3,1 to 2 hours,40740.0936588198,8216.205078125,0.201673691448333
Apihimal,524 7 75 4 003,7,7,16 to 32 hours,7518.63176559176,4733.24853515625,0.629535889337934
Meghang,524 3 28 4 001,3,2,30 minutes to 1 hour,15000.4129657336,2981.1337890625,0.198736781172125
Myanglung,524 1 08 3 002,1,3,1 to 2 hours,22165.8583285883,7542.740234375,0.340286404548873
Thuli Bheri,524 6 62 3 002,6,4,2 to 4 hours,8898.92836464918,2602.30297851562,0.292428803995459
Khandachakra,524 6 64 3 002,6,1,0 to 30 minutes,22357.4055146133,2902.18017578125,0.129808450890437
Belhi Chapena,524 2 15 4 006,2,3,1 to 2 hours,33218.9321504384,10994.6708984375,0.330976048496863
Geruwa,524 5 58 4 001,5,1,0 to 30 minutes,38011.5052131061,11281.6103515625,0.296794622794172
Bagnaskali,524 5 46 4 005,5,2,30 minutes to 1 hour,23858.7347485572,4382.7353515625,0.183695212581528
Baglung,524 4 43 3 003,4,7,16 to 32 hours,62142.7868413329,,
Malika,524 4 44 4 004,4,3,1 to 2 hours,20734.1555344015,3668.51635742188,0.176931071599959
Illam,524 1 03 3 002,1,4,2 to 4 hours,54374.5400074348,13861.634765625,0.254928772983269
Sudhdhodhan,524 5 48 4 002,5,2,30 minutes to 1 hour,37140.6299852729,15007.6875,0.404077354260035
Kaligandaki,524 5 51 4 010,5,5,4 to 8 hours,20719.9138427079,12445.83984375,0.600670443817032
Modi,524 4 42 4 002,4,3,1 to 2 hours,23153.5326819289,7537.9892578125,0.325565405563178
Kerabari,524 1 05 4 001,1,2,30 minutes to 1 hour,34360.6714177094,8030.41796875,0.233709576600739
Jugal,524 3 23 4 003,3,8,> 32 hours,21039.8386648851,8.9610538482666,0.000425908867030542
Langtang National Park,524 3 28 5 997,3,5,4 to 8 hours,1090.2479945888,544.095092773438,0.49905626561473
Patahrishanishchare,524 1 05 3 004,1,2,30 minutes to 1 hour,70068.7889099419,29357.03515625,0.418974490824753
Gharapjhong,524 4 45 4 004,4,3,1 to 2 hours,3152.07226090948,426.519775390625,0.135314085492304
Makawanpurgadhi,524 3 31 4 006,3,5,4 to 8 hours,28516.479284361,4827.18798828125,0.169277137620862
Putha Uttarganga,524 5 52 4 002,5,7,16 to 32 hours,19482.5356403086,1822.73168945312,0.0935572105759151
Mangalsen,524 7 69 3 002,7,7,16 to 32 hours,35147.934607055,,
