adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Shambhunath,524 2 15 3 003,2,5,4 to 8 hours,39598.0955801122,7965.09228515625,0.201148367578482
Chure,524 7 71 4 001,7,7,16 to 32 hours,20533.6955341883,7912.82666015625,0.385358137164424
Mangalsen,524 7 69 3 002,7,5,4 to 8 hours,35147.934607055,13235.5126953125,0.376565873451233
Maharajgunj,524 5 49 3 005,5,4,2 to 4 hours,60914.0401597619,42072.9453125,0.690693725160135
Budhinanda,524 7 68 3 001,7,7,16 to 32 hours,20224.524356719,1660.75500488281,0.0821158992711281
Badimalika,524 7 68 3 002,7,6,8 to 16 hours,18262.0687327138,6300.33935546875,0.344995928319042
Rainadevi Chhahara,524 5 46 4 001,5,5,4 to 8 hours,29152.090916492,3160.15209960938,0.108402244925135
Balara,524 2 19 3 011,2,4,2 to 4 hours,51645.2242061794,44166.94140625,0.855198947920637
Melauli,524 7 74 3 003,7,7,16 to 32 hours,24411.2979015335,4.91717624664307,0.000201430348622888
Kabilasi,524 2 19 3 007,2,4,2 to 4 hours,47753.4287705719,32876.61328125,0.688466024904796
Triyuga,524 1 14 3 002,1,3,1 to 2 hours,98659.4940726273,40698.50390625,0.412514824739423
Bhanu,524 4 40 3 003,4,5,4 to 8 hours,51274.464119684,49157.1171875,0.958705625333467
Chitawan National Park,524 4 47 5 997,4,5,4 to 8 hours,342.330276377499,162.390029907227,0.474366543402529
Modi,524 4 42 4 002,4,5,4 to 8 hours,23153.5326819289,17820.78125,0.769678713603342
Sunwal,524 5 47 3 001,5,3,1 to 2 hours,61663.8532037921,22819.09375,0.3700562414513
Phalebas,524 4 42 3 002,4,4,2 to 4 hours,27380.2592477202,13256.6923828125,0.484169717418446
Manthali,524 3 21 3 001,3,4,2 to 4 hours,50995.762838237,15902.3544921875,0.311836780295476
Roshi,524 3 24 4 004,3,6,8 to 16 hours,31840.0025105942,24397.462890625,0.766251914788863
Khanikhola,524 3 24 4 006,3,7,16 to 32 hours,15938.986864157,9268.5205078125,0.581499977809455
Sundarbazar,524 4 37 3 003,4,5,4 to 8 hours,29744.6926354021,28517.41015625,0.95873944658983
Kanthekhola,524 4 43 4 005,4,4,2 to 4 hours,28638.3406830654,11389.2568359375,0.397692623395331
Alital,524 7 73 4 004,7,5,4 to 8 hours,20517.6018072404,414.214782714844,0.0201882650129545
Omsatiya,524 5 48 4 006,5,3,1 to 2 hours,38866.0538333654,17677.962890625,0.454843266733937
Sidingba,524 1 01 4 008,1,7,16 to 32 hours,13642.0205260392,12909.943359375,0.946336602758599
Bishnupur,524 2 16 4 002,2,4,2 to 4 hours,20941.0044704974,17635.095703125,0.842132273452791
Tinpatan,524 3 20 4 006,3,5,4 to 8 hours,41020.0983435512,6577.22509765625,0.160341524356444
Panchakhapan,524 1 09 3 002,1,5,4 to 8 hours,19606.9741003793,12334.751953125,0.629100231885674
Nechasalyan,524 1 11 4 005,1,6,8 to 16 hours,18088.443148151,10890.6201171875,0.602076144861628
Surma,524 7 67 4 002,7,7,16 to 32 hours,9802.99815977308,223.762115478516,0.0228258856965546
Geruwa,524 5 58 4 001,5,6,8 to 16 hours,38011.5052131061,37751.5625,0.99316147277913
Dhankuta,524 1 07 3 003,1,4,2 to 4 hours,40740.0936588198,16495.44921875,0.404894729916236
Bidur,524 3 28 3 001,3,4,2 to 4 hours,60047.8161335289,19223.181640625,0.320131236711061
Tripurasundari,524 6 62 3 001,6,7,16 to 32 hours,11020.4638217296,5032.41259765625,0.45664254055565
Sukidaha,524 5 54 4 001,5,6,8 to 16 hours,22028.9320625737,20056.849609375,0.910477618815248
Rambha,524 5 46 4 007,5,5,4 to 8 hours,22802.0401390642,9926.857421875,0.435349528434012
Dasharathchanda,524 7 74 3 001,7,6,8 to 16 hours,37967.6246726885,1373.55383300781,0.0361769756430367
Kohalpur,524 5 57 3 001,5,4,2 to 4 hours,79478.3234474845,22540.623046875,0.283607178273819
Krishnapur,524 7 72 3 005,7,7,16 to 32 hours,62214.692910336,,
Susta,524 5 47 4 004,5,5,4 to 8 hours,39617.3734094799,35658.33203125,0.900068050011551
Thuli Bheri,524 6 62 3 002,6,6,8 to 16 hours,8898.92836464918,6420.5244140625,0.721494111534587
Tulsipur,524 5 56 2 001,5,5,4 to 8 hours,155774.116316706,29663.224609375,0.190424605260263
Rupani,524 2 15 4 001,2,4,2 to 4 hours,28822.0165221207,15014.240234375,0.520929554767678
Kapurkot,524 6 53 4 007,6,6,8 to 16 hours,20044.6973528564,9747.4736328125,0.486286894794322
Shadananda,524 1 10 3 001,1,6,8 to 16 hours,35300.545324564,10108.904296875,0.286366802663547
Golanjor,524 3 20 4 005,3,6,8 to 16 hours,21585.4802747406,15497.67578125,0.717967614525836
Tara Khola,524 4 43 4 004,4,6,8 to 16 hours,13264.4379665274,9724.2431640625,0.733106309411787
Tansen,524 5 46 3 001,5,4,2 to 4 hours,54592.4382034391,8657.607421875,0.158586201803487
Musikot,524 5 51 3 001,5,5,4 to 8 hours,35942.4881163538,21211.57421875,0.590153195574092
Siddhalek,524 3 30 4 007,3,4,2 to 4 hours,26482.5257577896,9569.857421875,0.36136498117292
Dhorpatan Hunting Reserve,524 5 52 5 998,5,7,16 to 32 hours,14.2229004381807,9.96639823913574,0.700728960485545
Mathagadhi,524 5 46 4 004,5,6,8 to 16 hours,27453.4601313621,8001.09521484375,0.291442141593785
Rapti Sonari,524 5 57 4 005,5,5,4 to 8 hours,66782.7500941576,42198.625,0.63187911459926
Naraharinath,524 6 64 4 001,6,6,8 to 16 hours,23266.0434676739,16252.83984375,0.698564836188493
Tansen,524 5 46 3 001,5,1,0 to 30 minutes,54592.4382034391,3453.46728515625,0.0632590776086402
Dungeshwor,524 6 61 4 006,6,5,4 to 8 hours,17158.708549954,8618.1494140625,0.50226095914926
Chhatreshwori,524 6 53 4 005,6,4,2 to 4 hours,23797.7829613462,3920.33325195312,0.164735230097727
Meringden,524 1 01 4 004,1,7,16 to 32 hours,13980.5360982831,249.717437744141,0.0178617927087079
Nechasalyan,524 1 11 4 005,1,5,4 to 8 hours,18088.443148151,7061.9072265625,0.390409897011195
Shikhar,524 7 70 3 001,7,6,8 to 16 hours,35026.4207793921,13792.0546875,0.393761462935847
Pandav Gupha,524 7 68 4 004,7,6,8 to 16 hours,10248.1878919657,3151.69995117188,0.30753729189945
