adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Mai,524 1 03 3 004,1,4,2 to 4 hours,36995.3578437902,16403.576171875,0.443395526572218
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,14281.69921875,0.557309385052362
Kwholasothar,524 4 37 4 001,4,4,2 to 4 hours,10774.7392271358,3066.05859375,0.284559888561223
Maijogmai,524 1 03 4 003,1,5,4 to 8 hours,23657.7639182806,1081.04272460938,0.0456950508232117
Parashuram,524 7 73 3 001,7,5,4 to 8 hours,38115.3647800349,7153.732421875,0.187686316611672
Jaimuni,524 4 43 3 004,4,4,2 to 4 hours,35204.2506258786,13467.15625,0.382543471614201
Gandaki,524 4 36 4 009,4,4,2 to 4 hours,25430.0979296118,11913.453125,0.468478460365169
Bheri,524 6 60 3 002,6,5,4 to 8 hours,36663.0391201377,19607.841796875,0.534812232358149
Rapti Sonari,524 5 57 4 005,5,3,1 to 2 hours,66782.7500941576,9213.5478515625,0.137962989523076
Ramprasad Rai,524 1 10 4 004,1,5,4 to 8 hours,21404.7580865212,18165.748046875,0.848678035670685
Bansagadhi,524 5 58 3 006,5,1,0 to 30 minutes,61435.8679853827,25436.333984375,0.41403067651664
Krishnapur,524 7 72 3 005,7,4,2 to 4 hours,62214.692910336,1978.36279296875,0.031798964206413
Tamakoshi,524 3 22 4 007,3,5,4 to 8 hours,20979.3316478282,1636.38500976562,0.0779998637342207
Adharsha,524 7 70 4 001,7,5,4 to 8 hours,26156.673794806,18322.57421875,0.700493279936395
Suddhodhan,524 5 49 4 004,5,2,30 minutes to 1 hour,50178.543446213,12559.5166015625,0.250296555838158
Helambu,524 3 23 4 001,3,5,4 to 8 hours,19755.70701886,4042.66381835938,0.204632707627219
Lamahi,524 5 56 3 001,5,3,1 to 2 hours,52449.373056924,6047.4287109375,0.11530030500792
MadhyaNepal,524 4 37 3 001,4,3,1 to 2 hours,25992.9724830501,7833.044921875,0.30135241080961
Tarkeshwar,524 3 28 4 003,3,2,30 minutes to 1 hour,17632.7340362817,3238.6474609375,0.183672450016744
Temal,524 3 24 4 005,3,4,2 to 4 hours,25155.9957317635,7853.34716796875,0.312185900002067
Triyuga,524 1 14 3 002,1,5,4 to 8 hours,98659.4940726273,6878.9609375,0.0697242673111228
Gaidakot,524 4 47 3 004,4,2,30 minutes to 1 hour,65552.50551451,9611.5224609375,0.146623266120774
Jorayal,524 7 70 4 004,7,5,4 to 8 hours,22883.3536821064,9069.5322265625,0.396337545298459
Hetauda,524 3 31 2 001,3,3,1 to 2 hours,170840.177112214,12230.5556640625,0.071590628567594
Bedkot,524 7 72 3 003,7,4,2 to 4 hours,54257.6742201075,2217.60595703125,0.0408717474330925
Khotehang,524 1 12 4 006,1,4,2 to 4 hours,25252.246187225,8856.41015625,0.350717717964053
Chitawan National Park,524 3 31 5 997,3,2,30 minutes to 1 hour,0,,
Golanjor,524 3 20 4 005,3,2,30 minutes to 1 hour,21585.4802747406,2108.0634765625,0.097661180095648
Shadananda,524 1 10 3 001,1,4,2 to 4 hours,35300.545324564,11367.34765625,0.322016205464679
Sanphebagar,524 7 69 3 001,7,5,4 to 8 hours,36989.0088991113,7374.68017578125,0.199374906094292
Tribeni Nalagad,524 6 60 3 003,6,7,16 to 32 hours,28146.7474577064,1922.7197265625,0.0683105474069997
Surunga,524 2 15 3 001,2,2,30 minutes to 1 hour,49509.6985654309,21410.6328125,0.432453305774104
Barbardiya,524 5 58 3 005,5,3,1 to 2 hours,74432.436629042,36403.78515625,0.489084958184023
Kachankawal,524 1 04 4 007,1,4,2 to 4 hours,44695.2509134412,6934.751953125,0.155156349084048
Katari,524 1 14 3 001,1,1,0 to 30 minutes,63480.0141092166,14597.015625,0.229946634855594
Banglachuli,524 5 56 4 005,5,4,2 to 4 hours,26626.8194289505,9525.109375,0.357726141509926
Sidingba,524 1 01 4 008,1,6,8 to 16 hours,13642.0205260392,3584.48120117188,0.262752954690986
Tinpatan,524 3 20 4 006,3,5,4 to 8 hours,41020.0983435512,31750.7421875,0.774028914352703
Janaki,524 7 71 4 006,7,4,2 to 4 hours,51809.2077100873,1044.27478027344,0.0201561619339359
Siranchok,524 4 36 4 005,4,3,1 to 2 hours,25977.0999745578,7758.0087890625,0.298647993681388
Dipayal Silgadi,524 7 70 3 002,7,2,30 minutes to 1 hour,35126.0238489956,4478.34765625,0.127493725891155
Nilakantha,524 3 30 3 001,3,1,0 to 30 minutes,66585.2487707734,20387.17578125,0.306181566602461
Aandhikhola,524 4 41 4 001,4,4,2 to 4 hours,18460.3467736915,8809.09765625,0.477190258896121
Duduwa,524 5 57 4 004,5,4,2 to 4 hours,40818.6480547413,6804.79931640625,0.166708101338399
Mandavi,524 5 55 4 004,5,3,1 to 2 hours,16758.8341155052,3411.85180664062,0.203585272288362
Lamahi,524 5 56 3 001,5,1,0 to 30 minutes,52449.373056924,26429.79296875,0.503910560381063
Arjunchaupari,524 4 41 4 003,4,3,1 to 2 hours,18161.0017326921,5239.2607421875,0.288489633958691
Malika,524 4 44 4 004,4,3,1 to 2 hours,20734.1555344015,3681.22094726562,0.177543808869276
Sainamaina,524 5 48 3 001,5,3,1 to 2 hours,61231.8608185779,2861.77880859375,0.0467367604109375
Bharatpur,524 3 35 1 001,3,4,2 to 4 hours,311271.054061007,1930.04370117188,0.00620052419263373
Kalimati,524 6 53 4 004,6,6,8 to 16 hours,28768.0220297743,3627.0322265625,0.126078609881785
Likhu,524 1 13 4 002,1,3,1 to 2 hours,15562.9409063309,3733.96215820312,0.239926513933119
Kamalbazar,524 7 69 3 003,7,4,2 to 4 hours,26016.6821766682,15527.900390625,0.596843989759403
Manebhanjyang,524 1 13 4 007,1,4,2 to 4 hours,23563.2671915293,12778.84765625,0.54232070418672
Gharapjhong,524 4 45 4 004,4,6,8 to 16 hours,3152.07226090948,65.4072494506836,0.0207505552019963
