adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Kedarseu,524 7 67 4 005,7,6,8 to 16 hours,23302.7449466288,9279.42008728534,0.398211460003461
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,4187.62431126415,0.999597419981774
Shivapuri,524 3 28 4 010,3,7,16 to 32 hours,22180.1212859526,0.228954884783131,1.03225262761812e-05
Swami Kartik,524 7 68 4 005,7,6,8 to 16 hours,13738.7842643391,6262.15448971651,0.455801209861835
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,219.057984967309,0.614258361981767
Janakpur,524 2 17 2 001,2,2,30 minutes to 1 hour,181044.671591789,50589.2889719009,0.279429869584715
Shivapuri Watershed and Wildlife Reserve,524 3 28 5 996,3,4,2 to 4 hours,1270.66077735648,248.681529790163,0.195710400621264
Musikot,524 5 51 3 001,5,7,16 to 32 hours,35942.4881163538,0.382847017217616,1.06516559448599e-05
Laligurans,524 1 08 3 001,1,5,4 to 8 hours,18970.8394403681,10521.413188614,0.554609785280529
Siraha,524 2 16 3 008,2,3,1 to 2 hours,93832.2036414742,48564.2484923452,0.517564829638932
Chandrapur,524 2 32 3 002,2,6,8 to 16 hours,79572.2917521857,5.60964617133141,7.04974815706162e-05
Ghanglekh,524 3 20 4 003,3,7,16 to 32 hours,15188.4689030834,16.542836509645,0.0010891707791749
Bardagoriya,524 7 71 4 005,7,6,8 to 16 hours,35485.9942296147,0.825897991657257,2.32739143875531e-05
Phedap,524 1 08 4 002,1,5,4 to 8 hours,19729.3887172192,11883.1214210987,0.602305605683944
Bhumlu,524 3 24 4 001,3,7,16 to 32 hours,21045.0355905592,0.736438191780472,3.49934400733842e-05
Surnaya,524 7 74 4 003,7,7,16 to 32 hours,20287.3284232095,7570.87785732746,0.373182594543404
Mahankal,524 3 25 4 003,3,5,4 to 8 hours,10538.9451647997,996.329273417592,0.0945378553391998
Tillotama,524 5 48 3 003,5,3,1 to 2 hours,111663.267007127,33633.6063424647,0.301205644827836
Kanchanrup,524 2 15 3 005,2,6,8 to 16 hours,60456.6363327242,8.72777099907398,0.000144364151373565
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,18805.0681135952,0.676102557567155
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,13184.6491938457,0.55402846623406
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,19977.9489064068,0.418220617645506
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,60457.7067759633,0.961235743452482
Isma,524 5 51 4 004,5,4,2 to 4 hours,22935.2673221529,3320.09741437435,0.144759481881753
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,155381.351203725,0.997478624034158
Arnama,524 2 16 4 003,2,4,2 to 4 hours,24449.0091687143,18568.6532633603,0.759484899172163
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,2673.8722291443,0.127086156492583
Damak,524 1 04 3 001,1,5,4 to 8 hours,84493.8126572669,11513.6159168482,0.136265787455361
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,44929.733073283,0.957784329039618
Dolpo Buddha,524 6 62 4 003,6,7,16 to 32 hours,2267.2867809672,894.840512973722,0.394674604238636
Galchi,524 3 30 4 010,3,4,2 to 4 hours,28338.4659084976,10.8757755458355,0.000383781379731437
Dudhkoshi,524 1 11 4 004,1,6,8 to 16 hours,14949.5460244277,8824.43724601902,0.590281285572136
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,178.459912957973,0.0139901403551962
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,14559.525175482,0.864420184544729
