adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Gulmidarbar,524 5 51 4 005,5,2,30 minutes to 1 hour,24194.906018436,6201.107421875,0.25629805782878
Sharada,524 6 53 3 003,6,5,4 to 8 hours,37462.5723570287,441.307281494141,0.0117799513949112
Barah,524 1 06 3 001,1,5,4 to 8 hours,87412.4226064347,457.997375488281,0.00523949985404668
Fakphokthum,524 1 03 4 001,1,4,2 to 4 hours,24972.8616706431,4490.86181640625,0.179829683743673
Madhyabindu,524 4 47 3 001,4,1,0 to 30 minutes,59042.7922572084,20419.1015625,0.345835635170305
Lahan,524 2 16 3 005,2,2,30 minutes to 1 hour,102890.839902811,34289.66015625,0.333262515775355
Narphu,524 4 38 4 002,4,8,> 32 hours,616.795009280526,0.09186740219593,0.000148943167200868
Mithila,524 2 17 3 001,2,3,1 to 2 hours,51448.5442441851,5453.544921875,0.105999985072296
Rolpa,524 5 54 3 001,5,3,1 to 2 hours,35680.5736335926,9415.01953125,0.263869623508125
Meghang,524 3 28 4 001,3,2,30 minutes to 1 hour,15000.4129657336,3273.6025390625,0.218234161055473
Chandrapur,524 2 32 3 002,2,4,2 to 4 hours,79572.2917521857,6232.76513671875,0.0783283351462295
Rambha,524 5 46 4 007,5,2,30 minutes to 1 hour,22802.0401390642,2892.4658203125,0.126851185362013
Arun,524 1 10 4 003,1,3,1 to 2 hours,19704.8384484947,9719.484375,0.493253695045772
Sirijangha,524 1 01 4 003,1,5,4 to 8 hours,17611.824913596,1275.27770996094,0.0724103104713725
Tilagufa,524 6 64 3 003,6,3,1 to 2 hours,17231.6060848124,3791.69409179688,0.220042988049663
Madi,524 1 09 3 005,1,5,4 to 8 hours,16241.7727624178,2069.4033203125,0.127412404457532
Gadhawa,524 5 56 4 006,5,3,1 to 2 hours,43539.0489611831,10524.9248046875,0.241735294082122
Phaktanglung,524 1 01 4 001,1,2,30 minutes to 1 hour,13499.6758104351,982.37646484375,0.072770374536282
Ramnagar,524 2 19 4 005,2,1,0 to 30 minutes,32147.3336702585,25383.66015625,0.789603903596334
Purbichauki,524 7 70 4 003,7,4,2 to 4 hours,24479.1583533213,9189.15234375,0.3753867764209
JayaPrithivi,524 7 67 3 002,7,4,2 to 4 hours,24076.2497895733,6966.05712890625,0.289333147387558
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,6.36014890670776,0.000427659991738528
Bhimad,524 4 40 3 004,4,4,2 to 4 hours,35191.0851322189,16322.0341796875,0.463811619288318
Suwarna,524 2 33 4 008,2,1,0 to 30 minutes,31626.755015552,23425.48046875,0.740685551117427
Raskot,524 6 64 3 001,6,3,1 to 2 hours,17410.5482956534,7323.1376953125,0.420614995631168
Maiwakhola,524 1 01 4 005,1,7,16 to 32 hours,12360.7277787057,0.285451829433441,2.30934484234173e-05
Adharsha,524 7 70 4 001,7,5,4 to 8 hours,26156.673794806,674.839416503906,0.0257998941990059
Temal,524 3 24 4 005,3,4,2 to 4 hours,25155.9957317635,11678.39453125,0.464239009092537
Chitawan National Park,524 3 35 5 997,3,6,8 to 16 hours,17212.6607417092,0.352064907550812,2.0453834118609e-05
Bhumlu,524 3 24 4 001,3,4,2 to 4 hours,21045.0355905592,3402.15502929688,0.161660692596931
Kankai,524 1 04 3 003,1,4,2 to 4 hours,45672.5060046613,2795.55859375,0.061208784853292
Kapurkot,524 6 53 4 007,6,3,1 to 2 hours,20044.6973528564,6587.16943359375,0.328624040445044
Likhu,524 3 28 4 006,3,2,30 minutes to 1 hour,18662.0517333448,4616.92333984375,0.247396342364348
Gaurishankar,524 3 22 4 002,3,7,16 to 32 hours,18925.4517339438,22.4734706878662,0.00118747340902616
Maiwakhola,524 1 01 4 005,1,4,2 to 4 hours,12360.7277787057,3733.46044921875,0.302042122119261
