adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Dangisharan,524 5 56 4 002,5,5,4 to 8 hours,23780.6271807607,4976.63024999388,0.209272455775268
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,4189.31084410012,1
Dhorpatan Hunting Reserve,524 4 44 5 998,4,8,> 32 hours,356.621901345497,198.481387158448,0.556559724485789
Ghanglekh,524 3 20 4 003,3,4,2 to 4 hours,15188.4689030834,4.50591546297073,0.000296666865615138
Manra Siswa,524 2 18 3 006,2,2,30 minutes to 1 hour,53566.4826005399,4.48333688628179,8.36966824892213e-05
Adarshkotwal,524 2 33 4 009,2,5,4 to 8 hours,31679.2171803117,31679.2171803117,1
Chitawan National Park,524 4 47 5 997,4,1,0 to 30 minutes,342.330276377499,44.276162147522,0.12933755850066
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,15870.2266656756,0.280746788837538
Miklajung,524 1 02 4 007,1,6,8 to 16 hours,27813.9283798337,25977.7742232829,0.93398436454298
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,12059.6185554415,0.506753867577894
Parsa Wildlife Reserve,524 3 31 5 995,3,6,8 to 16 hours,1685.21897472441,1645.43076081574,0.976389884931613
Geruwa,524 5 58 4 001,5,5,4 to 8 hours,38011.5052131061,35494.8228732087,0.933791563217822
Dakneshwori,524 2 15 3 007,2,5,4 to 8 hours,47768.9240164161,47670.0940293074,0.997931081992244
Banepa,524 3 24 3 002,3,4,2 to 4 hours,62895.8163361847,29315.5186082125,0.46609648011432
Tulsipur,524 5 56 2 001,5,6,8 to 16 hours,155774.116316706,2.4158948212862,1.55089618122078e-05
Jugal,524 3 23 4 003,3,7,16 to 32 hours,21039.8386648851,4821.26455616386,0.22914931207198
Patahrishanishchare,524 1 05 3 004,1,3,1 to 2 hours,70068.7889099419,24537.4014042318,0.35019017434095
Yangwarak,524 1 02 4 002,1,8,> 32 hours,20441.5263771056,247.259191639256,0.0120959260613818
Chum Nubri,524 4 36 4 001,4,8,> 32 hours,7664.6336446854,5918.96366119922,0.772243519467285
Rainadevi Chhahara,524 5 46 4 001,5,6,8 to 16 hours,29152.090916492,26065.1260918453,0.894108287687168
Tara Khola,524 4 43 4 004,4,3,1 to 2 hours,13264.4379665274,77.5784155130386,0.00584860178085241
Garuda,524 2 32 3 008,2,2,30 minutes to 1 hour,56146.6749643385,29137.234921813,0.518948538632421
Raghuganga,524 4 44 4 002,4,7,16 to 32 hours,17521.4264612333,540.807821781607,0.0308655133175465
Patrasi,524 6 63 4 003,6,8,> 32 hours,15865.058232111,15865.058232111,1
Dhaulagiri,524 4 44 4 001,4,6,8 to 16 hours,14871.9754701683,6878.89170504734,0.462540549427729
Lisangkhu Pakhar,524 3 23 4 009,3,6,8 to 16 hours,16839.6766865216,940.690554261208,0.0558615567135045
Mandandeupur,524 3 24 3 001,3,7,16 to 32 hours,36171.8595376313,0.847823256821402,2.34387523245625e-05
Phedikhola,524 4 41 4 002,4,5,4 to 8 hours,13556.9496206455,9251.3307319507,0.682405038804755
Manebhanjyang,524 1 13 4 007,1,7,16 to 32 hours,23563.2671915293,22164.218846336,0.940625876122297
Devchuli,524 4 47 3 003,4,5,4 to 8 hours,46910.0732921101,1025.52797098085,0.0218615725580914
Bareng,524 4 43 4 006,4,6,8 to 16 hours,16257.1611697227,10677.1264797151,0.656764509390494
Anbukhaireni,524 4 40 4 005,4,5,4 to 8 hours,23197.0441145524,13123.9029176049,0.565757553108749
Chakraghatta,524 2 19 4 004,2,5,4 to 8 hours,31219.7594659925,22.7167730331421,0.000727640873014649
Pokhariya,524 2 34 3 001,2,6,8 to 16 hours,35444.9102231264,24029.8578656316,0.677949463388767
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,11034.2996011488,0.65512241522884
Kathmandu,524 3 27 1 001,3,1,0 to 30 minutes,1088722.08679307,1049525.49063683,0.963997610931457
Kamalbazar,524 7 69 3 003,7,7,16 to 32 hours,26016.6821766682,3626.61033068597,0.13939557342705
Suddhodhan,524 5 49 4 004,5,1,0 to 30 minutes,50178.543446213,4002.16815686226,0.0797585557889346
Nawarajpur,524 2 16 4 007,2,8,> 32 hours,21545.7922369242,96.3945379257202,0.0044739379673644
Waling,524 4 41 3 004,4,6,8 to 16 hours,55516.0064349696,48972.5411834642,0.882133718332743
Jitpur Simara,524 2 33 2 001,2,6,8 to 16 hours,127613.802402328,127533.548184353,0.999371116474362
Uttargaya,524 3 29 4 003,3,7,16 to 32 hours,9306.98273306387,5446.00505474163,0.58515259036575
Dhaulagiri,524 4 44 4 001,4,8,> 32 hours,14871.9754701683,202.599961803178,0.0136229354472493
Dhunibesi,524 3 30 3 002,3,5,4 to 8 hours,34238.7534427717,22131.5985976681,0.646390314257787
Agnisair Krishna Savaran,524 2 15 4 002,2,4,2 to 4 hours,30326.8262336515,7700.42678234726,0.253914693315407
Gorkha,524 4 36 3 002,4,2,30 minutes to 1 hour,53294.7192793041,12646.7918763161,0.237299155476126
Chandannath,524 6 63 3 001,6,8,> 32 hours,22083.4815721046,22083.4815721046,1
Gaidakot,524 4 47 3 004,4,7,16 to 32 hours,65552.50551451,0.017186075396895,2.62172670014739e-07
Madi,524 1 09 3 005,1,7,16 to 32 hours,16241.7727624178,382.159012824297,0.0235293904436702
Panini,524 5 50 4 003,5,6,8 to 16 hours,29258.4642607719,20064.4731148481,0.68576644816418
Jaimuni,524 4 43 3 004,4,7,16 to 32 hours,35204.2506258786,17.4882029294968,0.000496763959424866
Shambhunath,524 2 15 3 003,2,5,4 to 8 hours,39598.0955801122,39287.9103050567,0.992166661792411
Koshi Tappu Wildlife Reserve,524 2 15 5 995,2,4,2 to 4 hours,93.3004635125399,33.1786273270845,0.355610530516016
Chaurideurali,524 3 24 4 002,3,6,8 to 16 hours,23009.3351803944,5828.14998642355,0.253295018770884
Helambu,524 3 23 4 001,3,7,16 to 32 hours,19755.70701886,1413.61005316401,0.0715545159590844
Galkot,524 4 43 3 002,4,7,16 to 32 hours,36165.2573999166,0.348882919177413,9.64690822795629e-06
SakhuwaPrasauni,524 2 34 4 004,2,7,16 to 32 hours,36038.206433475,5801.04496990144,0.160969302970444
Raghuganga,524 4 44 4 002,4,6,8 to 16 hours,17521.4264612333,4411.88749711076,0.251799561346914
Joshipur,524 7 71 4 004,7,4,2 to 4 hours,39115.400944829,35079.4492760897,0.896819371110834
Mohanyal,524 7 71 4 003,7,7,16 to 32 hours,24038.0277960505,9150.76325428113,0.380678620222937
